Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-01-03,0.001286,0.001556,0.000546,0.001555,384.0,-1.0,0.0
2017-01-04,0.001556,0.001698,0.000961,0.001501,451.0,-1.0,0.0
2017-01-05,0.001504,0.001767,0.000629,0.000659,96.0,-1.0,0.0
2017-01-06,0.000659,0.00156,0.000659,0.001074,6.0,-1.0,0.0
2017-01-07,0.001075,0.001081,0.000748,0.001081,7.0,-1.0,0.0
2017-01-08,0.001081,0.001278,0.000839,0.001267,37.0,-1.0,0.0
2017-01-09,0.001269,0.001288,0.00098,0.00121,9.0,-1.0,0.0
2017-01-10,0.001209,0.001226,0.000989,0.000989,11.0,-1.0,0.0
2017-01-11,0.000989,0.00122,0.000778,0.000778,74.0,-1.0,0.0
2017-01-12,0.000775,0.000781,0.000481,0.000483,62.0,-1.0,0.0
2017-01-13,0.000482,0.000765,0.000407,0.00076,29.0,-1.0,0.0
2017-01-14,0.000761,0.001207,0.000761,0.001205,142.0,-1.0,0.0
2017-01-15,0.001205,0.001212,0.000525,0.001178,69.0,-1.0,0.0
2017-01-16,0.001178,0.001196,0.000797,0.000832,9.0,-1.0,0.0
2017-01-17,0.000831,0.001297,0.000816,0.00108,31.0,-1.0,0.0
2017-01-18,0.001082,0.001125,0.000738,0.000745,20.0,-1.0,0.0
2017-01-19,0.000746,0.001156,0.000746,0.000899,11.0,-1.0,0.0
2017-01-20,0.000898,0.001151,0.000635,0.000635,11.0,-1.0,0.0
2017-01-21,0.000635,0.001077,0.000635,0.000876,137.0,-1.0,0.0
2017-01-22,0.000876,0.000908,0.000741,0.000749,0.0,-1.0,0.0
2017-01-23,0.00075,0.001008,0.000743,0.001004,32.0,-1.0,0.0
2017-01-24,0.000993,0.001243,0.00086,0.001026,26.0,-1.0,0.0
2017-01-25,0.001026,0.001333,0.001017,0.001253,19.0,-1.0,0.0
2017-01-26,0.001254,0.001303,0.001,0.001303,16.0,-1.0,0.0
2017-01-27,0.001303,0.001316,0.001038,0.001104,371.0,-1.0,0.0
2017-01-28,0.001104,0.001233,0.000838,0.00106,120.0,-1.0,0.0
2017-01-29,0.00106,0.001154,0.000885,0.001145,52.0,-1.0,0.0
2017-01-30,0.001146,0.001152,0.000921,0.001141,246.0,-1.0,0.0
2017-01-31,0.001142,0.001158,0.000929,0.001155,50.0,-1.0,0.0
