Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-02-10,0.004625,0.008675,0.004625,0.007524,2980.0,81548.0,0.01
2014-02-11,0.008695,0.009416,0.008695,0.009074,4636.0,167181.0,0.01
2014-02-12,0.009077,0.066078,1.3e-05,0.01626,23327.0,174672.0,0.03
2014-02-13,0.016255,0.019069,0.006708,0.013315,15392.0,327870.0,0.01
2014-02-14,0.013226,0.062467,6e-06,0.011764,9882.0,278240.0,0.03
2014-02-15,0.011744,0.013776,0.010274,0.011634,7028.0,257115.0,0.01
2014-02-16,0.010611,0.011577,0.005388,0.007751,5996.0,245161.0,0.01
2014-02-17,0.008292,0.009462,0.007618,0.007922,4663.0,196002.0,0.01
2014-02-18,0.007934,0.009655,0.006882,0.00802,5296.0,194678.0,0.01
2014-02-19,0.008012,0.014791,0.006335,0.006872,3608.0,203831.0,0.01
2014-02-20,0.006873,0.029962,0.006873,0.006902,3277.0,179126.0,0.02
2014-02-25,0.002635,0.003592,0.002331,0.00352,1371.0,81640.0,0.0
2014-02-26,0.00336,0.005235,0.00336,0.004632,2284.0,1262.0,0.0
2014-02-27,0.004624,0.006958,0.004624,0.00622,4113.0,150771.0,0.01
2014-03-02,0.005155,0.005915,0.004244,0.004478,3715.0,182305.0,0.01
2014-03-03,0.0045,0.005739,0.003913,0.005002,5208.0,163051.0,0.0
2014-03-04,0.004223,0.006217,0.004188,0.005668,4167.0,156820.0,0.01
2014-03-05,0.005663,0.006271,0.004822,0.005124,5143.0,215466.0,0.01
2014-03-06,0.005123,0.006671,0.005107,0.006499,8117.0,199571.0,0.01
2014-03-07,0.006493,0.006608,0.001258,0.006219,11584.0,258859.0,0.0
2014-03-08,0.006225,0.007806,0.004524,0.007399,17749.0,253857.0,0.01
2014-03-09,0.007592,0.017333,0.007592,0.016491,48498.0,316554.0,0.01
2014-03-10,0.017033,0.021005,0.011975,0.015416,89030.0,726008.0,0.02
2014-03-11,0.015461,0.017318,0.000745,0.014647,51395.0,673248.0,0.01
2014-03-12,0.015339,0.02512,0.011413,0.011942,19745.0,681907.0,0.02
2014-03-13,0.011903,0.017898,0.010199,0.012518,5702.0,539818.0,0.01
2014-03-14,0.012489,0.013668,0.007729,0.008411,12063.0,577557.0,0.01
2014-03-15,0.008606,0.013052,0.008606,0.011937,10674.0,405533.0,0.01
2014-03-16,0.011836,0.012331,0.007817,0.008052,17910.0,568691.0,0.01
2014-03-17,0.008049,0.009725,0.008049,0.00862,9207.0,393912.0,0.01
2014-03-18,0.008612,0.01336,0.008171,0.009215,35552.0,429292.0,0.01
2014-03-19,0.00876,0.009738,0.008742,0.009121,9267.0,444572.0,0.01
2014-03-20,0.009126,0.009813,0.006569,0.00882,14066.0,471438.0,0.01
2014-03-21,0.008163,0.009033,0.007962,0.008751,11985.0,429075.0,0.01
2014-03-22,0.008761,0.00959,0.007885,0.008092,16907.0,468535.0,0.01
2014-03-23,0.008107,0.008561,0.007607,0.007628,10182.0,440851.0,0.01
2014-03-24,0.007645,0.008061,0.006739,0.00726,11621.0,422594.0,0.01
2014-03-25,0.007281,0.007935,0.005826,0.006528,15021.0,408966.0,0.01
2014-03-26,0.006589,0.006764,0.00538,0.006354,9926.0,376116.0,0.01
2014-03-27,0.006346,0.007164,0.00575,0.005926,11336.0,367936.0,0.01
2014-03-28,0.006001,0.00714,0.005463,0.005589,7063.0,353369.0,0.01
2014-03-29,0.00568,0.006377,0.005322,0.006125,10730.0,339641.0,0.01
2014-03-30,0.005639,0.005811,0.004691,0.004716,11398.0,342180.0,0.01
2014-03-31,0.004737,0.005577,0.004618,0.00505,8054.0,291749.0,0.01
2014-04-01,0.004935,0.006283,0.004757,0.005239,19790.0,308397.0,0.01
2014-04-02,0.005247,0.006101,0.004944,0.005553,14158.0,332589.0,0.01
2014-04-03,0.005544,0.005555,0.00491,0.005352,10798.0,356477.0,0.01
2014-04-04,0.005363,0.005419,0.004933,0.005207,10753.0,349677.0,0.01
2014-04-05,0.005197,0.006161,0.005157,0.006121,14188.0,343482.0,0.01
2014-04-06,0.006111,0.006204,0.005388,0.005774,10855.0,409584.0,0.01
2014-04-07,0.005785,0.007918,0.005567,0.007918,27001.0,392905.0,0.01
2014-04-08,0.007953,0.010342,0.006993,0.00941,85969.0,547468.0,0.01
2014-04-09,0.009345,0.009559,0.007102,0.008558,41569.0,651795.0,0.01
2014-04-10,0.008549,0.008549,0.005698,0.0058,19023.0,598405.0,0.01
2014-04-11,0.005801,0.007501,0.005349,0.007191,11238.0,406060.0,0.01
2014-04-12,0.007162,0.007467,0.006712,0.00686,8783.0,518881.0,0.01
2014-04-13,0.006867,0.007086,0.006221,0.006543,10828.0,503676.0,0.01
2014-04-14,0.006547,0.00764,0.006304,0.007424,18891.0,486062.0,0.01
2014-04-15,0.007417,0.009259,0.007146,0.009198,22362.0,557193.0,0.01
2014-04-16,0.00923,0.009529,0.007992,0.009106,18009.0,701692.0,0.01
2014-04-17,0.009167,0.01209,0.008378,0.011129,75677.0,704862.0,0.01
2014-04-18,0.010846,0.015886,0.010846,0.014506,170651.0,843710.0,0.01
2014-04-19,0.014285,0.016767,0.014017,0.01554,109745.0,1124250.0,0.02
2014-04-20,0.015546,0.015546,0.008594,0.010179,82758.0,1237430.0,0.01
2014-04-21,0.010633,0.011337,0.007944,0.00878,58418.0,855616.0,0.01
2014-04-22,0.008645,0.008987,0.007006,0.007356,19512.0,703396.0,0.01
2014-04-23,0.007324,0.00761,0.006025,0.006496,14680.0,602377.0,0.01
2014-04-24,0.006516,0.006532,0.005727,0.006222,12581.0,540866.0,0.01
2014-04-25,0.006217,0.006425,0.004631,0.005714,10284.0,521878.0,0.01
2014-04-26,0.005717,0.006112,0.004776,0.006047,11249.0,484436.0,0.01
2014-04-27,0.006029,0.006386,0.00493,0.005209,11467.0,516365.0,0.01
2014-04-28,0.005141,0.005494,0.00505,0.005062,8729.0,444955.0,0.01
2014-04-29,0.005058,0.005248,0.004934,0.00495,9050.0,442381.0,0.01
2014-04-30,0.004947,0.006713,0.004467,0.005236,3779.0,437071.0,0.01
2014-05-01,0.005236,0.005253,0.004262,0.004495,9080.0,467375.0,0.0
2014-05-02,0.004492,0.004709,0.004126,0.004205,8383.0,404942.0,0.0
2014-05-03,0.004205,0.004408,0.003556,0.003714,6758.0,382964.0,0.0
2014-05-04,0.003721,0.00374,0.003207,0.003297,5809.0,342181.0,0.0
2014-05-05,0.003285,0.004029,0.003256,0.003383,8324.0,305016.0,0.0
2014-05-06,0.003382,0.003783,0.003168,0.003446,4114.0,317130.0,0.0
2014-05-07,0.003449,0.003914,0.003409,0.003738,6413.0,326512.0,0.0
2014-05-08,0.003737,0.00415,0.003444,0.0038,8072.0,357217.0,0.0
2014-05-09,0.00379,0.003861,0.003541,0.00377,5392.0,365637.0,0.0
2014-05-10,0.003759,0.003863,0.003465,0.003506,5920.0,366032.0,0.0
2014-05-11,0.003502,0.00389,0.003292,0.003348,5124.0,344185.0,0.0
2014-05-12,0.003343,0.003465,0.002939,0.003209,4745.0,331468.0,0.0
2014-05-13,0.003209,0.003407,0.002747,0.002837,4392.0,320246.0,0.0
2014-05-14,0.002837,0.003275,0.002649,0.002849,4029.0,285050.0,0.0
2014-05-15,0.002853,0.003175,0.002848,0.003145,1679.0,289810.0,0.0
