Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-08-24,4.2e-05,8.7e-05,4.2e-05,8.7e-05,41530.0,-1,0.0
2017-08-25,8.7e-05,8.8e-05,4.3e-05,4.4e-05,27230.0,-1,0.0
2017-08-26,4.4e-05,4.4e-05,4.1e-05,4.1e-05,3532.0,-1,0.0
2017-08-27,4.1e-05,4.4e-05,3.4e-05,4.3e-05,1949.0,-1,0.0
2017-08-28,4.3e-05,0.00011,3.4e-05,4.5e-05,5792.0,-1,0.0
2017-08-29,4.4e-05,4.8e-05,4.1e-05,4.2e-05,2717.0,-1,0.0
2017-08-30,4.2e-05,4.8e-05,3.7e-05,3.7e-05,2560.0,-1,0.0
2017-08-31,3.6e-05,3.7e-05,1.7e-05,2e-05,1121.0,-1,0.0
2017-09-01,2e-05,4.8e-05,1.7e-05,4.6e-05,5367.0,-1,0.0
2017-09-02,4.6e-05,4.6e-05,2.9e-05,3.1e-05,1762.0,-1,0.0
2017-09-03,3.2e-05,3.5e-05,1.6e-05,1.7e-05,1933.0,-1,0.0
2017-09-04,1.7e-05,3.4e-05,1.7e-05,2.5e-05,776.0,-1,0.0
2017-09-05,2.5e-05,3.5e-05,5e-06,1.1e-05,2337.0,-1,0.0
2017-09-06,1.1e-05,2.5e-05,1e-05,1.3e-05,246.0,-1,0.0
2017-09-07,1.4e-05,4.6e-05,1.1e-05,4.6e-05,393.0,-1,0.0
2017-09-08,4.6e-05,4.6e-05,3.1e-05,3.1e-05,334.0,-1,0.0
2017-09-09,3.1e-05,3.2e-05,7e-06,7e-06,862.0,-1,0.0
2017-09-10,7e-06,4.3e-05,7e-06,4.1e-05,148.0,-1,0.0
2017-09-11,4.1e-05,4.2e-05,3.2e-05,4.2e-05,83.0,-1,0.0
2017-09-12,4.2e-05,4.4e-05,5e-06,5e-06,544.0,-1,0.0
2017-09-13,5e-06,1.1e-05,4e-06,1.1e-05,461.0,-1,0.0
2017-09-14,1.1e-05,2.3e-05,1e-05,1e-05,17.0,-1,0.0
2017-09-15,1e-05,3.1e-05,3e-06,7e-06,857.0,-1,0.0
2017-09-16,7e-06,8e-06,3e-06,3e-06,914.0,-1,0.0
2017-09-17,3e-06,2.3e-05,3e-06,2.3e-05,229.0,-1,0.0
2017-09-18,2.3e-05,4.1e-05,1.3e-05,4.1e-05,691.0,-1,0.0
2017-09-19,4.1e-05,4.1e-05,3.1e-05,3.1e-05,89.0,-1,0.0
2017-09-20,3.1e-05,3.1e-05,3e-06,3e-06,1346.0,-1,0.0
2017-09-21,3e-06,3.5e-05,3e-06,3.4e-05,262.0,-1,0.0
2017-09-22,3.4e-05,3.5e-05,9e-06,1.5e-05,70.0,-1,0.0
2017-09-23,1.5e-05,3.8e-05,1.5e-05,3.6e-05,994.0,-1,0.0
2017-09-24,3.6e-05,3.6e-05,3e-06,3e-06,29.0,-1,0.0
2017-09-25,3e-06,3.7e-05,3e-06,3.6e-05,2249.0,-1,0.0
2017-09-26,3.6e-05,3.7e-05,3e-06,3e-06,329.0,-1,0.0
2017-09-27,3e-06,4.2e-05,3e-06,4.2e-05,232.0,-1,0.0
