Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-08-30,2.1e-07,2.1e-07,2.1e-07,2.1e-07,0.0,20206.0,0.0
2014-08-31,2.1e-07,3e-07,2e-07,2.4e-07,59.0,20309.0,0.0
2014-09-01,2.4e-07,2.5e-07,2e-07,2.4e-07,14.0,23687.0,0.0
2014-09-02,2.4e-07,2.4e-07,1.9e-07,1.9e-07,26.0,22990.0,0.0
2014-09-03,1.9e-07,2.5e-07,1.9e-07,2.4e-07,6.0,18829.0,0.0
2014-09-04,2.4e-07,2.6e-07,1.6e-07,2.1e-07,179.0,23787.0,0.0
2014-09-05,2.1e-07,2.1e-07,1.5e-07,1.5e-07,0.0,20210.0,0.0
2014-09-06,1.5e-07,2e-07,1.5e-07,2e-07,4.0,14580.0,0.0
2014-09-07,2e-07,2.1e-07,2e-07,2.1e-07,91.0,19486.0,0.0
2014-09-08,2.1e-07,2.1e-07,2e-07,2e-07,1.0,20148.0,0.0
2014-09-09,2e-07,2e-07,1.5e-07,1.5e-07,0.0,19901.0,0.0
2014-09-10,1.5e-07,2.2e-07,1.5e-07,2.1e-07,0.0,14833.0,0.0
2014-09-11,2.1e-07,2.7e-07,2.1e-07,2.7e-07,21.0,20860.0,0.0
2014-09-12,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0,26685.0,0.0
2014-09-13,2.7e-07,2.7e-07,2.2e-07,2.2e-07,25.0,26347.0,0.0
2014-09-14,2.2e-07,2.7e-07,2.2e-07,2.7e-07,0.0,21289.0,0.0
2014-09-15,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0,26394.0,0.0
2014-09-16,2.5e-07,2.6e-07,2.5e-07,2.5e-07,0.0,24914.0,0.0
2014-09-17,2.5e-07,2.5e-07,2e-07,2.5e-07,1.0,24843.0,0.0
2014-09-18,2.5e-07,2.5e-07,2.3e-07,2.3e-07,0.0,24743.0,0.0
2014-09-19,1.9e-07,2.2e-07,1.7e-07,2.2e-07,0.0,18397.0,0.0
2014-09-20,2.2e-07,2.3e-07,1.8e-07,2.1e-07,26.0,21147.0,0.0
2014-09-21,2.1e-07,2.2e-07,2.1e-07,2.1e-07,0.0,20824.0,0.0
2014-09-22,2.1e-07,2.2e-07,1.7e-07,1.7e-07,0.0,20740.0,0.0
2014-09-23,1.7e-07,2.4e-07,1.7e-07,1.9e-07,0.0,16569.0,0.0
2014-09-24,1.9e-07,2.4e-07,1.9e-07,2.3e-07,0.0,18539.0,0.0
2014-09-25,2.3e-07,2.3e-07,1.8e-07,1.8e-07,0.0,22791.0,0.0
2014-09-26,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0,17624.0,0.0
2014-09-27,1.8e-07,2.2e-07,1.8e-07,2.2e-07,1.0,17329.0,0.0
2014-09-28,2.2e-07,2.2e-07,1.7e-07,1.7e-07,0.0,21613.0,0.0
