Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-01-06,13.53,38.11,10.18,35.3,60041.0,123778.0,24.14
2014-01-07,35.1,47.74,23.44,35.89,98468.0,325628.0,35.59
2014-01-08,29.72,47.32,29.72,37.07,64328.0,316573.0,38.52
2014-01-09,36.92,37.53,17.42,21.66,25580.0,426132.0,27.48
2014-01-10,21.66,23.19,17.0,21.43,7947.0,257474.0,20.09
2014-01-11,21.23,22.96,18.59,22.96,6804.0,255328.0,20.77
2014-01-12,23.1,30.08,16.12,30.08,16162.0,279869.0,23.1
2014-01-13,30.3,30.45,16.39,17.0,12099.0,370026.0,23.42
2014-01-14,17.04,21.94,14.73,16.25,6939.0,222237.0,18.34
2014-01-15,16.59,17.63,11.89,14.98,9694.0,218876.0,14.76
2014-01-16,14.98,23.0,14.98,19.55,16695.0,198918.0,18.99
2014-01-17,19.52,20.69,17.23,17.31,3660.0,259760.0,18.96
2014-01-18,17.34,19.98,16.79,18.4,6549.0,231284.0,18.38
2014-01-19,18.39,18.55,16.96,17.41,4848.0,245984.0,17.76
2014-01-20,17.42,18.43,15.47,15.91,3731.0,233628.0,16.95
2014-01-21,15.9,17.21,13.83,17.16,5176.0,213832.0,15.52
2014-01-22,14.76,14.76,12.68,14.2,7042.0,198895.0,13.72
2014-01-23,14.19,38.9,12.47,38.9,46769.0,191545.0,25.68
2014-01-24,39.27,41.01,20.19,34.27,124896.0,530721.0,30.6
2014-01-25,34.24,35.98,25.83,34.44,44818.0,466223.0,30.9
2014-01-26,34.45,34.45,21.97,27.72,35443.0,476457.0,28.21
2014-01-27,27.7,28.24,16.91,18.56,22908.0,397892.0,22.57
2014-01-28,17.8,20.1,14.14,17.57,21435.0,268282.0,17.12
2014-01-29,17.51,22.09,16.53,18.4,26398.0,273983.0,19.31
2014-01-30,17.78,20.49,16.4,16.87,19315.0,291216.0,18.45
2014-01-31,16.87,18.01,15.58,15.87,28198.0,286350.0,16.8
2014-02-01,15.84,16.03,15.07,15.07,16935.0,279407.0,15.55
2014-02-02,15.08,15.32,13.28,13.29,15153.0,277187.0,14.3
2014-02-03,14.01,14.27,12.2,12.94,10145.0,268218.0,13.23
2014-02-04,12.94,13.45,10.15,11.47,9449.0,254785.0,11.8
2014-02-05,11.04,12.62,8.48,9.74,12568.0,222507.0,10.55
2014-02-06,9.11,9.59,8.67,8.71,5070.0,187331.0,9.13
