Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-07-24,1.99,2.04,1.1,2.04,137454.0,-1,1.57
2017-07-25,2.04,2.05,0.74796,1.04,929.0,-1,1.4
2017-07-26,1.04,1.06,0.737976,1.02,626.0,-1,0.9
2017-07-27,1.02,1.04,0.776651,0.815548,16.0,-1,0.91
2017-07-28,0.814546,1.03,0.814546,0.848273,453.0,-1,0.92
2017-07-29,0.851828,0.951725,0.81449,0.950476,3.0,-1,0.88
2017-07-30,0.951332,0.996752,0.540034,0.901579,250.0,-1,0.77
2017-07-31,0.903463,1.18,0.891883,1.17,290.0,-1,1.04
2017-08-01,0.959209,1.19,0.893204,0.900439,211.0,-1,1.04
2017-08-02,0.900849,0.908246,0.109015,0.125218,10534.0,-1,0.51
2017-08-03,0.125364,0.144924,0.114679,0.117075,2607.0,-1,0.13
2017-08-04,0.117091,0.120649,0.114499,0.118089,448.0,-1,0.12
2017-08-05,0.118037,0.137266,0.11795,0.134582,759.0,-1,0.13
2017-08-06,0.134596,0.137723,0.129126,0.129221,5069.0,-1,0.13
2017-08-07,0.129091,0.140214,0.128608,0.139326,2473.0,-1,0.13
2017-08-08,0.139452,0.145076,0.138516,0.14365,118.0,-1,0.14
2017-08-09,0.143553,0.18604,0.125021,0.139633,1709.0,-1,0.16
2017-08-10,0.139589,0.164303,0.126824,0.126824,266.0,-1,0.15
2017-08-11,0.12681,0.166468,0.125501,0.164247,96.0,-1,0.15
2017-08-12,0.164119,0.169135,0.133152,0.16439,201.0,-1,0.15
2017-08-13,0.164238,0.178015,0.158203,0.162376,397.0,-1,0.17
2017-08-14,0.162479,0.17259,0.159242,0.168039,6.0,-1,0.17
2017-08-15,0.168324,0.168931,0.144251,0.163892,156.0,-1,0.16
2017-08-16,0.164072,0.173164,0.154821,0.158144,38.0,-1,0.16
2017-08-17,0.157998,0.175589,0.15101,0.154546,62.0,-1,0.16
2017-08-18,0.154073,0.154935,0.06718,0.123361,3.0,-1,0.11
2017-08-19,0.123256,0.125208,0.064573,0.083295,9.0,-1,0.09
2017-08-20,0.082906,0.12417,0.073302,0.073302,142.0,-1,0.1
2017-08-21,0.073024,0.120922,0.071438,0.119351,43.0,-1,0.1
2017-08-22,0.119628,0.123917,0.10832,0.122423,90.0,-1,0.12
2017-08-23,0.122173,0.12722,0.097962,0.099388,182.0,-1,0.11
2017-08-24,0.099431,0.126871,0.0847,0.087618,174.0,-1,0.11
2017-08-25,0.08748,0.115906,0.087452,0.107793,36.0,-1,0.1
2017-08-26,0.107988,0.108235,0.104546,0.104657,22.0,-1,0.11
2017-08-27,0.10463,0.111001,0.094608,0.109072,53.0,-1,0.1
2017-08-28,0.109251,0.110026,0.084414,0.088124,94.0,-1,0.1
2017-08-29,0.08811,0.103871,0.087467,0.092564,95.0,-1,0.1
2017-08-30,0.09251,0.093527,0.090345,0.091501,80.0,-1,0.09
2017-08-31,0.093726,0.104331,0.093618,0.104215,111.0,-1,0.1
2017-09-01,0.104173,0.104325,0.058653,0.103223,522.0,-1,0.08
2017-09-02,0.103353,0.104563,0.091925,0.094282,8.0,-1,0.1
2017-09-03,0.094343,0.09569,0.059035,0.061504,3.0,-1,0.08
2017-09-04,0.061525,0.06157,0.053725,0.05374,47.0,-1,0.06
2017-09-05,0.053548,0.082273,0.029822,0.08075,89.0,-1,0.06
2017-09-06,0.080842,0.995755,0.080842,0.082415,40.0,-1,0.54
2017-09-07,0.08245,0.085352,0.05778,0.058158,41.0,-1,0.07
2017-09-08,0.058143,0.083894,0.057815,0.070642,11.0,-1,0.07
2017-09-09,0.070769,0.072447,0.053932,0.071574,14.0,-1,0.06
2017-09-10,0.07165,0.07165,0.04999,0.052414,1.0,-1,0.06
2017-09-11,0.052579,0.054044,0.051085,0.052595,16.0,-1,0.05
2017-09-12,0.052578,0.066784,0.051241,0.052045,7.0,-1,0.06
2017-09-13,0.052062,0.052062,0.047245,0.048464,5.0,-1,0.05
2017-09-14,0.048466,0.04911,0.040244,0.040244,2.0,-1,0.04
2017-09-15,0.040558,0.047718,0.040558,0.04606,1.0,-1,0.04
2017-09-16,0.046487,0.048511,0.044453,0.046462,1.0,-1,0.05
2017-09-17,0.04643,0.047454,0.043579,0.046244,22.0,-1,0.05
