Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-11-23,8.7e-05,9.1e-05,7.4e-05,7.4e-05,74.0,-1,0.0
2015-11-24,7.4e-05,0.000167,6.4e-05,9.3e-05,371.0,-1,0.0
2015-11-25,9.3e-05,0.00016,9.3e-05,0.000125,160.0,-1,0.0
2015-11-26,0.000125,0.000153,0.000109,0.000113,42.0,-1,0.0
2015-11-27,0.000113,0.000116,7.2e-05,9e-05,50.0,-1,0.0
2015-11-28,8.9e-05,0.000157,8.8e-05,9.6e-05,51.0,-1,0.0
2015-11-29,9.7e-05,0.000136,9.2e-05,0.0001,2.0,-1,0.0
2015-11-30,0.0001,0.000169,9.5e-05,0.000132,51.0,-1,0.0
2015-12-01,0.000132,0.000172,9e-05,0.000127,74.0,-1,0.0
2015-12-02,0.000127,0.000163,6.7e-05,0.000162,55.0,-1,0.0
2015-12-03,0.000162,0.000165,0.000114,0.000116,16.0,-1,0.0
2015-12-04,0.000116,0.000148,0.000108,0.000116,21.0,-1,0.0
2015-12-05,0.000116,0.000148,9.4e-05,0.000121,39.0,-1,0.0
2015-12-06,0.000121,0.000125,9.4e-05,9.7e-05,15.0,-1,0.0
2015-12-07,9.7e-05,0.000122,7.5e-05,8.3e-05,25.0,-1,0.0
2015-12-08,8.3e-05,0.000119,7.5e-05,7.9e-05,33.0,-1,0.0
2015-12-09,7.9e-05,0.000154,7.8e-05,0.000154,156.0,-1,0.0
2015-12-10,0.000155,0.000155,0.000108,0.000108,13.0,-1,0.0
2015-12-11,0.000108,0.000147,0.000108,0.000122,7.0,-1,0.0
2015-12-12,0.000122,0.000134,8.9e-05,9.1e-05,16.0,-1,0.0
2015-12-13,9.1e-05,0.000123,7.9e-05,0.000113,42.0,-1,0.0
2015-12-14,0.000113,0.000118,8.8e-05,9.3e-05,25.0,-1,0.0
2015-12-15,9.3e-05,0.000113,7.4e-05,7.4e-05,10.0,-1,0.0
2015-12-16,7.4e-05,0.000137,7.1e-05,0.000132,73.0,-1,0.0
2015-12-17,0.000132,0.000136,0.0001,0.000105,32.0,-1,0.0
2015-12-18,0.000105,0.000138,0.000105,0.000111,12.0,-1,0.0
2015-12-19,0.000111,0.000139,0.00011,0.000111,20.0,-1,0.0
2015-12-20,0.000111,0.000137,0.000104,0.000111,13.0,-1,0.0
2015-12-21,0.000111,0.000145,0.000104,0.000114,31.0,-1,0.0
2015-12-22,0.000114,0.000151,0.000114,0.000127,37.0,-1,0.0
2015-12-23,0.000127,0.000155,0.000106,0.00015,67.0,-1,0.0
2015-12-24,0.00015,0.000156,0.000115,0.000118,36.0,-1,0.0
2015-12-25,0.000118,0.000154,0.000118,0.000141,12.0,-1,0.0
2015-12-26,0.000141,0.000143,0.00011,0.000125,18.0,-1,0.0
2015-12-27,0.000125,0.000134,0.000105,0.000106,55.0,-1,0.0
2015-12-28,0.000106,0.000128,0.000106,0.00011,4.0,-1,0.0
2015-12-29,0.00011,0.00014,0.00011,0.000113,30.0,-1,0.0
2015-12-30,0.000113,0.000147,0.00011,0.000124,32.0,-1,0.0
2015-12-31,0.000102,0.000124,9.5e-05,9.5e-05,15.0,-1,0.0
2016-01-01,9.5e-05,0.000121,9.5e-05,0.0001,5.0,-1,0.0
2016-01-02,0.0001,0.000122,8.2e-05,8.2e-05,10.0,-1,0.0
