Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-03-20,0.001982,0.002363,0.001518,0.002013,270.0,15134.0,0.0
2014-03-21,0.002012,0.00211,0.001854,0.001886,515.0,15856.0,0.0
2014-03-22,0.001885,0.001888,0.001076,0.00108,130.0,15388.0,0.0
2014-03-23,0.001081,0.001168,0.001081,0.001133,189.0,9095.0,0.0
2014-03-24,0.001136,0.001399,0.000558,0.000759,54.0,9879.0,0.0
2014-03-25,0.000759,0.000815,0.00019,0.000656,23.0,6781.0,0.0
2014-03-26,0.000657,0.001174,0.000655,0.001074,11.0,6070.0,0.0
2014-03-27,0.001075,0.001112,0.000609,0.000707,0.0,10201.0,0.0
2014-03-28,0.000716,0.00199,0.000435,0.001983,46.0,7007.0,0.0
2014-03-29,0.002007,0.002789,0.000676,0.002512,808.0,20240.0,0.0
2014-03-30,0.00277,0.002777,0.000994,0.001139,107.0,28845.0,0.0
2014-03-31,0.001137,0.001406,0.000981,0.001364,249.0,12150.0,0.0
2014-04-01,0.001362,0.003983,0.001067,0.003319,2500.0,14930.0,0.0
2014-04-02,0.003416,0.003908,0.002286,0.002603,1400.0,38678.0,0.0
2014-04-03,0.002309,0.002802,0.001867,0.002225,251.0,26621.0,0.0
2014-04-04,0.002224,0.003054,0.002185,0.002887,590.0,25912.0,0.0
2014-04-05,0.002904,0.003022,0.00219,0.002359,866.0,34248.0,0.0
2014-04-06,0.002242,0.003588,0.002043,0.003308,1365.0,26785.0,0.0
2014-04-07,0.003081,0.003478,0.002878,0.002918,654.0,37244.0,0.0
2014-04-08,0.002906,0.003286,0.002827,0.002998,494.0,35550.0,0.0
2014-04-09,0.003,0.003189,0.002698,0.002795,2799.0,37151.0,0.0
2014-04-10,0.002788,0.002896,0.002254,0.002311,320.0,34909.0,0.0
2014-04-11,0.002295,0.002737,0.001593,0.001899,666.0,29096.0,0.0
2014-04-12,0.001898,0.002505,0.001816,0.002422,170.0,24301.0,0.0
2014-04-13,0.002421,0.002458,0.001804,0.00194,207.0,31345.0,0.0
2014-04-14,0.001941,0.002424,0.00164,0.001952,699.0,25416.0,0.0
2014-04-15,0.001954,0.002852,0.000953,0.001951,637.0,25849.0,0.0
2014-04-16,0.001949,0.002607,0.001619,0.001848,550.0,26049.0,0.0
2014-04-17,0.001849,0.002196,0.001375,0.001799,1144.0,24940.0,0.0
2014-04-18,0.001802,0.002012,0.001664,0.001664,121.0,24598.0,0.0
2014-04-19,0.001664,0.001909,0.001637,0.001685,80.0,22953.0,0.0
2014-04-20,0.001686,0.001984,0.001418,0.001435,85.0,23460.0,0.0
2014-04-21,0.001433,0.001973,0.001426,0.001527,54.0,20154.0,0.0
2014-04-22,0.001526,0.001991,0.001526,0.001592,360.0,21683.0,0.0
2014-04-23,0.001521,0.001715,0.001462,0.001474,1079.0,21835.0,0.0
2014-04-24,0.001477,0.00166,0.000601,0.000653,1097.0,21421.0,0.0
2014-04-25,0.000653,0.001514,0.000646,0.001294,1005.0,9569.0,0.0
2014-04-26,0.001292,0.001366,0.000859,0.001077,391.0,19109.0,0.0
2014-04-27,0.001078,0.001355,0.000922,0.001269,611.0,16098.0,0.0
2014-04-28,0.001264,0.001265,0.000825,0.00084,682.0,19051.0,0.0
2014-04-29,0.000841,0.001285,0.00043,0.000465,74.0,12797.0,0.0
2014-04-30,0.000465,0.000983,0.000462,0.000521,653.0,7135.0,0.0
2014-05-01,0.000521,0.001322,0.000521,0.001322,3333.0,8079.0,0.0
2014-05-02,0.001323,0.001323,0.000694,0.000981,2460.0,20705.0,0.0
