Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-10-14,2.5e-05,0.0002,2.5e-05,0.000182,240.0,-1,0.0
2016-10-15,0.000182,0.000224,5.1e-05,5.1e-05,24.0,-1,0.0
2016-10-16,5.1e-05,5.1e-05,4.5e-05,4.5e-05,1.0,-1,0.0
2016-10-17,4.5e-05,4.5e-05,4.5e-05,4.5e-05,1.0,-1,0.0
2016-10-18,4.5e-05,5.1e-05,4.5e-05,4.5e-05,3.0,-1,0.0
2016-10-19,4.5e-05,4.5e-05,4.4e-05,4.4e-05,1.0,-1,0.0
2016-10-20,4.4e-05,4.4e-05,4.4e-05,4.4e-05,1.0,-1,0.0
2016-10-21,4.4e-05,5.7e-05,4.4e-05,5.7e-05,1.0,-1,0.0
2016-10-22,5.7e-05,6.6e-05,5.2e-05,5.3e-05,1.0,-1,0.0
2016-10-23,5.3e-05,6.6e-05,5.2e-05,5.3e-05,1.0,-1,0.0
2016-10-24,5.3e-05,5.3e-05,5.2e-05,5.2e-05,2.0,-1,0.0
2016-10-25,5.2e-05,5.9e-05,5.2e-05,5.3e-05,1.0,-1,0.0
2016-10-26,5.3e-05,5.4e-05,5.3e-05,5.4e-05,1.0,-1,0.0
2016-10-27,5.4e-05,5.4e-05,4.7e-05,4.8e-05,2.0,-1,0.0
2016-10-28,4.8e-05,4.8e-05,4.1e-05,4.1e-05,11.0,-1,0.0
2016-10-29,4.1e-05,4.3e-05,4.1e-05,4.3e-05,4.0,-1,0.0
2016-10-30,4.3e-05,4.3e-05,4.2e-05,4.2e-05,28.0,-1,0.0
2016-10-31,4.2e-05,4.3e-05,4.2e-05,4.2e-05,8.0,-1,0.0
2016-11-01,4.2e-05,4.3e-05,3.6e-05,3.6e-05,1.0,-1,0.0
2016-11-02,3.7e-05,3.7e-05,3.6e-05,3.7e-05,18.0,-1,0.0
2016-11-03,3.7e-05,4.4e-05,2.7e-05,2.8e-05,17.0,-1,0.0
2016-11-04,2.8e-05,2.8e-05,2.7e-05,2.8e-05,0.0,-1,0.0
2016-11-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,1.0,-1,0.0
2016-11-06,2.8e-05,3.6e-05,2.8e-05,3.6e-05,0.0,-1,0.0
2016-11-07,3.6e-05,3.6e-05,2.1e-05,2.1e-05,22.0,-1,0.0
2016-11-08,2.1e-05,2.3e-05,2.1e-05,2.3e-05,0.0,-1,0.0
2016-11-09,2.3e-05,2.5e-05,2.3e-05,2.5e-05,0.0,-1,0.0
2016-11-10,2.5e-05,2.9e-05,2.1e-05,2.1e-05,1.0,-1,0.0
2016-11-11,2.1e-05,2.3e-05,2.1e-05,2.2e-05,1.0,-1,0.0
2016-11-12,2.2e-05,2.2e-05,2.1e-05,2.1e-05,0.0,-1,0.0
2016-11-13,2.1e-05,2.8e-05,2.1e-05,2.8e-05,0.0,-1,0.0
2016-11-14,2.8e-05,2.8e-05,2.1e-05,2.1e-05,1.0,-1,0.0
2016-11-15,2.1e-05,2.1e-05,2.1e-05,2.1e-05,0.0,-1,0.0
2016-11-16,2.1e-05,2.2e-05,2.1e-05,2.2e-05,1.0,-1,0.0
2016-11-17,2.2e-05,2.3e-05,2.2e-05,2.2e-05,0.0,-1,0.0
2016-11-18,2.3e-05,2.3e-05,2.1e-05,2.1e-05,0.0,-1,0.0
2016-11-19,2.1e-05,2.1e-05,2e-05,2e-05,0.0,-1,0.0
