Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-06-25,0.000145,0.000145,0.000137,0.000142,431.0,49968.0,0.0
2014-06-26,0.000142,0.000184,0.000142,0.000145,72.0,48779.0,0.0
2014-06-27,0.000145,0.000234,0.000145,0.000179,254.0,50070.0,0.0
2014-06-28,0.00018,0.000233,0.000179,0.000191,241.0,61960.0,0.0
2014-06-29,0.000191,0.000199,0.000179,0.000187,30.0,65798.0,0.0
2014-06-30,0.000187,0.000237,0.000157,0.000198,246.0,64514.0,0.0
2014-07-01,0.000198,0.00024,0.000198,0.000224,254.0,68501.0,0.0
2014-07-02,0.000224,0.00025,0.000192,0.000241,56.0,77504.0,0.0
2014-07-03,0.000241,0.000246,0.000208,0.000213,93.0,83263.0,0.0
2014-07-04,0.000239,0.000239,0.000206,0.000227,108.0,82559.0,0.0
2014-07-05,0.000227,0.000227,0.000138,0.000164,111.0,78461.0,0.0
2014-07-06,0.000164,0.000222,8.9e-05,0.000102,302.0,56814.0,0.0
2014-07-07,0.000102,0.000232,9.4e-05,0.000112,720.0,35210.0,0.0
2014-07-08,0.000224,0.000226,0.000131,0.000206,576.0,77528.0,0.0
2014-07-09,0.000206,0.000207,0.000156,0.000162,212.0,71446.0,0.0
2014-07-10,0.000162,0.000163,8e-05,9.9e-05,194.0,56256.0,0.0
2014-07-11,9.9e-05,0.000126,9.3e-05,0.000126,265.0,34172.0,0.0
2014-07-12,0.000126,0.000127,0.000107,0.000108,210.0,43772.0,0.0
2014-07-13,0.000108,0.00015,0.000107,0.000132,136.0,37346.0,0.0
2014-07-14,0.000132,0.000205,0.000111,0.000192,730.0,45580.0,0.0
2014-07-15,0.000192,0.000205,0.000137,0.000143,747.0,66597.0,0.0
2014-07-16,0.000143,0.000197,0.000117,0.000136,315.0,49585.0,0.0
2014-07-17,0.000136,0.000167,8.7e-05,0.000118,429.0,47055.0,0.0
2014-07-18,0.000118,0.000137,9.4e-05,0.000113,311.0,41028.0,0.0
2014-07-19,0.000113,0.000132,9.4e-05,0.000126,129.0,39299.0,0.0
2014-07-20,0.000126,0.000138,0.0001,0.000119,98.0,43632.0,0.0
2014-07-21,0.000119,0.000131,9.3e-05,0.000131,91.0,41155.0,0.0
2014-07-22,0.000131,0.000137,0.000106,0.000106,117.0,45370.0,0.0
2014-07-23,0.000106,0.000131,9.3e-05,9.9e-05,249.0,36665.0,0.0
2014-07-24,9.9e-05,0.000128,6.6e-05,9.6e-05,286.0,34421.0,0.0
2014-07-25,9.6e-05,9.7e-05,8.4e-05,9e-05,125.0,33427.0,0.0
2014-07-26,9e-05,9e-05,5.9e-05,6.6e-05,15.0,31342.0,0.0
2014-07-27,6.6e-05,9e-05,4.7e-05,4.8e-05,8.0,22763.0,0.0
2014-07-28,4.8e-05,8.3e-05,3.5e-05,5.3e-05,8.0,16514.0,0.0
2014-07-29,5.3e-05,7e-05,5.2e-05,5.3e-05,2.0,18314.0,0.0
2014-07-30,5.3e-05,5.3e-05,4.5e-05,4.5e-05,3.0,18291.0,0.0
2014-07-31,4.5e-05,7e-05,4.1e-05,4.1e-05,2.0,15777.0,0.0
2014-08-01,4.1e-05,4.2e-05,4.1e-05,4.2e-05,1.0,14264.0,0.0
2014-08-02,4.2e-05,5.3e-05,4.1e-05,5.3e-05,0.0,14477.0,0.0
2014-08-03,5.3e-05,7e-05,4.1e-05,5.3e-05,1.0,18427.0,0.0
2014-08-04,5.3e-05,5.3e-05,4.1e-05,4.1e-05,2.0,18345.0,0.0
2014-08-05,4.1e-05,7e-05,1.2e-05,6.4e-05,16.0,14337.0,0.0
2014-08-06,6.4e-05,6.5e-05,3.5e-05,3.5e-05,18.0,22416.0,0.0
2014-08-07,3.5e-05,5.3e-05,2.4e-05,2.4e-05,18.0,12203.0,0.0
2014-08-08,2.4e-05,3.6e-05,2.4e-05,3e-05,22.0,8196.0,0.0
2014-08-09,3e-05,4.7e-05,2.9e-05,4.7e-05,15.0,10309.0,0.0
2014-08-10,4.7e-05,5.9e-05,4.7e-05,5.9e-05,11.0,16412.0,0.0
2014-08-11,5.9e-05,5.9e-05,3.5e-05,5.2e-05,22.0,20592.0,0.0
2014-08-12,5.2e-05,5.2e-05,2.8e-05,2.8e-05,22.0,18071.0,0.0
2014-08-13,2.9e-05,3.9e-05,2.7e-05,3.3e-05,7.0,9934.0,0.0
2014-08-14,3.3e-05,3.6e-05,1.5e-05,3.5e-05,33.0,11416.0,0.0
2014-08-15,3.6e-05,3.6e-05,1.5e-05,1.5e-05,31.0,12465.0,0.0
2014-08-16,1.5e-05,2.4e-05,5e-06,5e-06,4.0,5203.0,0.0
2014-08-17,5e-06,2.5e-05,5e-06,2e-05,4.0,1809.0,0.0
2014-08-18,2e-05,2e-05,1.3e-05,1.4e-05,2.0,6851.0,0.0
2014-08-19,1.4e-05,3.4e-05,1.4e-05,3.4e-05,8.0,4825.0,0.0
2014-08-20,3.4e-05,4.1e-05,2.8e-05,3.6e-05,10.0,11834.0,0.0
2014-08-21,3.6e-05,4.2e-05,2e-05,3.1e-05,41.0,12454.0,0.0
2014-08-22,3.1e-05,4.1e-05,2e-05,4.1e-05,41.0,10826.0,0.0
2014-08-23,4.1e-05,4.1e-05,2.5e-05,2.5e-05,3.0,14319.0,0.0
2014-08-24,2.5e-05,3.5e-05,2.5e-05,2.5e-05,0.0,8686.0,0.0
2014-08-25,2.5e-05,3.5e-05,2e-05,2e-05,0.0,8860.0,0.0
2014-08-26,2e-05,4.1e-05,2e-05,4.1e-05,2.0,7009.0,0.0
2014-08-27,4.1e-05,5.2e-05,2.6e-05,5.1e-05,22.0,14287.0,0.0
2014-08-28,5.1e-05,5.2e-05,2.5e-05,2.5e-05,20.0,17816.0,0.0
2014-08-29,2.5e-05,4.1e-05,2.5e-05,3.1e-05,0.0,8866.0,0.0
2014-08-30,3.1e-05,3.1e-05,3e-05,3e-05,1.0,10643.0,0.0
2014-08-31,3e-05,3e-05,2.8e-05,2.9e-05,1.0,10527.0,0.0
2014-09-01,2.9e-05,2.9e-05,2.4e-05,2.4e-05,1.0,10006.0,0.0
2014-09-02,2.4e-05,3.4e-05,2.4e-05,2.9e-05,1.0,8281.0,0.0
2014-09-03,2.9e-05,3.4e-05,1.9e-05,2.4e-05,18.0,9988.0,0.0
2014-09-04,2.4e-05,3.8e-05,2.4e-05,3.4e-05,46.0,8339.0,0.0
2014-09-05,3.4e-05,3.9e-05,1.9e-05,2.4e-05,44.0,11971.0,0.0
2014-09-06,2.4e-05,3.4e-05,2.4e-05,2.4e-05,19.0,8441.0,0.0
2014-09-07,2.4e-05,2.9e-05,2.4e-05,2.9e-05,10.0,8474.0,0.0
2014-09-08,2.9e-05,2.9e-05,2.8e-05,2.8e-05,9.0,10100.0,0.0
2014-09-09,2.8e-05,3.3e-05,2.8e-05,2.9e-05,7.0,9955.0,0.0
2014-09-10,2.9e-05,3.4e-05,2.4e-05,2.9e-05,32.0,9969.0,0.0
2014-09-11,2.9e-05,4.3e-05,2.9e-05,3.4e-05,83.0,10058.0,0.0
2014-09-12,3.4e-05,3.4e-05,2.8e-05,2.9e-05,63.0,11801.0,0.0
2014-09-13,2.9e-05,3.3e-05,2.9e-05,2.9e-05,6.0,10078.0,0.0
2014-09-14,2.9e-05,3.4e-05,2.9e-05,2.9e-05,3.0,10107.0,0.0
2014-09-15,2.9e-05,2.9e-05,2.8e-05,2.9e-05,3.0,10080.0,0.0
2014-09-16,2.8e-05,2.9e-05,2.3e-05,2.8e-05,24.0,10019.0,0.0
2014-09-17,2.8e-05,3.2e-05,2.3e-05,2.3e-05,25.0,9832.0,0.0
2014-09-18,2.3e-05,2.7e-05,2.3e-05,2.5e-05,2.0,8035.0,0.0
2014-09-19,2.5e-05,2.8e-05,2.3e-05,2.4e-05,1.0,8953.0,0.0
2014-09-20,2.4e-05,2.5e-05,2.3e-05,2.5e-05,2.0,8332.0,0.0
2014-09-21,2.4e-05,2.8e-05,2.4e-05,2.8e-05,1.0,8617.0,0.0
2014-09-22,2.8e-05,2.8e-05,2.4e-05,2.4e-05,15.0,9833.0,0.0
2014-09-23,2.4e-05,4e-05,1.3e-05,1.3e-05,155.0,8494.0,0.0
2014-09-24,1.3e-05,3.4e-05,1.3e-05,3.4e-05,151.0,4604.0,0.0
2014-09-25,3.4e-05,3.4e-05,2.9e-05,3.3e-05,33.0,11923.0,0.0
2014-09-26,3.3e-05,3.3e-05,2.4e-05,2.4e-05,18.0,11593.0,0.0
2014-09-27,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.0,8529.0,0.0
2014-09-28,2.4e-05,2.4e-05,1.9e-05,1.9e-05,4.0,8446.0,0.0
2014-09-29,1.9e-05,3.1e-05,1.9e-05,3e-05,4.0,6643.0,0.0
2014-09-30,3e-05,3e-05,1.9e-05,1.9e-05,0.0,10606.0,0.0
2014-10-01,1.9e-05,2e-05,1.9e-05,1.9e-05,0.0,6829.0,0.0
2014-10-02,1.9e-05,1.9e-05,1.9e-05,1.9e-05,0.0,6763.0,0.0
2014-10-03,1.9e-05,2.6e-05,1.9e-05,2.2e-05,15.0,6615.0,0.0
2014-10-04,2.2e-05,2.2e-05,1.3e-05,1.3e-05,26.0,7616.0,0.0
2014-10-05,1.3e-05,2.9e-05,1.3e-05,2.9e-05,56.0,4641.0,0.0
2014-10-06,2.9e-05,4.1e-05,1.8e-05,2.3e-05,82.0,10172.0,0.0
2014-10-07,2.3e-05,2.4e-05,1.6e-05,1.7e-05,65.0,8164.0,0.0
2014-10-08,1.7e-05,1.8e-05,1.6e-05,1.8e-05,30.0,5930.0,0.0
2014-10-09,1.8e-05,3.8e-05,1.7e-05,3.7e-05,13.0,6224.0,0.0
2014-10-10,3.6e-05,3.8e-05,2.1e-05,2.5e-05,12.0,12870.0,0.0
2014-10-11,2.5e-05,2.6e-05,1.8e-05,2.2e-05,10.0,8936.0,0.0
2014-10-12,2.2e-05,2.2e-05,1.8e-05,1.9e-05,30.0,7687.0,0.0
2014-10-13,1.9e-05,1.9e-05,1.5e-05,1.6e-05,25.0,6677.0,0.0
2014-10-14,1.6e-05,1.6e-05,8e-06,1.2e-05,25.0,5536.0,0.0
2014-10-15,1.2e-05,1.6e-05,8e-06,1.2e-05,22.0,4255.0,0.0
2014-10-16,1.2e-05,1.6e-05,1.1e-05,1.1e-05,3.0,4187.0,0.0
2014-10-17,1.1e-05,1.9e-05,1.1e-05,1.9e-05,1.0,4063.0,0.0
2014-10-18,1.9e-05,2e-05,1.2e-05,1.2e-05,0.0,6794.0,0.0
2014-10-19,1.2e-05,2.7e-05,8e-06,2.7e-05,11.0,4154.0,0.0
2014-10-20,2.7e-05,2.7e-05,8e-06,8e-06,12.0,9644.0,0.0
2014-10-21,8e-06,1.2e-05,8e-06,1.2e-05,2.0,2708.0,0.0
2014-10-22,1.2e-05,1.2e-05,8e-06,8e-06,1.0,4101.0,0.0
2014-10-23,8e-06,2.6e-05,7e-06,2.2e-05,6.0,2712.0,0.0
2014-10-24,2.2e-05,2.2e-05,1.1e-05,1.1e-05,6.0,7618.0,0.0
2014-10-25,1.1e-05,1.4e-05,1e-05,1.4e-05,0.0,3810.0,0.0
2014-10-26,1.4e-05,1.8e-05,1.4e-05,1.8e-05,2.0,4923.0,0.0
2014-10-27,1.8e-05,2.1e-05,1.4e-05,1.4e-05,4.0,6285.0,0.0
2014-10-28,1.4e-05,1.4e-05,1.4e-05,1.4e-05,3.0,5007.0,0.0
2014-10-29,1.4e-05,1.7e-05,1.3e-05,1.3e-05,1.0,5063.0,0.0
2014-10-30,1.3e-05,2.1e-05,1.3e-05,2.1e-05,1.0,4761.0,0.0
