Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-05-09,0.007359,0.010297,0.004839,0.004839,2943.0,6391.0,0.01
2015-05-10,0.004837,0.006047,0.001699,0.002658,253.0,4201.0,0.0
2015-05-11,0.002658,0.003517,0.000897,0.001816,159.0,2308.0,0.0
2015-05-12,0.001816,0.00218,0.001202,0.00217,149.0,1577.0,0.0
2015-05-13,0.002173,0.003931,0.002173,0.003853,414.0,1887.0,0.0
2015-05-14,0.00385,0.012978,0.002302,0.008956,454.0,9054.0,0.01
2015-05-15,0.008957,0.009287,0.003826,0.004967,4073.0,21064.0,0.01
2015-05-16,0.004967,0.005448,0.002862,0.003939,2569.0,12874.0,0.0
2015-05-17,0.003939,0.004643,0.003083,0.003348,1255.0,10586.0,0.0
2015-05-18,0.003349,0.003837,0.00268,0.00268,698.0,9001.0,0.0
2015-05-19,0.002679,0.003787,0.001868,0.002029,620.0,7907.0,0.0
2015-05-20,0.002029,0.003096,0.002029,0.002737,269.0,6223.0,0.0
2015-05-21,0.002737,0.002963,0.002353,0.002904,752.0,8697.0,0.0
2015-05-22,0.002904,0.002933,0.002342,0.002343,255.0,9573.0,0.0
2015-05-23,0.002343,0.003062,0.002342,0.00306,133.0,7997.0,0.0
2015-05-24,0.003061,0.003105,0.002175,0.002322,240.0,10796.0,0.0
2015-05-25,0.002322,0.003469,0.002206,0.002345,915.0,8381.0,0.0
2015-05-26,0.002346,0.002571,0.001454,0.001518,485.0,8839.0,0.0
2015-05-27,0.001517,0.00165,0.000266,0.000268,321.0,5895.0,0.0
2015-05-28,0.000268,0.000686,0.000147,0.000307,147.0,1075.0,0.0
2015-05-29,0.000307,0.000684,0.0003,0.000427,91.0,1269.0,0.0
2015-05-30,0.000337,0.00148,0.000245,0.000273,1325.0,1430.0,0.0
2015-05-31,0.000273,0.000357,0.00019,0.000205,97.0,1192.0,0.0
2015-06-01,0.000205,0.000312,0.000196,0.000236,92.0,919.0,0.0
2015-06-02,0.000236,0.000841,0.000196,0.000492,531.0,1089.0,0.0
2015-06-03,0.000492,0.000661,0.00028,0.00032,48.0,2326.0,0.0
2015-06-04,0.00042,0.000549,0.000247,0.000247,54.0,2036.0,0.0
2015-06-05,0.000247,0.000549,0.000247,0.000292,44.0,1224.0,0.0
2015-06-06,0.000293,0.000478,0.000196,0.000319,95.0,1486.0,0.0
2015-06-07,0.000319,0.000387,0.000229,0.000247,54.0,1652.0,0.0
2015-06-08,0.000247,0.00038,0.000231,0.000251,38.0,1313.0,0.0
2015-06-09,0.000252,0.000253,0.000214,0.000217,15.0,1371.0,0.0
2015-06-10,0.000217,0.000353,0.00013,0.000139,96.0,1213.0,0.0
2015-06-11,0.000139,0.000188,0.000122,0.000133,11.0,795.0,0.0
2015-06-12,0.000133,0.00039,0.000128,0.000329,134.0,777.0,0.0
2015-06-13,0.000329,0.000435,0.000195,0.000382,56.0,1956.0,0.0
2015-06-14,0.000382,0.000845,0.00026,0.000327,666.0,2314.0,0.0
2015-06-15,0.000327,0.000495,0.000239,0.000455,684.0,2023.0,0.0
2015-06-16,0.000455,0.000455,0.000247,0.000304,1147.0,2831.0,0.0
2015-06-17,0.000304,0.000338,0.000271,0.000287,63.0,1953.0,0.0
2015-06-18,0.000287,0.000321,0.000254,0.000254,70.0,1879.0,0.0
2015-06-19,0.000254,0.000264,0.000245,0.000246,11.0,1695.0,0.0
2015-06-20,0.000246,0.000246,0.000224,0.000228,28.0,1671.0,0.0
2015-06-21,0.000228,0.000252,0.00022,0.000251,44.0,1576.0,0.0
2015-06-22,0.000258,0.000269,0.000244,0.000269,11.0,1809.0,0.0
2015-06-23,0.000269,0.00049,0.000221,0.000489,185.0,1885.0,0.0
2015-06-24,0.000489,0.000613,0.000247,0.000613,75.0,3555.0,0.0
2015-06-25,0.000613,0.000627,0.00031,0.000338,44.0,4537.0,0.0
2015-06-26,0.000338,0.00055,0.000246,0.000514,7.0,2542.0,0.0
2015-06-27,0.000514,0.00057,0.00038,0.000399,45.0,3932.0,0.0
2015-06-28,0.000399,0.000409,0.000294,0.000384,30.0,3101.0,0.0
2015-06-29,0.000384,0.000385,0.000277,0.000285,16.0,3027.0,0.0
2015-06-30,0.000285,0.000358,0.000282,0.000288,54.0,2283.0,0.0
2015-07-01,0.000288,0.000361,0.000269,0.000352,18.0,2340.0,0.0
2015-07-02,0.000358,0.000358,0.000278,0.000283,15.0,2949.0,0.0
2015-07-03,0.000281,0.000331,0.000271,0.000305,7.0,2350.0,0.0
2015-07-04,0.000305,0.000306,0.000252,0.000258,5.0,2589.0,0.0
2015-07-05,0.000258,0.000285,0.000158,0.000285,38.0,2221.0,0.0
2015-07-06,0.000284,0.000284,8.8e-05,0.000183,20.0,2480.0,0.0
2015-07-07,0.000184,0.000214,8.5e-05,0.000178,59.0,1622.0,0.0
2015-07-08,0.000178,0.000417,0.000132,0.000417,49.0,1595.0,0.0
2015-07-09,0.000417,0.000728,0.000137,0.000137,30.0,3777.0,0.0
2015-07-10,0.000137,0.000609,0.000108,0.000527,83.0,1260.0,0.0
2015-07-11,0.000527,0.00058,0.000125,0.000127,78.0,4902.0,0.0
2015-07-12,0.000127,0.000257,0.000127,0.000178,20.0,1197.0,0.0
2015-07-13,0.000178,0.000178,0.000121,0.000169,16.0,1698.0,0.0
2015-07-14,0.000169,0.000178,0.000119,0.000129,13.0,1635.0,0.0
2015-07-15,0.000129,0.000512,0.00011,0.000512,34.0,1262.0,0.0
2015-07-16,0.000513,0.000586,0.000111,0.000111,7.0,5070.0,0.0
2015-07-17,0.000111,0.000111,9.5e-05,9.8e-05,29.0,1113.0,0.0
2015-07-18,9.8e-05,0.000173,9.8e-05,0.000173,20.0,990.0,0.0
2015-07-19,0.000173,0.000173,9.5e-05,0.000109,16.0,1772.0,0.0
2015-07-20,0.000109,0.000192,0.000108,0.000109,36.0,1133.0,0.0
2015-07-21,0.000109,0.00013,9.7e-05,0.00013,28.0,1139.0,0.0
2015-07-22,0.00013,0.006083,0.000112,0.006077,70.0,1372.0,0.0
