Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-09-19,0.000623,0.001057,0.000622,0.001047,11.0,251.0,0.0
2016-09-20,0.001047,0.001047,0.000503,0.000503,6.0,423.0,0.0
2016-09-21,0.000499,0.000537,0.000459,0.000537,7.0,208.0,0.0
2016-09-22,0.000538,0.001383,0.000538,0.001383,73.0,230.0,0.0
2016-09-23,0.001383,0.003009,0.000638,0.002411,58.0,609.0,0.0
2016-09-24,0.000754,0.000756,0.000735,0.000735,4.0,341.0,0.0
2016-09-25,0.000735,0.008928,0.000732,0.003608,2654.0,337.0,0.0
2016-09-26,0.003608,0.005986,0.000984,0.000985,384.0,1726.0,0.0
2016-09-27,0.000985,0.003299,0.000985,0.001218,9.0,479.0,0.0
2016-09-28,0.001219,0.002241,0.000829,0.000895,17.0,594.0,0.0
2016-09-29,0.000895,0.002276,0.000895,0.000981,27.0,452.0,0.0
2016-09-30,0.000981,0.001938,0.000981,0.001037,15.0,507.0,0.0
2016-10-01,0.001037,0.0016,0.000902,0.000903,11.0,548.0,0.0
2016-10-02,0.000903,0.00136,0.000882,0.000904,10.0,487.0,0.0
2016-10-03,0.00091,0.002253,0.00091,0.00093,18.0,502.0,0.0
2016-10-04,0.00093,0.001354,0.00089,0.000891,15.0,523.0,0.0
2016-10-05,0.000891,0.000921,0.000878,0.000882,8.0,511.0,0.0
2016-10-06,0.000882,0.000888,0.000864,0.00087,12.0,515.0,0.0
2016-10-07,0.00087,0.000877,0.000869,0.000876,12.0,520.0,0.0
2016-10-08,0.000877,0.000886,0.000877,0.000879,3.0,534.0,0.0
2016-10-09,0.000879,0.000896,0.00087,0.000894,14.0,541.0,0.0
2016-10-10,0.000894,0.000901,0.000893,0.000895,4.0,563.0,0.0
2016-10-11,0.000917,0.001271,0.000892,0.001269,17.0,577.0,0.0
2016-10-12,0.001269,0.00127,0.00075,0.000751,26.0,822.0,0.0
2016-10-13,0.000751,0.000754,0.000724,0.000724,8.0,494.0,0.0
2016-10-14,0.000725,0.000725,0.000708,0.000711,6.0,486.0,0.0
