Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-04-17,0.8315,1.07,0.796905,1.07,3733.0,-1.0,0.93
2017-04-18,1.07,1.33,0.8121,1.33,11299.0,-1.0,1.07
2017-04-19,1.21,1.64,1.21,1.45,5050.0,-1.0,1.42
2017-04-20,1.45,1.67,0.920407,1.65,6513.0,-1.0,1.3
2017-04-21,1.65,1.65,0.844531,1.34,9706.0,-1.0,1.25
2017-04-22,1.34,1.47,1.1,1.45,3406.0,7135520.0,1.29
2017-04-23,1.45,1.45,0.917897,0.96613,10439.0,7712150.0,1.18
2017-04-24,0.967994,1.39,0.734598,0.952564,13612.0,5232300.0,1.06
2017-04-25,0.95243,1.39,0.952297,1.27,11478.0,5148170.0,1.17
2017-04-26,1.27,1.34,1.02,1.19,10014.0,6848730.0,1.18
2017-04-27,1.19,1.41,0.905697,0.923702,13845.0,6450680.0,1.16
2017-04-28,1.05,1.19,0.918863,1.04,10179.0,5704540.0,1.05
2017-04-29,1.04,1.26,1.04,1.07,8786.0,5639280.0,1.15
2017-04-30,1.07,1.13,0.927739,0.964712,11160.0,5798150.0,1.03
2017-05-01,0.964479,1.16,0.961285,0.971962,39759.0,5219080.0,1.06
2017-05-02,0.971175,1.29,0.826513,0.995603,14493.0,5255320.0,1.06
2017-05-03,0.996334,1.27,0.873699,0.873699,2742.0,5391460.0,1.07
2017-05-04,0.874069,1.25,0.602384,0.792961,11433.0,4729850.0,0.93
2017-05-05,0.794134,1.33,0.624057,1.01,11549.0,4297300.0,0.98
2017-05-06,1.02,1.9,1.02,1.42,22599.0,5499670.0,1.46
2017-05-07,1.43,3.07,1.42,3.03,30722.0,7717670.0,2.25
2017-05-08,3.03,3.3,1.51,1.73,8431.0,16404900.0,2.4
2017-05-09,1.73,2.16,1.49,1.49,3963.0,9364680.0,1.83
2017-05-10,1.49,1.82,1.49,1.5,1308.0,8086880.0,1.66
2017-05-11,1.51,1.93,1.49,1.59,30248.0,8150300.0,1.71
2017-05-12,1.59,1.59,1.15,1.18,15309.0,8610050.0,1.37
2017-05-13,1.17,1.49,1.12,1.38,17457.0,6354960.0,1.31
2017-05-14,1.39,1.62,1.39,1.45,13358.0,7516270.0,1.5
