Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-07-05,0.000742,0.002506,0.00074,0.001351,80710.0,-1.0,0.0
2017-07-06,0.001352,0.001607,0.000959,0.000987,63872.0,-1.0,0.0
2017-07-07,0.000987,0.001769,0.000781,0.00105,126177.0,-1.0,0.0
2017-07-08,0.001051,0.00112,0.000402,0.000535,23583.0,-1.0,0.0
2017-07-09,0.000535,0.000664,0.000431,0.0005,61712.0,-1.0,0.0
2017-07-10,0.000551,0.000552,0.000397,0.000446,18767.0,-1.0,0.0
2017-07-11,0.000445,0.00045,0.00021,0.000279,1452.0,-1.0,0.0
2017-07-12,0.000278,0.000289,0.000181,0.000215,451.0,-1.0,0.0
2017-07-13,0.000215,0.000447,0.000117,0.000445,2787.0,-1.0,0.0
2017-07-14,0.000445,0.00049,0.000254,0.000422,3451.0,-1.0,0.0
2017-07-15,0.000422,0.000731,0.000355,0.000398,1488.0,-1.0,0.0
2017-07-16,0.000397,0.000584,0.000337,0.000539,724.0,27792.0,0.0
2017-07-17,0.000538,0.000626,0.000408,0.000532,942.0,37689.0,0.0
2017-07-18,0.000533,0.000576,0.000479,0.000529,386.0,37344.0,0.0
2017-07-19,0.00053,0.000688,0.000231,0.000475,3582.0,37074.0,0.0
2017-07-20,0.000474,0.000522,0.000276,0.00045,1412.0,33152.0,0.0
2017-07-21,0.000453,0.000505,0.00027,0.0004,290.0,31718.0,0.0
2017-07-22,0.0004,0.000424,0.000363,0.000368,7.0,28006.0,0.0
2017-07-23,0.000368,0.00037,0.000293,0.000303,285.0,25757.0,0.0
2017-07-24,0.000303,0.000359,0.00022,0.000359,123.0,21179.0,0.0
2017-07-25,0.000359,0.000361,0.000132,0.000333,69.0,25099.0,0.0
2017-07-26,0.000333,0.000339,0.000292,0.000302,99.0,23298.0,0.0
2017-07-27,0.000303,0.000311,0.000179,0.000212,21.0,21208.0,0.0
2017-07-28,0.000213,0.000305,0.000194,0.000195,26.0,14902.0,0.0
2017-07-29,0.000195,0.000195,0.000107,0.000109,150.0,13681.0,0.0
2017-07-30,0.000109,0.00022,0.000104,0.000219,19.0,7611.0,0.0
2017-07-31,0.000219,0.000252,0.000216,0.000229,104.0,15347.0,0.0
2017-08-01,0.000229,0.000262,0.000226,0.000246,0.0,16029.0,0.0
2017-08-02,0.000246,0.000248,0.000133,0.000216,62.0,17195.0,0.0
2017-08-03,0.000216,0.00028,0.000139,0.000139,240.0,15115.0,0.0
2017-08-04,0.000112,0.000201,5.6e-05,0.000143,58.0,7806.0,0.0
2017-08-05,0.000143,0.000299,0.000143,0.00026,117.0,9991.0,0.0
2017-08-06,0.00026,0.000263,0.000222,0.000258,28.0,18229.0,0.0
2017-08-07,0.000258,0.000259,9.8e-05,0.000136,28.0,18033.0,0.0
2017-08-08,0.000136,0.000207,0.000101,0.000205,32.0,9497.0,0.0
2017-08-09,0.000205,0.000206,9.9e-05,0.000201,159.0,14359.0,0.0
2017-08-10,0.000201,0.000202,0.000137,0.000137,20.0,14041.0,0.0
2017-08-11,0.000137,0.000148,0.00011,0.00011,5.0,9565.0,0.0
2017-08-12,0.00011,0.000229,0.00011,0.000194,6.0,7666.0,0.0
2017-08-13,0.000193,0.000209,0.000154,0.000203,59.0,13537.0,0.0
2017-08-14,0.000203,0.000216,0.000124,0.000216,16.0,14217.0,0.0
2017-08-15,0.000216,0.000221,4.1e-05,0.000124,46.0,15145.0,0.0
2017-08-16,0.000125,0.00013,8.5e-05,8.8e-05,16.0,8723.0,0.0
2017-08-17,8.8e-05,0.000224,8.5e-05,0.000215,23.0,6144.0,0.0
2017-08-18,0.000214,0.000217,4e-05,4.1e-05,177.0,14979.0,0.0
2017-08-19,4.1e-05,0.000205,4.1e-05,8.3e-05,118.0,2876.0,0.0
2017-08-20,8.3e-05,8.3e-05,8.1e-05,8.1e-05,116.0,5803.0,0.0
2017-08-21,8.1e-05,8.2e-05,7.9e-05,8e-05,67.0,5680.0,0.0
2017-08-22,8e-05,8.3e-05,7.2e-05,8.2e-05,72.0,5601.0,0.0
2017-08-23,8.2e-05,0.000128,8.1e-05,8.3e-05,409.0,5720.0,0.0
2017-08-24,8.3e-05,0.000175,8.2e-05,0.000173,17.0,5800.0,0.0
2017-08-25,0.000173,0.000179,0.000172,0.000174,57.0,12121.0,0.0
2017-08-26,0.000175,0.000218,0.000128,0.000217,89338.0,12226.0,0.0
2017-08-27,0.000217,0.000437,0.000174,0.000434,56505.0,15208.0,0.0
2017-08-28,0.000348,0.000526,0.000296,0.000526,109765.0,24348.0,0.0
2017-08-29,0.000526,0.000834,0.000322,0.000414,11314.0,36804.0,0.0
2017-08-30,0.000414,0.000601,0.000323,0.000459,80572.0,28981.0,0.0
2017-08-31,0.000458,0.000506,0.000184,0.00019,1922.0,32056.0,0.0
2017-09-01,0.000189,0.000332,0.000188,0.000246,390.0,13264.0,0.0
2017-09-02,0.000246,0.000276,0.000135,0.000276,300.0,17234.0,0.0
2017-09-03,0.000277,0.000282,0.000177,0.000231,2085.0,19367.0,0.0
2017-09-04,0.000277,0.000277,0.000208,0.000214,186.0,19400.0,0.0
2017-09-05,0.000215,0.000225,0.000129,0.000221,347.0,15071.0,0.0
2017-09-06,0.000221,0.000241,0.000177,0.000185,197.0,15470.0,0.0
2017-09-07,0.000185,0.000234,0.00018,0.000232,77.0,12924.0,0.0
2017-09-08,0.000232,0.000232,0.000167,0.000216,8.0,16218.0,0.0
2017-09-09,0.000216,0.000217,0.000168,0.000174,91.0,15151.0,0.0
2017-09-10,0.000174,0.00021,0.000162,0.00017,35.0,12159.0,0.0
2017-09-11,0.00017,0.000175,0.000165,0.000169,8.0,11921.0,0.0
2017-09-12,0.000127,0.000131,0.000123,0.000125,29.0,8911.0,0.0
2017-09-13,0.000125,0.000198,0.000118,0.000155,180.0,8753.0,0.0
2017-09-14,0.000155,0.000217,0.000113,0.000161,423.0,10857.0,0.0
2017-09-15,0.000162,0.000417,0.000161,0.000409,1286.0,11356.0,0.0
2017-09-16,0.000408,0.000704,0.00026,0.000372,5596.0,28562.0,0.0
2017-09-17,0.000371,0.000508,0.000218,0.000333,387.0,26001.0,0.0
2017-09-18,0.000333,0.000413,0.000333,0.000409,95.0,23279.0,0.0
2017-09-19,0.00041,0.000412,0.000232,0.000353,1289.0,28722.0,0.0
2017-09-20,0.000352,0.000354,0.000233,0.000234,198.0,24656.0,0.0
2017-09-21,0.000233,0.000295,0.000144,0.000145,116.0,16294.0,0.0
2017-09-22,0.000145,0.000183,0.000106,0.000145,557.0,10138.0,0.0
2017-09-23,0.000144,0.000191,0.000143,0.000152,161.0,10100.0,0.0
2017-09-24,0.000152,0.000187,0.000146,0.000147,80.0,10608.0,0.0
2017-09-25,0.000147,0.000152,0.000113,0.000118,305.0,10283.0,0.0
2017-09-26,0.000118,0.000235,0.000118,0.000195,593.0,8260.0,0.0
2017-09-27,0.000194,0.000543,0.000163,0.000337,4842.0,13610.0,0.0
2017-09-28,0.000337,0.000426,0.000214,0.000378,1377.0,23562.0,0.0
