Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-07-21,0.016597,0.033684,0.015962,0.032014,957.0,-1.0,0.02
2017-07-22,0.03136,0.057682,0.021136,0.024059,8011.0,-1.0,0.04
2017-07-23,0.024106,0.048576,0.02329,0.041306,1767.0,-1.0,0.04
2017-07-24,0.040947,0.068828,0.027134,0.041343,4948.0,-1.0,0.05
2017-07-25,0.041404,0.053652,0.02833,0.047215,1973.0,-1.0,0.04
2017-07-26,0.028263,0.04674,0.020093,0.037136,705.0,-1.0,0.03
2017-07-27,0.037167,0.040044,0.028469,0.039662,918.0,-1.0,0.03
2017-07-28,0.038893,0.039884,0.02027,0.022242,1407.0,4364130.0,0.03
2017-07-29,0.022336,0.035024,0.022336,0.027971,1383.0,2645630.0,0.03
2017-07-30,0.027996,0.029037,0.026068,0.027375,2213.0,3501460.0,0.03
2017-07-31,0.027432,0.02937,0.020315,0.021314,766.0,3614310.0,0.02
2017-08-01,0.021103,0.024236,0.013324,0.013501,2393.0,2939000.0,0.02
2017-08-02,0.013508,0.018253,0.010803,0.013676,3215.0,1959340.0,0.01
2017-08-03,0.013696,0.040921,0.012241,0.037869,15728.0,2079730.0,0.03
2017-08-04,0.037837,0.037837,0.014707,0.016739,5562.0,6003690.0,0.03
2017-08-05,0.017898,0.044126,0.016202,0.02086,6757.0,2960760.0,0.03
2017-08-06,0.020442,0.022821,0.017677,0.022726,2129.0,3509350.0,0.02
2017-08-07,0.026885,0.027127,0.020529,0.020708,5591.0,4792400.0,0.02
2017-08-08,0.020588,0.026352,0.017775,0.019448,5493.0,3795970.0,0.02
2017-08-09,0.02041,0.021322,0.015087,0.015087,6765.0,3899510.0,0.02
2017-08-10,0.015118,0.020798,0.014042,0.015547,13301.0,2989580.0,0.02
2017-08-11,0.016537,0.028389,0.01411,0.027202,15607.0,3381180.0,0.02
2017-08-12,0.02477,0.030182,0.022887,0.027587,10539.0,5234640.0,0.03
2017-08-13,0.026088,0.031456,0.023265,0.029544,16894.0,5690800.0,0.03
2017-08-14,0.031551,0.032412,0.021564,0.023238,10300.0,7095590.0,0.03
2017-08-15,0.023205,0.027547,0.014554,0.018177,3826.0,5377030.0,0.02
2017-08-16,0.018097,0.018286,0.01435,0.016339,3820.0,4287740.0,0.02
2017-08-17,0.016282,0.017777,0.015548,0.017125,5617.0,3988510.0,0.02
2017-08-18,0.017074,0.017395,0.014911,0.016281,3712.0,4297390.0,0.02
2017-08-19,0.016287,0.016679,0.013556,0.015211,2675.0,4210510.0,0.02
2017-08-20,0.015124,0.016837,0.013559,0.01383,3812.0,4009040.0,0.02
2017-08-21,0.013747,0.014563,0.009492,0.01287,5760.0,3731720.0,0.01
2017-08-22,0.013273,0.014134,0.009981,0.011036,4717.0,3689430.0,0.01
2017-08-23,0.011527,0.012049,0.00943,0.010133,2459.0,3280000.0,0.01
2017-08-24,0.009734,0.012193,0.007981,0.012193,7533.0,2834120.0,0.01
2017-08-25,0.011965,0.012971,0.010234,0.010333,3479.0,3564070.0,0.01
2017-08-26,0.010332,0.011065,0.008015,0.008851,2420.0,3145290.0,0.01
2017-08-27,0.008849,0.020317,0.00805,0.0139,12143.0,2754260.0,0.01
2017-08-28,0.013913,0.016577,0.011075,0.014212,13864.0,4422900.0,0.01
2017-08-29,0.014209,0.02013,0.011668,0.016671,12640.0,4611720.0,0.02
2017-08-30,0.016623,0.019189,0.013626,0.016512,10616.0,5499790.0,0.02
2017-08-31,0.016494,0.017297,0.012606,0.017285,7404.0,5567290.0,0.01
2017-09-01,0.017278,0.017757,0.014024,0.014518,3025.0,5945530.0,0.02
2017-09-02,0.014788,0.015323,0.012223,0.012831,3160.0,5188750.0,0.01
2017-09-03,0.012553,0.012713,0.010679,0.011266,2324.0,4490150.0,0.01
2017-09-04,0.011702,0.01171,0.005771,0.009239,4770.0,4264780.0,0.01
2017-09-05,0.009206,0.009598,0.008043,0.008691,3784.0,3417060.0,0.01
2017-09-06,0.00847,0.009411,0.008253,0.008955,7457.0,3200980.0,0.01
2017-09-07,0.008959,0.010916,0.008116,0.01091,6475.0,3447310.0,0.01
2017-09-08,0.010907,0.011112,0.008042,0.010066,15548.0,4270740.0,0.01
2017-09-09,0.010084,0.010084,0.007865,0.008387,4646.0,4017360.0,0.01
2017-09-10,0.008396,0.01761,0.00694,0.017075,41402.0,3400610.0,0.01
2017-09-11,0.017076,0.018697,0.007379,0.008488,9345.0,7032570.0,0.01
2017-09-12,0.008485,0.008632,0.007055,0.007974,6137.0,3551400.0,0.01
2017-09-13,0.007976,0.008198,0.006767,0.006838,3662.0,3392760.0,0.01
2017-09-14,0.006839,0.007233,0.005319,0.005319,2101.0,2955010.0,0.01
2017-09-15,0.005224,0.00704,0.004447,0.006062,4163.0,2292530.0,0.01
2017-09-16,0.006118,0.007026,0.005401,0.005752,8024.0,2726590.0,0.01
2017-09-17,0.005349,0.005388,0.004765,0.005343,6640.0,2425890.0,0.01
2017-09-18,0.005748,0.016612,0.005493,0.016612,80248.0,2650660.0,0.01
2017-09-19,0.015759,0.029762,0.014546,0.019144,66802.0,7396710.0,0.02
2017-09-20,0.018261,0.025286,0.016059,0.020254,33223.0,8672850.0,0.02
2017-09-21,0.018307,0.023211,0.017385,0.017539,25505.0,8855010.0,0.02
2017-09-22,0.017024,0.018236,0.014833,0.016047,11761.0,8369750.0,0.02
2017-09-23,0.014924,0.019613,0.013544,0.017304,23573.0,7451530.0,0.02
2017-09-24,0.016055,0.022559,0.014974,0.019845,27506.0,8143830.0,0.02
