Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-02-07,0.000644,0.001858,0.000644,0.001857,85.0,2432.0,0.0
2017-02-08,0.001859,0.00641,0.001078,0.00287,846.0,7015.0,0.0
2017-02-09,0.002875,0.004744,0.002269,0.003122,615.0,10853.0,0.0
2017-02-10,0.003126,0.004153,0.001234,0.002837,712.0,11838.0,0.0
2017-02-11,0.002838,0.003025,0.001049,0.001306,22.0,10755.0,0.0
2017-02-12,0.001305,0.00274,0.0013,0.002578,334.0,4951.0,0.0
2017-02-13,0.002577,0.002585,0.000525,0.000584,31.0,9780.0,0.0
2017-02-14,0.000585,0.002257,0.000585,0.000904,77.0,2225.0,0.0
2017-02-15,0.000906,0.002098,0.000593,0.002096,108.0,3457.0,0.0
2017-02-16,0.002096,0.002117,0.000772,0.001849,130.0,8000.0,0.0
2017-02-17,0.001847,0.002983,0.001299,0.002867,977.0,7051.0,0.0
2017-02-18,0.002875,0.003114,0.001691,0.002351,1202.0,10976.0,0.0
2017-02-19,0.002352,0.002422,0.001683,0.001771,656.0,9000.0,0.0
2017-02-20,0.001772,0.002183,0.000423,0.001382,1789.0,6789.0,0.0
2017-02-21,0.001403,0.002301,0.001107,0.001271,2731.0,6032.0,0.0
2017-02-22,0.001327,0.001395,0.000639,0.001039,1716.0,5705.0,0.0
2017-02-23,0.000972,0.001721,0.000962,0.001517,6817.0,4182.0,0.0
2017-02-24,0.001525,0.005586,0.001242,0.003486,14567.0,6572.0,0.0
2017-02-25,0.00199,0.004599,0.001002,0.00294,15232.0,8625.0,0.0
2017-02-26,0.002941,0.005209,0.001797,0.002575,4388.0,12944.0,0.0
2017-02-27,0.002572,0.002612,0.002571,0.002608,64.0,11490.0,0.0
2017-03-01,0.001111,0.001112,0.001111,0.001112,46.0,5180.0,0.0
2017-03-02,0.001114,0.003225,0.000954,0.003065,6105.0,5199.0,0.0
2017-03-03,0.001276,0.003012,0.000756,0.001629,3044.0,6038.0,0.0
2017-03-04,0.001632,0.001809,0.000868,0.000969,1173.0,7833.0,0.0
2017-03-05,0.000968,0.001142,0.000968,0.001115,2281.0,4706.0,0.0
2017-03-06,0.001115,0.001936,0.001075,0.001272,947.0,5498.0,0.0
2017-03-07,0.001272,0.001675,0.001183,0.001224,155.0,6357.0,0.0
2017-03-08,0.001223,0.001232,0.000887,0.000889,39.0,6187.0,0.0
2017-03-09,0.000889,0.001074,0.000671,0.000891,123.0,4556.0,0.0
2017-03-10,0.000892,0.002645,0.000707,0.002535,2257.0,4626.0,0.0
2017-03-11,0.002534,0.002568,0.000925,0.000947,36.0,13142.0,0.0
2017-03-12,0.000947,0.001074,0.000804,0.000806,46.0,5047.0,0.0
2017-03-13,0.000806,0.000965,0.000489,0.000616,156.0,4351.0,0.0
2017-03-14,0.000616,0.001095,0.00061,0.000769,138.0,3349.0,0.0
2017-03-15,0.000769,0.001561,0.000769,0.000875,252.0,4180.0,0.0
2017-03-16,0.000876,0.001226,0.000798,0.0012,200.0,4762.0,0.0
2017-03-17,0.001192,0.001192,0.000616,0.000617,32.0,6480.0,0.0
2017-03-18,0.000616,0.000845,0.000414,0.000454,177.0,3351.0,0.0
2017-03-19,0.000456,0.000685,0.000456,0.000518,84.0,2478.0,0.0
2017-03-20,0.000519,0.00157,0.000518,0.001054,419.0,2820.0,0.0
2017-03-21,0.001055,0.002142,0.000584,0.001154,585.0,5738.0,0.0
2017-03-22,0.001154,0.005926,0.001145,0.00556,19868.0,6275.0,0.0
2017-03-23,0.005565,0.006318,0.003614,0.005387,4107.0,30257.0,0.0
2017-03-24,0.005386,0.005916,0.002007,0.003103,6950.0,29283.0,0.0
2017-03-25,0.003353,0.007571,0.002849,0.004154,8629.0,18228.0,0.01
2017-03-26,0.004043,0.007315,0.003703,0.003877,6580.0,21979.0,0.01
2017-03-27,0.003899,0.005131,0.002305,0.002792,4072.0,21197.0,0.0
2017-03-28,0.002674,0.004709,0.002496,0.003594,5265.0,14538.0,0.0
2017-03-29,0.003591,0.004069,0.002599,0.002964,7087.0,19521.0,0.0
2017-03-30,0.002824,0.003858,0.002065,0.002423,4996.0,15355.0,0.0
2017-03-31,0.002362,0.0035,0.002171,0.002786,3361.0,17574.0,0.0
2017-04-01,0.00269,0.003501,0.002448,0.003035,4700.0,20328.0,0.0
2017-04-02,0.003304,0.003304,0.002707,0.002832,3987.0,25372.0,0.0
2017-04-03,0.002823,0.002934,0.002639,0.002688,4558.0,22011.0,0.0
2017-04-04,0.002715,0.002955,0.002589,0.002698,3158.0,21493.0,0.0
2017-04-05,0.0027,0.002722,0.002549,0.002598,3369.0,21691.0,0.0
2017-04-06,0.002601,0.003364,0.002589,0.002945,4914.0,21207.0,0.0
2017-04-07,0.002865,0.003461,0.002673,0.003071,2862.0,23705.0,0.0
2017-04-08,0.00306,0.00306,0.00262,0.002896,3164.0,25761.0,0.0
2017-04-09,0.002886,0.003475,0.002638,0.002738,5264.0,24804.0,0.0
2017-04-10,0.002792,0.003091,0.002631,0.002653,5625.0,24471.0,0.0
2017-04-11,0.002654,0.002947,0.001937,0.00233,4649.0,23705.0,0.0
2017-04-12,0.002419,0.00294,0.001962,0.002358,4738.0,22021.0,0.0
2017-04-13,0.002348,0.002955,0.001739,0.002183,1500.0,21522.0,0.0
2017-04-14,0.002186,0.004669,0.001951,0.003088,7590.0,20036.0,0.0
2017-04-15,0.003154,0.004699,0.002667,0.003238,3837.0,28913.0,0.0
2017-04-16,0.004114,0.004665,0.002952,0.003725,4107.0,37712.0,0.0
2017-04-17,0.003773,0.007061,0.003208,0.006619,8281.0,34588.0,0.01
2017-04-18,0.006618,0.00808,0.00123,0.001878,4715.0,60665.0,0.0
2017-04-19,0.001496,0.004082,0.00141,0.001948,7852.0,13718.0,0.0
2017-04-20,0.001949,0.002227,0.001484,0.001628,1338.0,17870.0,0.0
2017-04-21,0.001662,0.001829,0.001353,0.001576,3613.0,15237.0,0.0
2017-04-22,0.001565,0.00171,0.001258,0.001359,1970.0,14347.0,0.0
2017-04-23,0.001359,0.001517,0.001277,0.001291,1310.0,12460.0,0.0
2017-04-24,0.001294,0.001347,0.001273,0.001318,717.0,11861.0,0.0
2017-04-25,0.001318,0.001692,0.001275,0.001377,1280.0,12083.0,0.0
2017-04-26,0.001378,0.001712,0.001288,0.001293,848.0,12629.0,0.0
2017-04-27,0.001294,0.001337,0.000975,0.001107,1878.0,11865.0,0.0
2017-04-28,0.00112,0.001454,0.001025,0.001278,2611.0,10269.0,0.0
2017-04-29,0.00128,0.001696,0.001224,0.001419,2218.0,11731.0,0.0
2017-04-30,0.001398,0.001612,0.001331,0.001466,558.0,12813.0,0.0
2017-05-01,0.001467,0.001767,0.001313,0.001407,5137.0,13445.0,0.0
2017-05-02,0.001421,0.001656,0.001188,0.001278,4221.0,13026.0,0.0
2017-05-03,0.001279,0.001512,0.000951,0.001046,2644.0,11728.0,0.0
2017-05-04,0.001047,0.001552,0.001005,0.001307,1938.0,9595.0,0.0
2017-05-05,0.00131,0.001395,0.001238,0.001303,908.0,12006.0,0.0
2017-05-06,0.001304,0.001379,0.001252,0.001279,2337.0,11956.0,0.0
2017-05-07,0.001279,0.001282,0.001249,0.001277,181.0,11729.0,0.0
