Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-07-25,0.010755,0.010778,0.010745,0.010756,-1.0,1369.0,0.01
2013-07-26,0.010762,0.028917,0.002881,0.002882,-1.0,1378.0,0.02
2013-07-27,0.002882,0.013819,0.002825,0.003813,-1.0,447.0,0.01
2013-07-28,0.003824,0.010034,0.003808,0.009975,-1.0,690.0,0.01
2013-07-29,0.009859,0.01,0.004184,0.004352,-1.0,2065.0,0.01
2013-07-30,0.004364,0.005619,0.004312,0.00459,-1.0,985.0,0.0
2013-07-31,0.004588,0.005652,0.004493,0.004776,-1.0,1130.0,0.01
2013-08-01,0.004782,0.008911,0.004369,0.00884,-1.0,1256.0,0.01
2013-08-02,0.008913,0.00896,0.004369,0.006837,-1.0,2375.0,0.01
2013-08-03,0.006837,0.009914,0.005712,0.009839,-1.0,1846.0,0.01
2013-08-04,0.009928,0.009928,0.006729,0.008837,-1.0,2864.0,0.01
2013-08-05,0.008835,0.010296,0.006383,0.006586,-1.0,2740.0,0.01
2013-08-06,0.006617,0.010152,0.006572,0.007459,-1.0,2244.0,0.01
2013-08-07,0.007459,0.009004,0.007156,0.007537,-1.0,2710.0,0.01
2013-08-08,0.007537,0.010298,0.006901,0.010298,-1.0,2946.0,0.01
2013-08-09,0.010305,0.036888,0.007696,0.017733,-1.0,4262.0,0.02
2013-08-10,0.017733,0.02074,0.010266,0.020549,-1.0,7779.0,0.02
2013-08-11,0.020549,0.020844,0.013236,0.013559,-1.0,9584.0,0.02
2013-08-12,0.013559,0.015817,0.010784,0.010984,-1.0,6642.0,0.01
2013-08-13,0.011021,0.015859,0.010779,0.01417,-1.0,5609.0,0.01
2013-08-14,0.014242,0.014898,0.008452,0.00847,-1.0,7531.0,0.01
2013-08-15,0.00847,0.008522,0.00701,0.007067,-1.0,4666.0,0.01
2013-08-16,0.007067,0.007075,0.006522,0.006551,-1.0,4086.0,0.01
2013-08-17,0.006551,0.011375,0.006504,0.007413,-1.0,3942.0,0.01
2013-08-18,0.007364,0.007477,0.007017,0.007094,-1.0,4638.0,0.01
2013-08-19,0.007086,0.00964,0.006986,0.007474,-1.0,4652.0,0.01
2013-08-20,0.007474,0.009798,0.007134,0.009696,-1.0,5124.0,0.01
