Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-12-15,226.65,436.13,203.44,343.19,11329400.0,-1,319.78
2017-12-16,325.25,337.75,237.46,250.21,3419680.0,-1,287.61
2017-12-17,248.13,273.02,230.79,249.28,1969230.0,-1,251.9
2017-12-18,247.66,289.6,247.45,276.47,2179250.0,-1,268.52
2017-12-19,275.88,307.21,241.62,271.77,3110840.0,-1,274.41
2017-12-20,270.96,332.37,228.53,288.84,3008290.0,-1,280.45
2017-12-21,289.87,296.3,246.52,254.93,1408600.0,-1,271.41
2017-12-22,258.46,260.63,168.04,193.34,1120560.0,-1,214.33
2017-12-23,193.3,242.1,193.3,211.9,611490.0,-1,217.7
2017-12-24,211.95,216.12,185.51,204.13,419379.0,-1,200.81
2017-12-25,205.91,298.06,200.3,257.43,1907350.0,-1,249.18
2017-12-26,257.35,362.28,257.35,323.73,2957980.0,-1,309.81
2017-12-27,322.98,345.9,282.11,298.36,1537400.0,-1,314.0
2017-12-28,297.32,298.71,244.16,255.0,972685.0,-1,271.44
2017-12-29,260.87,269.99,234.69,237.9,904262.0,-1,252.34
2017-12-30,235.32,243.1,180.3,189.53,689228.0,-1,211.7
2017-12-31,187.9,219.73,183.62,209.1,587936.0,-1,201.68
2018-01-01,209.86,209.86,164.68,164.68,1013170.0,-1,187.27
2018-01-02,162.69,217.73,162.69,201.98,1702030.0,-1,190.21
2018-01-03,199.32,202.63,173.94,175.59,1278600.0,-1,188.28
2018-01-04,178.13,189.8,163.86,171.36,1950580.0,-1,176.83
2018-01-05,170.63,171.08,120.42,127.28,3275290.0,-1,145.75
2018-01-06,126.76,164.75,120.8,148.03,1942900.0,-1,142.78
2018-01-07,143.23,200.07,140.71,148.46,1924250.0,-1,170.39
2018-01-08,150.86,153.22,111.84,125.88,2155880.0,-1,132.53
2018-01-09,128.75,138.56,117.61,125.03,3318580.0,-1,128.09
2018-01-10,122.92,130.13,103.57,118.8,4327020.0,-1,116.85
2018-01-11,115.78,120.83,84.09,96.78,4660680.0,-1,102.46
2018-01-12,98.48,126.78,95.29,96.47,4975680.0,-1,111.03
2018-01-13,95.67,147.6,86.93,123.11,13229600.0,-1,117.27
2018-01-14,122.9,125.11,94.14,100.02,5335080.0,-1,109.62
2018-01-15,106.12,123.49,97.17,102.92,4181150.0,-1,110.33
