Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-06-08,0.018621,0.018756,0.015783,0.01594,85.0,5567.0,0.02
2015-06-09,0.015943,0.018357,0.011265,0.012845,8.0,4896.0,0.01
2015-06-10,0.012842,0.016636,0.012054,0.012338,3.0,4111.0,0.01
2015-06-11,0.012341,0.018849,0.012336,0.018833,66.0,4082.0,0.02
2015-06-12,0.018833,0.020716,0.012363,0.020681,146.0,6447.0,0.02
2015-06-13,0.020676,0.020676,0.014771,0.014785,1.0,7350.0,0.02
2015-06-14,0.014787,0.025834,0.007,0.010813,33.0,5414.0,0.02
2015-06-15,0.010807,0.01913,0.007382,0.007431,37.0,3957.0,0.01
2015-06-16,0.007429,0.01986,0.007386,0.01986,19.0,2720.0,0.01
2015-06-17,0.019854,0.020376,0.007786,0.007852,19.0,8184.0,0.01
2015-06-18,0.007857,0.014205,0.00769,0.014173,4.0,3390.0,0.01
2015-06-19,0.014175,0.014677,0.007344,0.008938,132.0,6379.0,0.01
2015-06-20,0.008935,0.014515,0.006862,0.007009,99.0,4195.0,0.01
2015-06-21,0.007006,0.012324,0.006976,0.009148,13.0,3468.0,0.01
2015-06-22,0.009149,0.011159,0.009146,0.011117,11.0,4721.0,0.01
2015-06-23,0.011114,0.01596,0.010995,0.015879,44.0,5946.0,0.01
2015-06-24,0.015878,0.028709,0.015816,0.021611,613.0,8854.0,0.02
2015-06-25,0.021597,0.022451,0.016415,0.016493,8.0,12918.0,0.02
2015-06-26,0.01648,0.019268,0.016409,0.018469,86.0,10135.0,0.02
2015-06-27,0.018466,0.018494,0.014448,0.015908,138.0,11357.0,0.02
2015-06-28,0.015905,0.025476,0.015786,0.025421,20.0,9783.0,0.02
2015-06-29,0.025392,0.026196,0.014878,0.021172,1416.0,15623.0,0.02
2015-06-30,0.02117,0.027046,0.020609,0.021462,1957.0,13027.0,0.02
2015-07-01,0.021484,0.021598,0.008956,0.010772,112.0,13225.0,0.02
2015-07-02,0.010769,0.018301,0.010769,0.017866,7.0,6630.0,0.01
2015-07-03,0.017869,0.017969,0.008188,0.00821,23.0,11004.0,0.01
2015-07-04,0.008215,0.010345,0.008142,0.010323,367.0,5060.0,0.01
2015-07-05,0.01032,0.010741,0.008926,0.010607,331.0,6357.0,0.01
2015-07-06,0.010576,0.01059,0.003472,0.006685,148.0,6516.0,0.01
2015-07-07,0.006709,0.013361,0.00433,0.012102,5183.0,4134.0,0.01
2015-07-08,0.012091,0.025145,0.011157,0.014484,1269.0,7453.0,0.02
2015-07-09,0.014486,0.014563,0.013811,0.013871,605.0,8930.0,0.01
2015-07-10,0.013867,0.016865,0.005664,0.005699,144.0,8550.0,0.01
2015-07-11,0.005699,0.012164,0.005676,0.011725,21.0,3514.0,0.01
2015-07-12,0.011725,0.015582,0.008387,0.014359,2131.0,7231.0,0.01
2015-07-13,0.014357,0.014363,0.011615,0.011641,33.0,8856.0,0.01
2015-07-14,0.01164,0.013283,0.010123,0.010123,20.0,7182.0,0.01
2015-07-15,0.010133,0.021321,0.010133,0.015418,3458.0,6254.0,0.02
2015-07-16,0.015429,0.015706,0.009938,0.011009,49.0,9525.0,0.01
2015-07-17,0.011009,0.031988,0.011009,0.01332,14.0,6797.0,0.02
2015-07-18,0.013313,0.01335,0.010768,0.010815,306.0,8221.0,0.01
2015-07-19,0.010809,0.012138,0.010082,0.011888,680.0,6675.0,0.01
2015-07-20,0.011883,0.011891,0.010028,0.010241,6.0,7339.0,0.01
2015-07-21,0.010238,0.019625,0.010229,0.011585,441.0,6322.0,0.01
2015-07-22,0.011578,0.018094,0.011563,0.013714,414.0,7153.0,0.01
