Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-11-05,0.385522,0.398048,0.299073,0.335981,-1.0,41452.0,0.35
2013-11-06,0.335351,0.364694,0.322076,0.330755,-1.0,37194.0,0.34
2013-11-07,0.329722,0.363108,0.150747,0.255227,-1.0,38499.0,0.26
2013-11-08,0.256467,0.318436,0.255675,0.297537,-1.0,30430.0,0.29
2013-11-09,0.29795,0.319058,0.20472,0.291451,-1.0,36442.0,0.26
2013-11-10,0.299797,0.423904,0.25643,0.297557,-1.0,37316.0,0.34
2013-11-11,0.296455,0.379692,0.229691,0.320918,-1.0,39257.0,0.3
2013-11-12,0.321499,0.442377,0.24074,0.360298,-1.0,45312.0,0.34
2013-11-13,0.360938,0.395362,0.163721,0.187406,-1.0,54249.0,0.28
2013-11-14,0.186965,0.307803,0.186965,0.286333,-1.0,29234.0,0.25
2013-11-15,0.285794,0.315086,0.238854,0.252028,-1.0,47482.0,0.28
2013-11-16,0.251624,0.331653,0.250589,0.287028,-1.0,43602.0,0.29
2013-11-17,0.28751,0.321946,0.265038,0.278042,-1.0,52235.0,0.29
2013-11-18,0.280568,0.297779,0.085363,0.107659,-1.0,53322.0,0.19
2013-11-19,0.109067,0.364643,0.084877,0.207349,-1.0,21219.0,0.22
2013-11-20,0.204998,0.336282,0.193581,0.277684,-1.0,40374.0,0.26
2013-11-21,0.279324,0.339572,0.25286,0.334492,-1.0,57024.0,0.3
2013-11-22,0.335252,0.433879,0.300288,0.428651,-1.0,70111.0,0.37
2013-11-23,0.428795,0.531414,0.367313,0.503185,-1.0,91617.0,0.45
2013-11-24,0.501804,1.03,0.474073,0.700696,-1.0,111476.0,0.75
2013-11-25,0.699583,1.05,0.699583,0.879053,-1.0,161415.0,0.87
2013-11-26,0.886335,1.59,0.880928,1.42,-1.0,208839.0,1.24
2013-11-27,1.41,1.94,1.27,1.5,-1.0,346956.0,1.6
2013-11-28,1.51,1.62,0.587788,1.03,-1.0,378792.0,1.1
2013-11-29,1.04,2.83,0.772972,2.72,-1.0,302069.0,1.8
2013-11-30,2.71,4.04,2.19,3.39,-1.0,785826.0,3.12
2013-12-01,3.39,4.1,2.21,2.82,-1.0,981931.0,3.15
2013-12-02,2.81,3.53,1.13,2.09,-1.0,1071760.0,2.33
2013-12-03,2.09,2.41,1.96,2.3,-1.0,818638.0,2.19
2013-12-04,2.29,2.82,2.15,2.75,-1.0,918602.0,2.48
2013-12-05,2.76,2.77,1.54,2.3,-1.0,1127690.0,2.16
2013-12-06,2.29,2.61,1.64,2.57,-1.0,957735.0,2.12
2013-12-07,2.59,2.59,1.22,1.43,-1.0,1102660.0,1.9
2013-12-08,1.43,1.51,1.22,1.39,-1.0,618620.0,1.36
2013-12-09,1.39,1.88,1.3,1.54,-1.0,611928.0,1.59
2013-12-10,1.53,1.8,1.53,1.75,-1.0,687709.0,1.67
2013-12-11,1.8,1.82,1.46,1.49,-1.0,809916.0,1.64
2013-12-12,1.5,1.57,0.974243,1.48,-1.0,685018.0,1.27
