Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-02-07,0.000408,0.000948,0.000408,0.000948,278.0,-1.0,0.0
2017-02-08,0.000949,0.001657,0.000343,0.000752,888.0,43286.0,0.0
2017-02-09,0.000754,0.000784,0.000304,0.000308,89.0,35626.0,0.0
2017-02-10,0.000308,0.000596,0.000281,0.000347,180.0,15044.0,0.0
2017-02-11,0.000347,0.000503,0.000283,0.000283,68.0,17969.0,0.0
2017-02-12,0.000283,0.000425,0.00019,0.000416,34.0,14803.0,0.0
2017-02-13,0.000402,0.000402,0.000159,0.00016,2.0,21063.0,0.0
2017-02-14,0.000416,0.000419,0.00013,0.000131,2.0,21798.0,0.0
2017-02-15,0.000131,0.000141,0.00013,0.000141,0.0,6880.0,0.0
2017-02-16,0.000141,0.000165,0.000141,0.000164,0.0,7425.0,0.0
2017-02-17,0.000164,0.000652,0.000115,0.000138,25.0,8647.0,0.0
2017-02-18,0.000138,0.000159,0.000117,0.000117,5.0,7585.0,0.0
2017-02-19,0.000117,0.00021,0.000113,0.00021,1.0,6713.0,0.0
2017-02-20,0.00021,0.00021,0.000125,0.000128,0.0,12051.0,0.0
2017-02-21,0.000128,0.000277,0.000122,0.000123,9.0,7374.0,0.0
2017-02-22,0.000123,0.000124,0.000121,0.000123,0.0,7056.0,0.0
2017-02-23,0.000123,0.000125,0.000113,0.000117,5.0,7072.0,0.0
2017-02-24,0.000117,0.000118,4.7e-05,7e-05,18.0,6774.0,0.0
2017-02-25,7e-05,8e-05,2e-06,2e-06,0.0,4735.0,0.0
2017-02-27,3e-06,3e-06,3e-06,3e-06,0.0,202.0,0.0
2017-02-28,3e-06,3e-06,3e-06,3e-06,0.0,198.0,0.0
2017-03-02,3e-06,3e-06,3e-06,3e-06,0.0,211.0,0.0
2017-03-03,3e-06,0.000278,3e-06,0.000255,256.0,209.0,0.0
2017-03-04,0.000255,0.000498,7.7e-05,0.000113,1837.0,18943.0,0.0
