Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-10-19,3.1e-05,3.8e-05,3.1e-05,3.2e-05,953.0,-1,0.0
2016-10-20,3.2e-05,4.4e-05,3.1e-05,3.2e-05,379.0,-1,0.0
2016-10-21,3.2e-05,3.8e-05,3.2e-05,3.2e-05,28.0,-1,0.0
2016-10-22,3.2e-05,3.9e-05,2.5e-05,2.6e-05,118.0,-1,0.0
2016-10-23,2.6e-05,4e-05,2.6e-05,2.6e-05,22.0,-1,0.0
2016-10-24,2.6e-05,3.9e-05,2.6e-05,3.9e-05,114.0,-1,0.0
2016-10-25,3.9e-05,3.9e-05,2.6e-05,2.6e-05,40.0,-1,0.0
2016-10-26,2.6e-05,4.8e-05,2.6e-05,4.1e-05,1049.0,-1,0.0
2016-10-27,4.1e-05,4.1e-05,2.7e-05,3.4e-05,27.0,-1,0.0
2016-10-28,3.4e-05,4.1e-05,2.7e-05,3.4e-05,4.0,-1,0.0
2016-10-29,3.5e-05,3.6e-05,2.8e-05,3.6e-05,25.0,-1,0.0
2016-10-30,3.6e-05,3.6e-05,2.8e-05,2.8e-05,1.0,-1,0.0
2016-10-31,2.8e-05,3.5e-05,2.8e-05,3.5e-05,1.0,-1,0.0
2016-11-01,3.5e-05,3.7e-05,2.9e-05,3.6e-05,98.0,-1,0.0
2016-11-02,3.7e-05,3.7e-05,2.2e-05,2.2e-05,6.0,-1,0.0
2016-11-03,2.2e-05,3.7e-05,2.2e-05,2.8e-05,1.0,-1,0.0
2016-11-04,2.8e-05,3.5e-05,2.1e-05,3.5e-05,1.0,-1,0.0
2016-11-05,3.5e-05,3.5e-05,2.8e-05,2.8e-05,1.0,-1,0.0
2016-11-06,2.8e-05,2.9e-05,2.1e-05,2.8e-05,4.0,-1,0.0
2016-11-07,2.8e-05,2.8e-05,7e-06,1.4e-05,42.0,-1,0.0
2016-11-08,1.4e-05,2.8e-05,1.4e-05,1.4e-05,12.0,-1,0.0
2016-11-09,1.4e-05,1.5e-05,7e-06,1.4e-05,16.0,-1,0.0
2016-11-10,1.4e-05,2.9e-05,1.4e-05,2.9e-05,53.0,-1,0.0
2016-11-11,2.9e-05,2.9e-05,2.1e-05,2.1e-05,18.0,-1,0.0
2016-11-12,2.2e-05,2.8e-05,2.1e-05,2.8e-05,0.0,-1,0.0
2016-11-13,2.8e-05,2.8e-05,2.1e-05,2.8e-05,11.0,-1,0.0
2016-11-14,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0,-1,0.0
2016-11-15,2.1e-05,2.1e-05,2.1e-05,2.1e-05,5.0,-1,0.0
2016-11-16,2.1e-05,3e-05,2.1e-05,3e-05,11.0,-1,0.0
2016-11-17,1.5e-05,2.2e-05,1.5e-05,2.2e-05,37.0,-1,0.0
2016-11-18,2.2e-05,2.3e-05,2.2e-05,2.3e-05,42.0,-1,0.0
2016-11-19,2.3e-05,2.3e-05,2.2e-05,2.3e-05,19.0,-1,0.0
2016-11-20,2.3e-05,2.3e-05,2.2e-05,2.2e-05,12.0,-1,0.0
2016-11-21,1.5e-05,1.5e-05,1.5e-05,1.5e-05,0.0,-1,0.0
2016-11-22,1.5e-05,1.5e-05,1.5e-05,1.5e-05,0.0,-1,0.0
2016-11-23,1.5e-05,1.5e-05,1.5e-05,1.5e-05,0.0,-1,0.0
2016-11-24,1.5e-05,1.5e-05,1.5e-05,1.5e-05,0.0,-1,0.0
2016-11-26,1.5e-05,1.5e-05,1.5e-05,1.5e-05,0.0,-1,0.0
2016-11-27,1.5e-05,1.5e-05,1.5e-05,1.5e-05,0.0,-1,0.0
2016-11-28,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.0,-1,0.0
2016-11-29,1.5e-05,1.5e-05,1.5e-05,1.5e-05,21.0,-1,0.0
2016-11-30,1.5e-05,3e-05,1.5e-05,3e-05,1.0,-1,0.0
2016-12-01,3e-05,3e-05,1.5e-05,2.3e-05,14.0,-1,0.0
2016-12-02,2.3e-05,3.1e-05,2.3e-05,3.1e-05,0.0,-1,0.0
2016-12-03,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,-1,0.0
