Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-04-28,0.650793,0.654064,0.634409,0.646892,-1.0,1510150.0,0.64
2013-04-29,0.649367,0.719741,0.642147,0.709691,-1.0,1508860.0,0.68
2013-04-30,0.70704,0.711892,0.647944,0.67415,-1.0,1650870.0,0.68
2013-05-01,0.67415,0.679426,0.522442,0.568572,-1.0,1582120.0,0.6
2013-05-02,0.570262,0.576426,0.51484,0.527102,-1.0,1344650.0,0.55
2013-05-03,0.5355,0.564995,0.426349,0.564995,-1.0,1269870.0,0.5
2013-05-04,0.567018,0.6641,0.524475,0.59625,-1.0,1351860.0,0.59
2013-05-05,0.590467,0.592274,0.530865,0.567959,-1.0,1415150.0,0.56
2013-05-06,0.561343,0.58794,0.4218,0.434601,-1.0,1351260.0,0.5
2013-05-07,0.434408,0.446524,0.362776,0.43931,-1.0,1051730.0,0.4
2013-05-08,0.431825,0.489005,0.42672,0.464483,-1.0,1051510.0,0.46
2013-05-09,0.462988,0.504895,0.449059,0.46758,-1.0,1134210.0,0.48
2013-05-10,0.470372,0.505513,0.388344,0.414888,-1.0,1158560.0,0.45
2013-05-11,0.41195,0.429914,0.38628,0.401046,-1.0,1019300.0,0.41
2013-05-12,0.401271,0.413227,0.37362,0.38065,-1.0,1000050.0,0.39
2013-05-13,0.380054,0.393591,0.351026,0.370457,-1.0,952814.0,0.37
2013-05-14,0.370456,0.397602,0.31506,0.315545,-1.0,933642.0,0.36
2013-05-15,0.318604,0.340411,0.2898,0.330096,-1.0,807817.0,0.32
2013-05-16,0.330096,0.336654,0.303799,0.323027,-1.0,841669.0,0.32
2013-05-17,0.321531,0.354795,0.306278,0.343212,-1.0,824428.0,0.33
2013-05-18,0.34333,0.39794,0.333384,0.371729,-1.0,885348.0,0.37
2013-05-19,0.375794,0.393336,0.330248,0.358651,-1.0,974550.0,0.36
2013-05-20,0.361375,0.376074,0.343986,0.36478,-1.0,942101.0,0.36
2013-05-21,0.36484,0.38953,0.356671,0.38953,-1.0,953783.0,0.37
2013-05-22,0.389561,0.395674,0.370296,0.3791,-1.0,1025620.0,0.38
2013-05-23,0.378828,0.399705,0.372,0.381367,-1.0,1001500.0,0.39
2013-05-24,0.380163,0.387855,0.349928,0.356227,-1.0,1009750.0,0.37
2013-05-25,0.365932,0.369954,0.318637,0.349747,-1.0,977664.0,0.34
2013-05-26,0.343164,0.353824,0.31122,0.312343,-1.0,920774.0,0.33
2013-05-27,0.311055,0.322505,0.293045,0.306198,-1.0,838987.0,0.31
2013-05-28,0.306257,0.307591,0.292648,0.30057,-1.0,830621.0,0.3
2013-05-29,0.30057,0.302364,0.272157,0.27783,-1.0,819134.0,0.29
2013-05-30,0.277725,0.278267,0.225852,0.25631,-1.0,760108.0,0.25
2013-05-31,0.255022,0.267467,0.243979,0.26445,-1.0,701007.0,0.26
2013-06-01,0.264071,0.278575,0.244625,0.268944,-1.0,729008.0,0.26
2013-06-02,0.268944,0.275846,0.218595,0.23847,-1.0,745779.0,0.25
2013-06-03,0.238875,0.246376,0.23084,0.239556,-1.0,663965.0,0.24
2013-06-04,0.236645,0.24354,0.227934,0.231912,-1.0,657767.0,0.24
2013-06-05,0.231874,0.235113,0.220332,0.22262,-1.0,644505.0,0.23
2013-06-06,0.223077,0.226894,0.2068,0.20886,-1.0,627299.0,0.22
2013-06-07,0.212956,0.214198,0.178827,0.18509,-1.0,601028.0,0.2
2013-06-08,0.18426,0.213743,0.175551,0.200355,-1.0,522055.0,0.19
2013-06-09,0.199601,0.207081,0.168506,0.195,-1.0,567727.0,0.19
2013-06-10,0.195853,0.2145,0.181454,0.190367,-1.0,559197.0,0.2
2013-06-11,0.190367,0.196182,0.18194,0.192753,-1.0,545483.0,0.19
2013-06-12,0.19293,0.200276,0.185844,0.190344,-1.0,554598.0,0.19
2013-06-13,0.191446,0.19491,0.169896,0.17888,-1.0,552339.0,0.18
2013-06-14,0.177753,0.180084,0.159333,0.166965,-1.0,514614.0,0.17
2013-06-15,0.167,0.17388,0.16351,0.16598,-1.0,485207.0,0.17
2013-06-16,0.165668,0.166495,0.159504,0.160211,-1.0,482974.0,0.16
2013-06-17,0.160839,0.164558,0.157417,0.158652,-1.0,470350.0,0.16
2013-06-18,0.159042,0.162006,0.135915,0.149286,-1.0,466545.0,0.15
2013-06-19,0.148799,0.154144,0.140333,0.146138,-1.0,437917.0,0.15
2013-06-20,0.146139,0.170052,0.140825,0.152007,-1.0,431313.0,0.16
2013-06-21,0.15358,0.162221,0.142974,0.14892,-1.0,454380.0,0.15
2013-06-22,0.147825,0.154638,0.110291,0.137541,-1.0,438403.0,0.13
2013-06-23,0.138496,0.146866,0.120488,0.13988,-1.0,411750.0,0.13
2013-06-24,0.14027,0.140413,0.12852,0.131503,-1.0,417953.0,0.13
2013-06-25,0.130675,0.14175,0.128709,0.138253,-1.0,390307.0,0.14
2013-06-26,0.137428,0.142501,0.13287,0.13624,-1.0,411634.0,0.14
2013-06-27,0.13624,0.13735,0.131432,0.133897,-1.0,409086.0,0.13
2013-06-28,0.134293,0.135261,0.120956,0.12399,-1.0,404194.0,0.13
2013-06-29,0.124005,0.131868,0.12183,0.124442,-1.0,374186.0,0.13
2013-06-30,0.124449,0.136206,0.122842,0.130429,-1.0,376641.0,0.13
2013-07-01,0.131638,0.132824,0.115638,0.117987,-1.0,399581.0,0.12
2013-07-02,0.117987,0.131619,0.117263,0.127089,-1.0,359264.0,0.12
2013-07-03,0.127471,0.13827,0.115601,0.124048,-1.0,389377.0,0.13
2013-07-04,0.126224,0.191651,0.123533,0.191651,-1.0,386605.0,0.16
2013-07-05,0.199975,0.207242,0.175334,0.184764,-1.0,614805.0,0.19
2013-07-06,0.185649,0.20025,0.170442,0.184127,-1.0,572703.0,0.19
2013-07-07,0.178747,0.185057,0.1611,0.167017,-1.0,553542.0,0.17
2013-07-08,0.17136,0.181691,0.163877,0.16604,-1.0,532705.0,0.17
2013-07-09,0.16492,0.168498,0.147906,0.154922,-1.0,514654.0,0.16
2013-07-10,0.154974,0.16575,0.150062,0.157036,-1.0,485411.0,0.16
2013-07-11,0.1584,0.170981,0.148457,0.158384,-1.0,497656.0,0.16
2013-07-12,0.158383,0.17472,0.1521,0.158175,-1.0,499342.0,0.16
2013-07-13,0.158843,0.16506,0.147945,0.164865,-1.0,502495.0,0.16
2013-07-14,0.165816,0.166364,0.151883,0.156241,-1.0,526348.0,0.16
2013-07-15,0.154448,0.184647,0.149581,0.174168,-1.0,491915.0,0.17
2013-07-16,0.175036,0.177288,0.165427,0.166641,-1.0,559364.0,0.17
2013-07-17,0.165374,0.171456,0.16137,0.16548,-1.0,530257.0,0.17
2013-07-18,0.16548,0.165984,0.145678,0.151269,-1.0,532890.0,0.16
2013-07-19,0.150415,0.158652,0.142603,0.157611,-1.0,485980.0,0.15
2013-07-20,0.15732,0.1581,0.150868,0.151963,-1.0,509721.0,0.15
2013-07-21,0.1509,0.153485,0.145447,0.14975,-1.0,490348.0,0.15
2013-07-22,0.151797,0.152972,0.142818,0.15024,-1.0,494556.0,0.15
2013-07-23,0.152972,0.156735,0.1387,0.143338,-1.0,499997.0,0.15
2013-07-24,0.143338,0.154624,0.13953,0.147436,-1.0,469800.0,0.15
2013-07-25,0.146483,0.150658,0.128763,0.137598,-1.0,484198.0,0.14
2013-07-26,0.137669,0.14089,0.12672,0.134428,-1.0,465295.0,0.13
2013-07-27,0.135388,0.136763,0.122538,0.132704,-1.0,466429.0,0.13
2013-07-28,0.134048,0.14907,0.121261,0.131747,-1.0,469277.0,0.14
2013-07-29,0.13022,0.156926,0.130029,0.1518,-1.0,455886.0,0.14
2013-07-30,0.152233,0.160905,0.14819,0.160905,-1.0,532997.0,0.15
2013-07-31,0.160845,0.163996,0.148548,0.15277,-1.0,563297.0,0.16
2013-08-01,0.157195,0.159003,0.148595,0.15288,-1.0,551215.0,0.15
2013-08-02,0.154138,0.18656,0.152415,0.172427,-1.0,541457.0,0.17
2013-08-03,0.172427,0.195896,0.16952,0.171608,-1.0,606031.0,0.18
2013-08-04,0.173167,0.186802,0.168245,0.169281,-1.0,609079.0,0.18
2013-08-05,0.169243,0.173478,0.160744,0.165703,-1.0,596265.0,0.17
2013-08-06,0.166483,0.169218,0.147985,0.153449,-1.0,587560.0,0.16
2013-08-07,0.15131,0.282753,0.14946,0.21092,-1.0,535354.0,0.22
2013-08-08,0.199261,0.199261,0.165302,0.1751,-1.0,706757.0,0.18
2013-08-09,0.173158,0.182797,0.171864,0.181956,-1.0,619080.0,0.18
2013-08-10,0.181956,0.19055,0.176575,0.18128,-1.0,659654.0,0.18
2013-08-11,0.18128,0.185047,0.17873,0.1806,-1.0,657910.0,0.18
