Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-07-15,4447.62,5811.46,2876.18,4739.32,173276.0,-1,4343.82
2017-07-16,4492.89,7336.24,3124.3,4852.15,242271.0,-1,5230.27
2017-07-17,4552.9,8069.23,2191.82,3009.55,170217.0,-1,5130.52
2017-07-18,3017.17,3486.5,2022.17,2056.98,38878.0,-1,2754.34
2017-07-19,2060.17,3418.0,1274.2,1959.75,14258.0,-1,2346.1
2017-07-20,1954.57,2020.67,1223.43,1643.4,888.0,-1,1622.05
2017-07-21,1655.58,1661.07,1359.37,1466.08,113.0,-1,1510.22
2017-07-22,1465.79,2242.34,1458.77,1656.81,93.0,-1,1850.56
2017-07-23,1656.82,1662.06,1372.66,1610.72,165.0,-1,1517.36
2017-07-24,1608.85,2751.49,1585.52,2160.2,307256.0,-1,2168.51
2017-07-25,2163.3,2324.13,1447.46,1872.4,27555.0,-1,1885.8
2017-07-26,1873.21,2257.88,1594.99,1665.0,88374.0,-1,1926.43
2017-07-27,1669.73,1943.44,1532.5,1644.75,40269.0,-1,1737.97
2017-07-28,1650.34,1688.13,1335.65,1365.19,750.0,-1,1511.89
2017-07-29,1370.81,1538.97,253.2,1520.75,1193.0,-1,896.09
2017-07-30,1522.12,1568.33,260.98,802.49,53.0,-1,914.65
2017-07-31,802.75,1383.48,567.57,857.94,26462.0,-1,975.53
2017-08-01,858.37,872.43,428.09,573.38,26153.0,-1,650.26
2017-08-02,573.64,721.31,536.08,566.0,1257.0,-1,628.69
2017-08-03,566.82,837.56,501.49,619.31,4116.0,-1,669.52
2017-08-04,619.4,638.25,615.0,634.53,200.0,-1,626.62
2017-08-05,634.25,636.06,527.63,623.28,487.0,-1,581.85
2017-08-06,623.28,626.4,519.88,568.02,90.0,-1,573.14
2017-08-07,566.75,569.37,508.64,517.17,43.0,-1,539.0
2017-08-08,517.57,1031.14,382.32,522.76,5110.0,-1,706.73
2017-08-09,522.4,548.47,338.93,371.61,26715.0,-1,443.7
2017-08-10,371.64,659.93,287.9,436.85,59619.0,-1,473.91
2017-08-11,436.83,453.18,319.57,339.69,428.0,-1,386.38
2017-08-12,339.43,360.55,183.7,294.66,157.0,-1,272.12
2017-08-13,294.38,456.39,294.38,449.35,25096.0,-1,375.38
2017-08-14,449.63,2123.35,262.23,727.33,571378.0,-1,1192.79
2017-08-15,729.28,729.28,224.31,236.82,129884.0,-1,476.79
