Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-02-06,0.004056,0.009849,0.003956,0.007416,6459.0,76512.0,0.01
2014-02-07,0.007432,0.00765,0.003394,0.005591,3663.0,141947.0,0.01
2014-02-08,0.00549,0.005529,0.003663,0.003777,3251.0,107536.0,0.0
2014-02-09,0.003791,0.004148,0.003364,0.003462,2075.0,76149.0,0.0
2014-02-10,0.003454,0.003925,0.002679,0.00333,1059.0,71045.0,0.0
2014-02-11,0.003342,0.004237,0.003029,0.003293,2204.0,70337.0,0.0
2014-02-12,0.003294,0.003494,0.003153,0.003157,891.0,70997.0,0.0
2014-02-13,0.003154,0.003302,0.002734,0.002742,1027.0,69548.0,0.0
2014-02-14,0.002724,0.002735,0.002161,0.002171,274.0,61405.0,0.0
2014-02-15,0.002168,0.00247,0.002107,0.002298,821.0,49876.0,0.0
2014-02-16,0.002299,0.002348,0.001576,0.001651,314.0,54049.0,0.0
2014-02-17,0.001644,0.001949,0.001538,0.001768,807.0,39344.0,0.0
2014-02-18,0.00177,0.002416,0.000873,0.001642,1409.0,43081.0,0.0
2014-02-19,0.00164,0.001702,0.001255,0.001534,436.0,40550.0,0.0
2014-02-20,0.001534,0.002156,0.001411,0.001934,2194.0,38555.0,0.0
2014-02-21,0.00193,0.001986,0.001344,0.001455,1221.0,49303.0,0.0
2014-02-22,0.001455,0.001886,0.001362,0.001545,1379.0,37700.0,0.0
2014-02-23,0.001548,0.001785,0.001332,0.001339,576.0,40737.0,0.0
2014-02-24,0.001339,0.001379,0.000944,0.001246,546.0,35759.0,0.0
2014-02-25,0.001232,0.001369,0.001004,0.001313,391.0,33399.0,0.0
2014-02-26,0.001309,0.001829,0.001125,0.001578,1778.0,35991.0,0.0
2014-02-27,0.001579,0.00167,0.000987,0.001437,1544.0,44014.0,0.0
2014-02-28,0.001431,0.001508,0.001154,0.001335,426.0,40441.0,0.0
2014-03-01,0.001336,0.00153,0.001002,0.001284,870.0,38276.0,0.0
2014-03-02,0.001287,0.00131,0.001019,0.001032,239.0,37362.0,0.0
2014-03-03,0.001037,0.00122,0.000901,0.001019,234.0,30462.0,0.0
2014-03-04,0.00102,0.001467,0.000845,0.001235,546.0,30350.0,0.0
2014-03-05,0.001234,0.001587,0.000746,0.000756,257.0,37200.0,0.0
2014-03-06,0.000755,0.001235,0.000727,0.001079,227.0,23013.0,0.0
2014-03-07,0.00108,0.001257,0.000731,0.000942,554.0,33334.0,0.0
2014-03-08,0.000943,0.000947,0.0007,0.000901,137.0,29468.0,0.0
2014-03-09,0.0009,0.0009,0.000689,0.000708,399.0,28464.0,0.0
2014-03-10,0.000707,0.000745,0.000516,0.000517,69.0,22628.0,0.0
2014-03-11,0.000607,0.000698,0.000363,0.000502,657.0,19673.0,0.0
2014-03-12,0.0005,0.00064,0.0005,0.00064,435.0,16386.0,0.0
2014-03-13,0.000641,0.001483,0.000618,0.00088,5395.0,21259.0,0.0
2014-03-14,0.00088,0.001928,0.000865,0.001318,10665.0,29509.0,0.0
2014-03-15,0.001319,0.002785,0.000718,0.000778,2410.0,44752.0,0.0
2014-03-16,0.000779,0.001745,0.000779,0.00125,12346.0,26727.0,0.0
2014-03-17,0.001201,0.001203,0.000893,0.000955,1737.0,41667.0,0.0
2014-03-18,0.001086,0.001103,0.000624,0.000886,2935.0,38057.0,0.0
2014-03-19,0.000884,0.00093,0.00076,0.000761,626.0,31275.0,0.0
2014-03-20,0.000762,0.000821,0.000708,0.000712,130.0,27173.0,0.0
2014-03-21,0.000712,0.00072,0.000507,0.000589,496.0,25609.0,0.0
2014-03-22,0.000589,0.000784,0.000534,0.000716,1080.0,21386.0,0.0
2014-03-23,0.000717,0.000724,0.000543,0.000565,414.0,26259.0,0.0
2014-03-24,0.000566,0.000594,0.000506,0.000525,247.0,20933.0,0.0
2014-03-25,0.000527,0.00069,0.000474,0.000589,247.0,19624.0,0.0
2014-03-26,0.000589,0.000624,0.000307,0.000427,442.0,22149.0,0.0
2014-03-27,0.000426,0.000437,0.000154,0.000287,248.0,16166.0,0.0
2014-03-28,0.000291,0.000322,0.000218,0.00024,87.0,11118.0,0.0
2014-03-29,0.000243,0.000252,0.000195,0.000195,56.0,9360.0,0.0
2014-03-30,0.000194,0.000217,0.000153,0.00021,166.0,7529.0,0.0
2014-03-31,0.000211,0.00023,0.000193,0.000228,44.0,8260.0,0.0
2014-04-01,0.000228,0.000251,0.00021,0.000241,14.0,9001.0,0.0
2014-04-02,0.000241,0.000278,0.000177,0.000206,73.0,9624.0,0.0
2014-04-03,0.000206,0.000237,0.00015,0.000172,104.0,8277.0,0.0
2014-04-04,0.000172,0.000427,0.000134,0.000357,766.0,6980.0,0.0
