Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-08-22,0.005989,0.006459,0.004712,0.004712,14204.0,-1,0.01
2016-08-23,0.004712,0.006182,0.004665,0.004667,268.0,-1,0.01
2016-08-24,0.004667,0.00587,0.00294,0.005222,195.0,-1,0.0
2016-08-25,0.005222,0.005821,0.0035,0.004102,85.0,-1,0.0
2016-08-26,0.004102,0.011614,0.004098,0.008695,1517.0,-1,0.01
2016-08-27,0.008692,0.009213,0.005103,0.008561,696.0,-1,0.01
2016-08-28,0.008559,0.012894,0.006289,0.011989,728.0,-1,0.01
2016-08-29,0.009759,0.010886,0.008891,0.008899,65.0,-1,0.01
2016-08-30,0.008899,0.01963,0.008899,0.010395,290.0,-1,0.01
2016-08-31,0.010535,0.040229,0.010336,0.01529,321.0,-1,0.03
2016-09-01,0.015298,0.034468,0.014441,0.020345,2115.0,-1,0.02
2016-09-02,0.020349,0.024449,0.015727,0.016167,782.0,-1,0.02
2016-09-03,0.016167,0.023962,0.012095,0.023911,110.0,-1,0.02
2016-09-04,0.023926,0.023945,0.011631,0.017949,69.0,-1,0.02
2016-09-05,0.017959,0.017961,0.006183,0.013339,4458.0,-1,0.01
2016-09-06,0.013337,0.013344,0.009153,0.009163,44.0,-1,0.01
2016-09-07,0.009165,0.012844,0.003062,0.003226,12807.0,-1,0.01
2016-09-08,0.003565,0.003924,0.00125,0.002468,4462.0,-1,0.0
2016-09-09,0.002468,0.002616,0.000878,0.001109,144.0,-1,0.0
2016-09-10,0.001109,0.001109,0.000654,0.000904,61.0,-1,0.0
2016-09-11,0.000904,0.001031,0.000903,0.000965,22.0,-1,0.0
2016-09-12,0.000965,0.000966,0.000878,0.000931,27.0,-1,0.0
2016-09-13,0.000931,0.000938,0.000641,0.000646,47.0,-1,0.0
2016-09-14,0.000645,0.000907,0.000611,0.000733,11.0,-1,0.0
2016-09-15,0.000733,0.000733,0.000555,0.000704,1.0,-1,0.0
2016-09-16,0.000704,0.000899,0.000328,0.000649,1290.0,-1,0.0
2016-09-17,0.00065,0.001122,5.4e-05,9.1e-05,12869.0,-1,0.0
2016-09-18,9.1e-05,0.000115,7.9e-05,8.5e-05,698.0,-1,0.0
2016-09-19,8.5e-05,9.8e-05,7.3e-05,7.9e-05,479.0,-1,0.0
2016-09-20,7.9e-05,0.000152,7.9e-05,0.000116,575.0,-1,0.0
2016-09-21,0.000115,0.000138,0.000101,0.000113,153.0,-1,0.0
2016-09-22,0.000108,0.00012,0.000101,0.000101,153.0,-1,0.0
2016-09-23,0.000101,0.000301,0.000101,0.000121,696.0,-1,0.0
2016-09-24,0.000121,0.000212,0.000115,0.000157,292.0,-1,0.0
2016-09-25,0.000157,0.000157,0.000102,0.000102,13.0,-1,0.0
2016-09-26,0.000102,0.000126,8.5e-05,0.000109,269.0,-1,0.0
2016-09-27,0.000109,0.000109,9.1e-05,9.1e-05,36.0,-1,0.0
2016-09-28,9.1e-05,0.000109,9.1e-05,0.000109,9.0,-1,0.0
2016-09-29,0.000109,0.000109,9.1e-05,9.1e-05,75.0,-1,0.0
2016-09-30,9.1e-05,0.000104,9.1e-05,9.8e-05,11.0,-1,0.0
2016-10-01,9.8e-05,9.8e-05,9.2e-05,9.2e-05,12.0,-1,0.0
2016-10-02,9.2e-05,0.000104,9.1e-05,9.2e-05,20.0,-1,0.0
2016-10-03,9.2e-05,0.000104,9.2e-05,9.2e-05,12.0,-1,0.0
2016-10-04,9.2e-05,9.2e-05,9.1e-05,9.2e-05,6.0,-1,0.0
2016-10-05,9.2e-05,0.000104,9.1e-05,9.8e-05,14.0,-1,0.0
2016-10-06,9.8e-05,0.000159,9.2e-05,0.000116,116.0,-1,0.0
2016-10-07,0.000116,0.000142,0.000105,0.000105,9.0,-1,0.0
2016-10-08,0.000105,0.000112,9.9e-05,9.9e-05,20.0,-1,0.0
2016-10-09,9.9e-05,0.000117,9.9e-05,0.000117,6.0,-1,0.0
2016-10-10,0.000117,0.000118,0.000105,0.000105,19.0,-1,0.0
2016-10-11,0.000105,0.000128,0.000105,0.000128,13.0,-1,0.0
2016-10-12,0.000128,0.000134,0.000108,0.000108,25.0,-1,0.0
2016-10-13,0.000108,0.00014,0.000102,0.000102,6.0,-1,0.0
2016-10-14,0.000102,0.000108,9.6e-05,9.6e-05,6.0,-1,0.0
2016-10-15,9.6e-05,9.6e-05,9.6e-05,9.6e-05,0.0,-1,0.0
2016-10-16,9.6e-05,0.000129,9.6e-05,0.000128,1.0,-1,0.0
2016-10-17,0.000128,0.000128,9.6e-05,9.6e-05,1.0,-1,0.0
2016-10-18,9.6e-05,9.6e-05,9.6e-05,9.6e-05,1.0,-1,0.0
2016-10-20,9.5e-05,9.5e-05,9.5e-05,9.5e-05,1.0,-1,0.0
2016-10-21,9.5e-05,9.5e-05,8.2e-05,8.2e-05,12.0,-1,0.0
2016-10-22,8.2e-05,8.6e-05,6.6e-05,6.6e-05,1.0,-1,0.0
2016-10-23,6.6e-05,7.9e-05,6.6e-05,7.9e-05,0.0,-1,0.0
2016-10-24,7.9e-05,7.9e-05,6.5e-05,6.5e-05,1.0,-1,0.0
2016-10-25,6.5e-05,8.6e-05,6.5e-05,8.5e-05,0.0,-1,0.0
2016-10-26,8.5e-05,8.8e-05,8.5e-05,8.8e-05,0.0,-1,0.0
2016-10-27,7.5e-05,8.9e-05,7.5e-05,8.9e-05,6.0,-1,0.0
2016-10-28,8.9e-05,9e-05,8.9e-05,9e-05,6.0,-1,0.0
2016-10-29,8.3e-05,8.6e-05,8.3e-05,8.6e-05,0.0,-1,0.0
2016-10-30,8.6e-05,9.2e-05,8.5e-05,9.1e-05,1.0,-1,0.0
2016-10-31,9.1e-05,9.2e-05,9e-05,9.1e-05,1.0,-1,0.0
2016-11-01,9.1e-05,0.00011,9.1e-05,0.000102,2.0,-1,0.0
2016-11-02,0.000102,0.000109,0.000101,0.000103,5.0,-1,0.0
2016-11-03,0.000104,0.000104,9.5e-05,9.6e-05,1.0,-1,0.0
2016-11-04,9.6e-05,9.9e-05,8.3e-05,8.4e-05,1.0,-1,0.0
2016-11-05,8.4e-05,9.9e-05,8.4e-05,9.8e-05,2.0,-1,0.0
2016-11-06,9.9e-05,0.0001,7e-05,7.1e-05,2.0,-1,0.0
2016-11-07,7.1e-05,7.1e-05,6.3e-05,6.3e-05,0.0,-1,0.0
2016-11-08,6.3e-05,6.4e-05,6.3e-05,6.4e-05,0.0,-1,0.0
2016-11-09,8.1e-05,8.1e-05,7.2e-05,7.2e-05,1.0,-1,0.0
2016-11-10,7.2e-05,7.2e-05,7.1e-05,7.1e-05,0.0,-1,0.0
2016-11-11,7.9e-05,7.9e-05,6.4e-05,6.4e-05,1.0,-1,0.0
2016-11-12,6.5e-05,9.2e-05,6.4e-05,9.2e-05,2.0,-1,0.0
2016-11-13,9.2e-05,9.2e-05,8.9e-05,9.1e-05,1.0,-1,0.0
2016-11-14,7e-05,7.1e-05,7e-05,7e-05,1.0,-1,0.0
2016-11-15,7.1e-05,8.6e-05,5e-05,5e-05,7.0,-1,0.0
2016-11-16,5e-05,8.2e-05,5e-05,8.2e-05,0.0,-1,0.0
2016-11-17,8.2e-05,8.3e-05,5.9e-05,5.9e-05,0.0,-1,0.0
2016-11-18,5.9e-05,5.9e-05,5.9e-05,5.9e-05,0.0,-1,0.0
2016-11-20,6.5e-05,6.6e-05,6.5e-05,6.6e-05,1.0,-1,0.0
2016-11-21,6.6e-05,6.7e-05,6.6e-05,6.7e-05,0.0,-1,0.0
2016-11-22,6.7e-05,6.7e-05,6.6e-05,6.7e-05,0.0,-1,0.0
2016-11-23,6e-05,6e-05,5.9e-05,6e-05,0.0,-1,0.0
2016-11-24,6e-05,6e-05,5.9e-05,6e-05,0.0,-1,0.0
2016-11-27,4.4e-05,5.2e-05,4.4e-05,5.1e-05,25.0,-1,0.0
2016-11-28,5.1e-05,5.2e-05,5.1e-05,5.1e-05,1.0,-1,0.0
2016-12-01,4.5e-05,4.5e-05,4.5e-05,4.5e-05,1.0,-1,0.0
2016-12-02,4.5e-05,5.5e-05,4.5e-05,5.4e-05,0.0,-1,0.0
2016-12-03,5.4e-05,5.4e-05,1.5e-05,3.9e-05,18.0,-1,0.0
2016-12-04,3.9e-05,4.6e-05,3.8e-05,4.6e-05,1.0,-1,0.0
2016-12-05,4.6e-05,4.6e-05,4.5e-05,4.6e-05,0.0,-1,0.0
2016-12-06,4.6e-05,4.6e-05,4.6e-05,4.6e-05,0.0,-1,0.0
2016-12-08,3.8e-05,3.9e-05,3.8e-05,3.9e-05,0.0,-1,0.0
2016-12-09,3.9e-05,3.9e-05,3.8e-05,3.9e-05,1.0,-1,0.0
2016-12-10,3.9e-05,3.9e-05,3.9e-05,3.9e-05,0.0,-1,0.0
2016-12-11,6.1e-05,6.2e-05,5.4e-05,5.4e-05,8.0,-1,0.0
2016-12-12,5.4e-05,7e-05,5.4e-05,7e-05,4.0,-1,0.0
2016-12-13,7e-05,7.1e-05,4.7e-05,4.7e-05,1.0,-1,0.0
2016-12-14,4.7e-05,8.6e-05,4.7e-05,8.6e-05,8.0,-1,0.0
2016-12-15,8.6e-05,8.6e-05,8.6e-05,8.6e-05,0.0,-1,0.0
2016-12-16,8.6e-05,8.6e-05,7.8e-05,7.8e-05,0.0,-1,0.0
2016-12-17,7.8e-05,8.7e-05,3.9e-05,7.9e-05,7.0,-1,0.0
2016-12-18,7.9e-05,7.9e-05,5.5e-05,5.5e-05,1.0,-1,0.0
2016-12-19,5.5e-05,5.6e-05,5.5e-05,5.5e-05,0.0,-1,0.0
2016-12-20,5.6e-05,6.4e-05,4e-05,4e-05,3.0,-1,0.0
2016-12-21,4e-05,7.5e-05,4e-05,7.5e-05,0.0,-1,0.0
2016-12-22,7.5e-05,7.6e-05,5.2e-05,5.2e-05,0.0,-1,0.0
2016-12-23,5.2e-05,5.5e-05,5.2e-05,5.5e-05,0.0,-1,0.0
2016-12-24,7.2e-05,7.2e-05,7.2e-05,7.2e-05,0.0,-1,0.0
2016-12-25,7.2e-05,7.2e-05,6e-05,6.3e-05,0.0,-1,0.0
2016-12-26,6.3e-05,6.4e-05,6.3e-05,6.3e-05,0.0,-1,0.0
2016-12-27,8.2e-05,8.5e-05,6.5e-05,6.5e-05,3.0,-1,0.0
2016-12-28,6.5e-05,6.8e-05,6.5e-05,6.8e-05,3.0,-1,0.0
2017-01-02,7e-05,7.1e-05,6e-05,6.1e-05,0.0,-1,0.0
2017-01-03,6.1e-05,7.3e-05,6.1e-05,7.3e-05,1.0,-1,0.0
2017-01-04,7.3e-05,7.7e-05,6.5e-05,6.9e-05,1.0,-1,0.0
2017-01-05,6.9e-05,9.5e-05,6.5e-05,7.1e-05,11.0,-1,0.0
2017-01-06,7.1e-05,0.00011,6.8e-05,9.9e-05,0.0,-1,0.0
2017-01-07,9.9e-05,0.0001,8.2e-05,9.1e-05,0.0,-1,0.0
2017-01-08,9.1e-05,9.4e-05,6.2e-05,6.4e-05,1.0,-1,0.0
2017-01-09,6.4e-05,9e-05,6.2e-05,9e-05,0.0,-1,0.0
2017-01-10,9e-05,9.1e-05,9e-05,9.1e-05,1.0,-1,0.0
2017-01-11,9.1e-05,9.1e-05,6.1e-05,6.2e-05,1.0,-1,0.0
2017-01-12,6.2e-05,6.6e-05,6e-05,6.4e-05,0.0,-1,0.0
2017-01-13,6.4e-05,6.6e-05,6.2e-05,6.6e-05,0.0,-1,0.0
2017-01-14,6.6e-05,6.7e-05,6.5e-05,6.6e-05,0.0,-1,0.0
2017-01-15,6.5e-05,7.4e-05,6.5e-05,7.4e-05,10.0,-1,0.0
2017-01-16,7.4e-05,7.5e-05,7.4e-05,7.5e-05,0.0,-1,0.0
2017-01-17,8.8e-05,0.0001,8.8e-05,0.0001,4.0,-1,0.0
2017-01-18,0.0001,0.000101,8.6e-05,8.8e-05,0.0,-1,0.0
2017-01-19,8.9e-05,9.9e-05,7.1e-05,9.9e-05,1.0,-1,0.0
2017-01-20,9.9e-05,9.9e-05,8.1e-05,8.1e-05,3.0,-1,0.0
2017-01-21,8.1e-05,8.3e-05,8.1e-05,8.3e-05,0.0,-1,0.0
2017-01-22,0.000128,0.000129,0.000128,0.000129,61.0,-1,0.0
2017-01-23,0.000129,0.000148,0.000128,0.000147,4.0,-1,0.0
2017-01-24,0.000146,0.000237,0.000135,0.000232,137.0,-1,0.0
2017-01-25,0.000232,0.000233,0.000134,0.000198,53.0,-1,0.0
2017-01-26,0.000199,0.000229,0.000174,0.000229,74.0,-1,0.0
2017-01-27,0.000229,0.000259,0.000202,0.000202,179.0,-1,0.0
2017-01-28,0.000202,0.000268,0.000193,0.000212,29.0,-1,0.0
2017-01-29,0.000194,0.000268,0.000194,0.000211,25.0,-1,0.0
2017-01-30,0.000211,0.000222,0.000184,0.000184,21.0,-1,0.0
2017-01-31,0.000184,0.000215,0.000178,0.000194,11.0,-1,0.0
2017-02-01,0.000194,0.000227,0.000116,0.000227,29.0,-1,0.0
2017-02-02,0.000227,0.000253,0.000171,0.000253,34.0,-1,0.0
2017-02-03,0.000253,0.000258,0.000195,0.000196,2.0,-1,0.0
2017-02-04,0.000196,0.000197,0.000193,0.000197,1.0,-1,0.0
2017-02-05,0.000269,0.000269,0.000266,0.000267,1.0,-1,0.0
2017-02-06,0.000267,0.000272,0.000248,0.00026,69.0,-1,0.0
2017-02-07,0.00026,0.000265,0.000232,0.000255,53.0,-1,0.0
2017-02-08,0.000255,0.000321,0.000249,0.000319,137.0,-1,0.0
2017-02-09,0.000319,0.000323,0.000216,0.000298,15.0,-1,0.0
2017-02-10,0.000299,0.0003,0.000271,0.000287,3.0,-1,0.0
2017-02-11,0.000287,0.000287,0.000216,0.000271,37.0,-1,0.0
2017-02-12,0.000271,0.000271,0.00023,0.00025,103.0,-1,0.0
2017-02-13,0.00025,0.000268,0.000238,0.000267,68.0,-1,0.0
2017-02-14,0.000268,0.000503,0.00023,0.000502,2644.0,-1,0.0
2017-02-15,0.000483,0.000544,0.000251,0.000282,1871.0,-1,0.0
2017-02-16,0.000282,0.000316,0.000264,0.000267,17.0,-1,0.0
2017-02-17,0.000267,0.00034,0.000258,0.000262,45.0,-1,0.0
2017-02-18,0.000262,0.000265,0.000253,0.000253,0.0,-1,0.0
2017-02-19,0.000253,0.000296,0.000251,0.000251,14.0,-1,0.0
2017-02-20,0.000252,0.000286,0.00025,0.00027,37.0,-1,0.0
2017-02-21,0.00027,0.000279,0.00023,0.000279,22.0,-1,0.0
2017-02-22,0.000279,0.000279,0.0002,0.000201,25.0,-1,0.0
2017-02-23,0.000201,0.000285,0.000201,0.000222,8.0,-1,0.0
2017-02-24,0.000223,0.000364,0.000215,0.000364,783.0,-1,0.0
2017-02-25,0.000363,0.000386,0.000318,0.000366,64.0,-1,0.0
2017-02-26,0.000366,0.000419,0.000303,0.000303,134.0,-1,0.0
2017-02-27,0.000303,0.00039,0.000302,0.000319,2649.0,-1,0.0
2017-02-28,0.000319,0.000402,0.000294,0.000295,160.0,-1,0.0
2017-03-01,0.000295,0.000299,0.000266,0.000269,15.0,-1,0.0
2017-03-02,0.000269,0.000337,0.000267,0.000288,44.0,-1,0.0
2017-03-03,0.000288,0.000288,0.000276,0.00028,2.0,-1,0.0
2017-03-04,0.000281,0.000371,0.000271,0.000364,153.0,-1,0.0
2017-03-05,0.000364,0.00038,0.000359,0.00038,13.0,-1,0.0
2017-03-06,0.00038,0.000712,0.000367,0.000509,2396.0,-1,0.0
2017-03-07,0.000509,0.00059,0.000379,0.000489,154.0,-1,0.0
2017-03-08,0.000489,0.000493,0.000368,0.000368,21.0,-1,0.0
2017-03-09,0.000368,0.000378,0.000344,0.000345,9.0,-1,0.0
2017-03-10,0.000345,0.000368,0.000294,0.000302,15.0,-1,0.0
2017-03-11,0.000301,0.000367,0.000265,0.000365,19.0,-1,0.0
2017-03-12,0.000365,0.000417,0.000271,0.000415,57.0,-1,0.0
2017-03-13,0.000415,0.000419,0.000378,0.000382,11.0,-1,0.0
2017-03-14,0.000382,0.000386,0.000378,0.000384,0.0,-1,0.0
2017-03-15,0.000384,0.000387,0.000286,0.000325,85.0,-1,0.0
2017-03-16,0.000325,0.000365,0.000196,0.000202,99.0,-1,0.0
2017-03-17,0.000201,0.000232,0.000191,0.000198,83.0,-1,0.0
2017-03-18,0.000198,0.00027,0.000183,0.000224,22.0,-1,0.0
