Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-07-01,9.6e-05,0.000145,7.3e-05,0.000144,16727.0,-1,0.0
2017-07-02,0.000144,0.0002,0.000119,0.0002,30884.0,-1,0.0
2017-07-03,0.000199,0.000225,0.000148,0.000178,20213.0,-1,0.0
2017-07-04,0.000178,0.000184,0.000153,0.000155,5746.0,-1,0.0
2017-07-05,0.000155,0.000182,0.000101,0.000156,7743.0,-1,0.0
2017-07-06,0.000156,0.000208,0.000103,0.000208,10879.0,-1,0.0
2017-07-07,0.000208,0.00023,5e-05,5e-05,36186.0,-1,0.0
2017-07-08,7.5e-05,0.000101,2.5e-05,5.1e-05,10239.0,-1,0.0
2017-07-09,5.1e-05,7.7e-05,2.5e-05,2.5e-05,2205.0,-1,0.0
2017-07-10,2.5e-05,5e-05,2.3e-05,2.3e-05,4436.0,-1,0.0
2017-07-11,2.3e-05,4.8e-05,2.3e-05,4.6e-05,431.0,-1,0.0
2017-07-12,4.6e-05,4.8e-05,2.2e-05,4.8e-05,852.0,-1,0.0
2017-07-13,4.8e-05,4.8e-05,2.3e-05,2.3e-05,2495.0,-1,0.0
2017-07-14,2.3e-05,4.6e-05,2.3e-05,4.4e-05,1139.0,-1,0.0
2017-07-15,4.4e-05,4.4e-05,2e-05,2e-05,435.0,-1,0.0
2017-07-16,2e-05,3.9e-05,1.8e-05,1.9e-05,97.0,-1,0.0
2017-07-17,1.9e-05,4.4e-05,1.9e-05,4.4e-05,203.0,-1,0.0
2017-07-18,4.4e-05,4.6e-05,2.2e-05,2.3e-05,308.0,-1,0.0
2017-07-19,2.3e-05,4.8e-05,2.2e-05,2.3e-05,170.0,-1,0.0
2017-07-20,2.3e-05,5.5e-05,2.3e-05,2.8e-05,379.0,-1,0.0
2017-07-21,2.8e-05,5.6e-05,2.6e-05,5.3e-05,474.0,-1,0.0
2017-07-22,5.3e-05,5.7e-05,2.7e-05,2.8e-05,449.0,-1,0.0
2017-07-23,2.8e-05,5.6e-05,2.7e-05,5.5e-05,300.0,-1,0.0
2017-07-24,5.5e-05,5.6e-05,2.7e-05,2.8e-05,736.0,-1,0.0
2017-07-25,2.8e-05,5.5e-05,2.5e-05,2.6e-05,24.0,-1,0.0
2017-07-26,2.6e-05,5.1e-05,2.4e-05,5e-05,187.0,-1,0.0
2017-07-27,5e-05,5.2e-05,2.5e-05,2.7e-05,59.0,-1,0.0
2017-07-28,2.7e-05,2.8e-05,2.7e-05,2.8e-05,74.0,-1,0.0
2017-07-29,2.8e-05,2.8e-05,2.7e-05,2.7e-05,1.0,-1,0.0
