Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-08-27,0.087484,0.091407,0.08704,0.091213,886914.0,2568.0,0.09
2017-08-28,0.091304,0.192279,0.082028,0.109553,589943.0,2705.0,0.14
2017-08-29,0.109535,0.132374,0.100691,0.115256,518315.0,3667.0,0.12
2017-08-30,0.115189,0.129152,0.088725,0.096337,509741.0,4435.0,0.11
2017-08-31,0.096169,0.104055,0.069162,0.093836,301068.0,4058.0,0.09
2017-09-01,0.093799,0.094185,0.052389,0.061718,3225.0,4327.0,0.07
2017-09-02,0.061795,0.065124,0.028128,0.045467,358908.0,3121.0,0.05
2017-09-03,0.045574,0.084943,0.041628,0.05829,448422.0,2427.0,0.06
2017-09-04,0.058318,0.068943,0.043681,0.046001,258517.0,3333.0,0.06
2017-09-05,0.045837,0.058397,0.040838,0.057386,2321.0,2810.0,0.05
2017-09-06,0.056953,0.062678,0.050197,0.050895,225470.0,3763.0,0.06
2017-09-07,0.050916,0.056098,0.048119,0.050975,81942.0,3529.0,0.05
2017-09-08,0.050962,0.061803,0.042225,0.04399,105136.0,3620.0,0.05
2017-09-09,0.044068,0.057977,0.043636,0.0511,70128.0,3130.0,0.05
2017-09-10,0.051154,0.051551,0.038299,0.04244,71234.0,3633.0,0.04
2017-09-11,0.042574,0.05262,0.037721,0.047632,119938.0,3024.0,0.05
2017-09-12,0.047617,0.049896,0.029326,0.034803,34896.0,3382.0,0.04
2017-09-13,0.034814,0.03905,0.024051,0.034889,98087.0,2473.0,0.03
2017-09-14,0.034891,0.039213,0.026656,0.026656,28839.0,-1.0,0.03
2017-09-15,0.026614,0.033392,0.025472,0.030883,60392.0,-1.0,0.03
2017-09-16,0.03117,0.363101,0.027373,0.128915,632378.0,-1.0,0.2
2017-09-17,0.129117,0.189346,0.043725,0.057786,260583.0,-1.0,0.12
2017-09-18,0.05361,0.060483,0.031473,0.033897,15445.0,-1.0,0.05
2017-09-19,0.033976,0.041227,0.026166,0.030012,6961.0,-1.0,0.03
2017-09-20,0.029972,0.054538,0.029562,0.053995,416.0,-1.0,0.04
2017-09-21,0.05373,0.058902,0.03153,0.045702,3688.0,5009.0,0.05
2017-09-22,0.04565,0.050624,0.026798,0.032315,581.0,4337.0,0.04
2017-09-23,0.032224,0.038897,0.026045,0.036454,7723.0,3082.0,0.03
2017-09-24,0.036451,0.042804,0.027849,0.03135,1490.0,3487.0,0.04
2017-09-25,0.031318,0.046962,0.028325,0.029787,1223.0,3002.0,0.04
2017-09-26,0.029784,0.036307,0.0185,0.028534,11039.0,2858.0,0.03
2017-09-27,0.028455,0.047716,0.020891,0.023951,381.0,2730.0,0.03
2017-09-28,0.023952,0.034236,0.017942,0.02576,24742.0,2298.0,0.03
2017-09-29,0.02574,0.035027,0.020856,0.020876,3187.0,2470.0,0.03
2017-09-30,0.020879,0.038026,0.020189,0.037031,462.0,2005.0,0.03
2017-10-01,0.037051,0.040393,0.027937,0.034419,530.0,3559.0,0.03
2017-10-02,0.034403,0.05674,0.034379,0.04141,25459.0,3304.0,0.05
2017-10-03,0.041411,0.056448,0.026738,0.030592,472.0,3978.0,0.04
2017-10-04,0.030663,0.030682,0.019249,0.025193,610.0,2962.0,0.02
2017-10-05,0.025215,0.028684,0.017441,0.021402,285.0,2436.0,0.02
2017-10-06,0.021402,0.024716,0.017203,0.018015,600.0,2067.0,0.02
2017-10-07,0.018021,0.023334,0.015033,0.023158,390.0,1741.0,0.02
2017-10-08,0.023096,0.04349,0.020026,0.038226,503.0,2231.0,0.03
2017-10-09,0.038236,0.040537,0.021067,0.03967,425.0,3694.0,0.03
2017-10-10,0.039668,0.041469,0.021102,0.031414,150.0,3832.0,0.03
2017-10-11,0.031409,0.033766,0.015305,0.015389,92.0,3034.0,0.02
2017-10-12,0.015402,0.027203,0.012066,0.027203,90.0,1488.0,0.02
2017-10-13,0.027287,0.030263,0.014796,0.015105,193.0,2636.0,0.02
2017-10-14,0.015109,0.015283,0.008885,0.009287,88.0,1460.0,0.01
2017-10-15,0.009303,0.009388,0.008565,0.008992,74.0,899.0,0.01
2017-10-16,0.008993,0.009303,0.00871,0.009024,184.0,869.0,0.01
2017-10-17,0.009026,0.049579,0.008791,0.031389,5805.0,872.0,0.03
2017-10-18,0.031391,0.031392,0.007675,0.012786,150.0,3032.0,0.02
2017-10-19,0.012793,0.020755,0.009121,0.009249,109.0,1236.0,0.01
2017-10-20,0.009252,0.03528,0.009252,0.019389,313.0,894.0,0.02
2017-10-21,0.019348,0.041668,0.017042,0.029129,6207.0,1869.0,0.03
2017-10-22,0.029138,0.039672,0.01443,0.017314,190.0,2815.0,0.03
2017-10-23,0.017286,0.040396,0.015173,0.030371,17967.0,1670.0,0.03
2017-10-24,0.030302,0.038261,0.01996,0.024044,14144.0,2927.0,0.03
2017-10-25,0.024054,0.033211,0.010579,0.028694,709.0,2339.0,0.02
2017-10-26,0.028691,0.031785,0.013799,0.017048,153.0,2790.0,0.02
2017-10-27,0.017052,0.024156,0.009549,0.019597,574.0,1658.0,0.02
2017-10-28,0.019651,0.038247,0.011567,0.011628,583.0,1911.0,0.02
2017-10-29,0.011612,0.024684,0.011593,0.015549,185.0,1129.0,0.02
2017-10-30,0.015459,0.015471,0.006508,0.006567,448.0,1503.0,0.01
2017-10-31,0.006545,0.009682,0.001329,0.009682,175.0,636.0,0.01
2017-11-01,0.009675,0.021051,0.002512,0.021012,353.0,941.0,0.01
2017-11-02,0.021036,0.021579,0.003613,0.003709,143.0,2046.0,0.01
2017-11-03,0.003704,0.013264,0.002949,0.013001,95.0,360.0,0.01
2017-11-04,0.01529,0.01529,0.00961,0.009612,216.0,1487.0,0.01
2017-11-05,0.009002,0.022783,0.003749,0.016251,530.0,875.0,0.01
2017-11-06,0.016287,0.016772,0.006001,0.007689,255.0,1584.0,0.01
2017-11-07,0.007676,0.010988,0.004207,0.004281,73.0,747.0,0.01
2017-11-08,0.004268,0.010099,0.003855,0.004281,90.0,415.0,0.01
2017-11-09,0.004277,0.007624,0.004175,0.007253,36.0,416.0,0.01
2017-11-10,0.007275,0.012718,0.003976,0.010084,39.0,707.0,0.01
2017-11-11,0.010048,0.011264,0.003116,0.003183,6.0,977.0,0.01
2017-11-12,0.003181,0.011701,0.002977,0.003517,45.0,330.0,0.01
2017-11-13,0.003522,0.003699,0.003215,0.003389,13.0,388.0,0.0
2017-11-14,0.003396,0.009167,0.003396,0.009118,7.0,395.0,0.01
2017-11-15,0.009124,0.010953,0.004189,0.0108,208.0,1126.0,0.01
2017-11-16,0.010856,0.01406,0.010613,0.013923,38.0,1411.0,0.01
2017-11-17,0.011715,0.011976,0.004757,0.007161,194.0,1601.0,0.01
2017-11-18,0.007133,0.010298,0.00653,0.01022,39.0,1019.0,0.01
2017-11-19,0.010201,0.010254,0.006201,0.006785,131.0,1537.0,0.01
2017-11-20,0.006782,0.038966,0.004739,0.029344,941.0,1058.0,0.02
2017-11-21,0.02935,0.02937,0.011211,0.011276,107.0,4809.0,0.02
2017-11-22,0.011304,0.015271,0.00473,0.00992,118.0,1902.0,0.01
2017-11-23,0.009917,0.011522,0.007727,0.008008,131.0,1669.0,0.01
2017-11-24,0.007997,0.015915,0.004864,0.015795,4.0,1435.0,0.01
2017-11-25,0.015763,0.018981,0.015674,0.018947,198.0,2834.0,0.02
2017-11-26,0.018941,0.019328,0.007885,0.017664,214.0,3426.0,0.01
2017-11-27,0.017667,0.027059,0.016529,0.01674,62.0,3243.0,0.02
2017-11-28,0.016784,0.022454,0.005348,0.02236,118.0,3097.0,0.01
2017-11-29,0.022338,0.041957,0.015122,0.026119,372.0,4137.0,0.03
2017-11-30,0.02652,0.026919,0.017836,0.022496,45.0,5243.0,0.02
2017-12-01,0.022385,0.022514,0.003784,0.018936,40.0,4432.0,0.01
2017-12-02,0.01892,0.037055,0.016911,0.017045,30.0,3746.0,0.03
2017-12-03,0.017062,0.021482,0.012524,0.021463,79.0,3378.0,0.02
2017-12-04,0.021535,0.025654,0.019807,0.020383,39.0,4296.0,0.02
2017-12-05,0.020423,0.026365,0.006224,0.010814,122.0,4074.0,0.02
2017-12-06,0.01079,0.011558,0.004496,0.004953,14.0,2152.0,0.01
2017-12-07,0.004945,0.049995,0.004882,0.049995,444.0,987.0,0.03
2017-12-08,0.05671,0.061043,0.031291,0.040701,1450.0,11317.0,0.05
2017-12-09,0.04066,0.041262,0.033195,0.033548,155.0,8115.0,0.04
2017-12-10,0.033684,0.053628,0.029654,0.052217,2.0,6723.0,0.04
2017-12-11,0.05184,0.057522,0.009996,0.016783,149.0,10347.0,0.03
2017-12-12,0.016837,0.033971,0.013185,0.026065,163.0,3360.0,0.02
2017-12-13,0.026087,0.055249,0.024795,0.024971,31.0,5207.0,0.04
2017-12-14,0.024891,0.025359,0.011402,0.016978,202.0,4968.0,0.02
2017-12-15,0.017004,0.026108,0.004443,0.017079,143.0,3394.0,0.02
2017-12-16,0.017103,0.053585,0.016887,0.053165,12.0,3414.0,0.04
2017-12-17,0.053171,0.053171,0.025062,0.025178,56.0,10614.0,0.04
2017-12-18,0.025254,0.025276,0.024121,0.025044,28.0,5042.0,0.02
2017-12-19,0.025065,0.025155,0.022337,0.023103,18.0,5010.0,0.02
2017-12-20,0.023081,0.027768,0.021013,0.026962,40.0,4617.0,0.02
2017-12-21,0.027033,0.028514,0.024992,0.025837,14.0,5414.0,0.03
2017-12-22,0.025927,0.055828,0.010966,0.051441,1199.0,5192.0,0.03
2017-12-23,0.051926,0.055448,0.018936,0.019023,87.0,10399.0,0.04
2017-12-24,0.019233,0.025932,0.015209,0.025932,19.0,3852.0,0.02
2017-12-25,0.026202,0.026964,0.019025,0.019407,134.0,5247.0,0.02
2017-12-26,0.019387,0.047884,0.014417,0.047002,255.0,3883.0,0.03
2017-12-27,0.047036,0.051019,0.046333,0.049755,259.0,9419.0,0.05
2017-12-28,0.049651,0.049861,0.042241,0.04439,16.0,9943.0,0.05
2017-12-29,0.044849,0.06547,0.042797,0.046504,217.0,8983.0,0.05
2017-12-30,0.046386,0.055599,0.02255,0.053984,306.0,9292.0,0.04
2017-12-31,0.053401,0.066938,0.05287,0.065459,56442.0,10698.0,0.06
2018-01-01,0.065712,0.065757,0.047394,0.047394,101.0,13168.0,0.06
2018-01-02,0.04739,0.07129,0.047346,0.053152,542.0,9497.0,0.06
2018-01-03,0.052964,0.068755,0.051645,0.067319,223.0,10617.0,0.06
2018-01-04,0.067688,0.068777,0.053067,0.059195,191.0,13586.0,0.06
2018-01-05,0.059207,0.072671,0.044226,0.046669,361.0,11900.0,0.06
2018-01-06,0.046706,0.075264,0.042438,0.043382,86.0,9390.0,0.06
2018-01-07,0.04335,0.061025,0.04036,0.041422,41.0,8715.0,0.05
2018-01-08,0.041364,0.05615,0.038952,0.054062,59.0,8316.0,0.05
2018-01-09,0.053914,0.122899,0.05198,0.116099,2497.0,10839.0,0.09
2018-01-10,0.116251,0.117472,0.062696,0.116987,9495.0,23380.0,0.09
2018-01-11,0.116856,0.117282,0.062547,0.074407,191.0,23513.0,0.09
2018-01-12,0.074898,0.125786,0.074059,0.125228,15284.0,15076.0,0.1
2018-01-13,0.125085,0.208328,0.125085,0.158011,87867.0,25194.0,0.17
2018-01-14,0.158114,0.275005,0.15265,0.27399,5779.0,31874.0,0.21
2018-01-15,0.272003,0.286604,0.14859,0.21837,116228.0,54873.0,0.22
