Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-05-23,0.010639,0.010674,0.005106,0.007103,1272.0,15164.0,0.01
2014-05-24,0.007153,0.017068,0.007153,0.010015,5166.0,10198.0,0.01
2014-05-25,0.010014,0.015179,0.009491,0.01018,1821.0,14311.0,0.01
2014-05-26,0.010197,0.010841,0.007826,0.008054,1100.0,14591.0,0.01
2014-05-27,0.008057,0.011346,0.005664,0.00917,900.0,11541.0,0.01
2014-05-28,0.009151,0.011723,0.007483,0.0087,2588.0,13113.0,0.01
2014-05-29,0.008708,0.008708,0.005119,0.006426,221.0,12482.0,0.01
2014-05-30,0.006426,0.008658,0.002187,0.007988,886.0,9220.0,0.01
2014-05-31,0.007987,0.009514,0.007422,0.009514,144.0,11472.0,0.01
2014-06-01,0.009499,0.009915,0.00676,0.0086,94.0,13658.0,0.01
2014-06-02,0.008615,0.018321,0.00813,0.017167,1652.0,12398.0,0.01
2014-06-03,0.018643,0.021916,0.012651,0.018059,1797.0,26848.0,0.02
2014-06-04,0.018059,0.022107,0.011545,0.013395,1644.0,26023.0,0.02
2014-06-05,0.013397,0.013483,0.011618,0.01318,327.0,19316.0,0.01
2014-06-06,0.013192,0.015774,0.012172,0.014818,575.0,19032.0,0.01
2014-06-07,0.014806,0.016161,0.011831,0.014058,589.0,21372.0,0.01
2014-06-08,0.014063,0.019718,0.012373,0.01329,1457.0,20302.0,0.02
2014-06-09,0.013287,0.014731,0.011274,0.011852,1141.0,19188.0,0.01
2014-06-10,0.011847,0.017666,0.01171,0.013386,2492.0,17112.0,0.01
2014-06-11,0.01339,0.015141,0.013155,0.013938,489.0,19340.0,0.01
2014-06-12,0.01392,0.014666,0.012044,0.01285,746.0,20124.0,0.01
2014-06-13,0.012778,0.013354,0.011846,0.012141,259.0,18483.0,0.01
2014-06-14,0.012153,0.014351,0.012143,0.014238,798.0,17583.0,0.01
2014-06-15,0.014139,0.01436,0.012593,0.014181,100.0,20472.0,0.01
2014-06-16,0.014212,0.014854,0.010282,0.01206,1226.0,20588.0,0.01
2014-06-17,0.012075,0.012165,0.011313,0.01187,401.0,17496.0,0.01
2014-06-18,0.011848,0.012337,0.011025,0.011491,89.0,17173.0,0.01
2014-06-19,0.011496,0.01338,0.010449,0.010476,622.0,16673.0,0.01
2014-06-20,0.010455,0.013027,0.010431,0.01171,568.0,15166.0,0.01
2014-06-21,0.011978,0.012282,0.010483,0.012221,274.0,17389.0,0.01
2014-06-22,0.012197,0.012701,0.006042,0.012164,1147.0,17708.0,0.01
2014-06-23,0.012122,0.012135,0.006349,0.006374,234.0,17599.0,0.01
2014-06-24,0.007316,0.013775,0.006662,0.013725,1818.0,10622.0,0.01
2014-06-25,0.013953,0.027318,0.011155,0.019833,13048.0,20258.0,0.02
2014-06-26,0.016973,0.024447,0.010737,0.015811,2363.0,24642.0,0.02
2014-06-27,0.015842,0.020293,0.014757,0.016455,661.0,23044.0,0.02
2014-06-28,0.016725,0.017148,0.011681,0.012644,728.0,24349.0,0.01
2014-06-29,0.0117,0.014221,0.01076,0.012046,805.0,17046.0,0.01
2014-06-30,0.012052,0.012619,0.011194,0.012222,448.0,17595.0,0.01
2014-07-01,0.012226,0.015203,0.011076,0.012742,526.0,17909.0,0.01
2014-07-02,0.012752,0.014003,0.011467,0.013001,390.0,18740.0,0.01
2014-07-03,0.012998,0.013349,0.011604,0.013189,137.0,19157.0,0.01
2014-07-04,0.013193,0.013608,0.011644,0.012601,618.0,19460.0,0.01
2014-07-05,0.012586,0.012642,0.011505,0.012113,18.0,18575.0,0.01
2014-07-06,0.012124,0.012678,0.011567,0.011613,13.0,17901.0,0.01
2014-07-07,0.011608,0.012703,0.01111,0.012113,91.0,17152.0,0.01
2014-07-08,0.011235,0.011858,0.010761,0.011846,76.0,16608.0,0.01
2014-07-09,0.011854,0.012719,0.001563,0.008194,815.0,17531.0,0.01
2014-07-10,0.009379,0.012629,0.009191,0.009948,351.0,13872.0,0.01
2014-07-11,0.009947,0.009988,0.006359,0.008842,194.0,14719.0,0.01
2014-07-12,0.00884,0.008927,0.00678,0.0077,240.0,13086.0,0.01
2014-07-13,0.007706,0.012602,0.006774,0.007029,234.0,11409.0,0.01
