Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-01-12,0.00317,0.003726,0.002999,0.003487,638.0,5431.0,0.0
2015-01-13,0.003482,0.003719,0.001338,0.001955,780.0,6139.0,0.0
2015-01-14,0.001654,0.001682,0.001124,0.001223,270.0,3114.0,0.0
2015-01-15,0.001215,0.002071,0.001215,0.001891,908.0,2422.0,0.0
2015-01-16,0.001467,0.002133,0.001396,0.00175,751.0,3082.0,0.0
2015-01-17,0.001748,0.001981,0.001227,0.001301,753.0,3867.0,0.0
2015-01-18,0.001307,0.00188,0.001199,0.001209,586.0,3045.0,0.0
2015-01-19,0.001215,0.001558,0.001182,0.001346,224.0,2976.0,0.0
2015-01-20,0.001334,0.001366,0.001289,0.001321,124.0,3416.0,0.0
2015-01-21,0.001321,0.00149,0.00132,0.001464,182.0,3538.0,0.0
2015-01-22,0.001467,0.001555,0.001312,0.001321,259.0,4096.0,0.0
2015-01-23,0.001321,0.00133,0.000701,0.000832,265.0,3841.0,0.0
2015-01-24,0.000832,0.001643,0.000615,0.000807,203.0,2516.0,0.0
2015-01-25,0.000805,0.001023,0.000799,0.000939,84.0,2523.0,0.0
2015-01-26,0.00094,0.001021,0.000721,0.000854,163.0,3054.0,0.0
2015-01-27,0.000853,0.000992,0.000688,0.000841,175.0,2871.0,0.0
2015-01-28,0.000837,0.000923,0.000648,0.000666,52.0,2915.0,0.0
2015-01-29,0.000665,0.000693,0.000625,0.000658,46.0,2387.0,0.0
2015-01-30,0.000656,0.000713,0.000577,0.000649,78.0,2430.0,0.0
2015-01-31,0.000649,0.000654,0.000584,0.000587,60.0,2471.0,0.0
2015-02-01,0.000585,0.000646,0.000577,0.00061,139.0,2296.0,0.0
2015-02-02,0.000608,0.000651,0.000563,0.000578,80.0,2456.0,0.0
2015-02-03,0.000577,0.00062,0.000357,0.000362,152.0,2391.0,0.0
2015-02-04,0.000362,0.000389,0.000275,0.000324,89.0,1539.0,0.0
2015-02-05,0.000324,0.000505,0.000315,0.000316,36.0,1413.0,0.0
2015-02-06,0.000316,0.000434,0.000316,0.000333,52.0,1413.0,0.0
2015-02-07,0.000333,0.000337,0.000283,0.000284,60.0,1523.0,0.0
2015-02-08,0.000284,0.000305,0.000272,0.000274,36.0,1329.0,0.0
2015-02-09,0.000274,0.000648,0.000271,0.000648,79.0,1314.0,0.0
2015-02-10,0.000683,0.000715,0.000345,0.000457,116.0,3338.0,0.0
2015-02-11,0.000457,0.000457,0.00033,0.000397,22.0,2285.0,0.0
2015-02-12,0.000397,0.000415,0.000343,0.000343,24.0,2026.0,0.0
2015-02-13,0.000344,0.000459,0.000339,0.000403,18.0,1787.0,0.0
2015-02-14,0.000403,0.000437,0.000337,0.000347,26.0,2135.0,0.0
2015-02-15,0.000347,0.000413,0.000274,0.000282,43.0,1875.0,0.0
2015-02-16,0.000282,0.000374,0.000268,0.000292,72.0,1556.0,0.0
