Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-12-21,5.1,6.51,5.04,6.48,-1.0,537306.0,5.78
2013-12-22,6.44,10.11,5.7,9.59,-1.0,680483.0,7.9
2013-12-23,9.65,17.43,9.05,14.68,-1.0,1028460.0,13.24
2013-12-24,14.12,14.65,10.58,12.39,-1.0,1516830.0,12.62
2013-12-25,12.4,12.47,6.78,7.55,-1.0,1342730.0,9.62
2013-12-26,7.62,10.96,7.62,9.37,-1.0,831470.0,9.29
2013-12-27,9.39,9.54,6.66,7.34,21763.0,1033380.0,8.1
2013-12-28,7.37,7.77,6.68,6.7,11812.0,817998.0,7.22
2013-12-29,6.71,7.38,5.81,6.36,16095.0,750157.0,6.59
2013-12-30,6.33,6.48,4.14,4.91,19533.0,713935.0,5.31
2013-12-31,4.94,7.52,4.91,7.12,22774.0,561697.0,6.21
2014-01-01,7.13,7.25,6.25,6.48,11087.0,816254.0,6.75
2014-01-02,6.5,6.51,5.48,5.82,20330.0,749833.0,6.0
2014-01-03,5.82,6.06,5.56,5.91,11519.0,677126.0,5.81
2014-01-04,5.87,6.6,5.76,6.0,14839.0,687624.0,6.18
2014-01-05,6.01,6.44,5.13,6.37,16004.0,258408.0,5.79
2014-01-06,5.91,5.91,3.82,5.4,30765.0,703385.0,4.87
2014-01-07,5.41,6.08,4.22,4.6,10198.0,648700.0,5.15
2014-01-08,4.57,5.88,4.35,5.24,12002.0,551605.0,5.12
2014-01-09,5.24,6.29,4.88,5.94,13893.0,637164.0,5.58
2014-01-10,5.94,6.76,5.17,5.88,21890.0,727685.0,5.96
2014-01-11,5.87,6.27,4.84,5.99,14410.0,724978.0,5.55
2014-01-12,6.02,6.14,4.56,5.96,15700.0,749455.0,5.35
2014-01-13,5.94,5.94,3.92,4.37,9047.0,743918.0,4.93
2014-01-14,4.38,5.15,3.68,3.88,7958.0,553580.0,4.42
2014-01-15,3.88,5.16,3.87,4.47,8976.0,492916.0,4.52
2014-01-16,4.47,4.91,4.22,4.39,7189.0,572721.0,4.56
2014-01-17,4.39,4.56,3.8,4.21,5318.0,565588.0,4.18
2014-01-18,4.08,4.32,3.72,3.97,4301.0,529827.0,4.02
2014-01-19,3.97,3.99,3.34,3.66,7972.0,518948.0,3.67
2014-01-20,3.66,3.96,3.25,3.33,4898.0,481838.0,3.6
2014-01-21,3.33,3.75,3.18,3.65,6651.0,441903.0,3.46
2014-01-22,3.99,5.03,3.56,3.71,8337.0,533128.0,4.29
2014-01-23,3.71,4.65,3.71,4.14,10251.0,498925.0,4.18
2014-01-24,4.19,4.46,3.61,3.95,8804.0,568006.0,4.04
2014-01-25,3.95,4.28,3.45,3.97,16762.0,538166.0,3.87
2014-01-26,3.97,4.42,3.69,3.95,6692.0,544856.0,4.05
2014-01-27,3.77,4.05,3.22,3.28,4350.0,520706.0,3.63
2014-01-28,3.29,3.6,3.22,3.41,6813.0,457819.0,3.41
2014-01-29,3.46,3.79,3.4,3.57,4609.0,484789.0,3.59
2014-01-30,3.57,4.34,3.5,3.69,11653.0,503059.0,3.92
2014-01-31,3.76,4.53,3.61,3.93,9542.0,534029.0,4.07
2014-02-01,3.89,4.47,3.81,4.07,3530.0,555989.0,4.14
2014-02-02,4.07,4.6,4.07,4.11,4596.0,584597.0,4.33
2014-02-03,4.15,4.35,3.72,4.13,7578.0,600555.0,4.04
2014-02-04,4.18,4.19,3.91,3.92,5100.0,607535.0,4.05
2014-02-05,3.97,4.08,3.48,3.69,6628.0,580516.0,3.78
2014-02-06,3.52,4.03,3.16,3.32,5563.0,518573.0,3.6
2014-02-07,3.32,13.35,3.03,8.55,230966.0,491804.0,8.19
2014-02-08,8.24,12.56,7.39,12.47,194362.0,1224070.0,9.97
2014-02-09,12.29,14.88,10.65,12.76,409228.0,1830550.0,12.77
2014-02-10,11.86,13.23,9.19,13.17,167714.0,1771470.0,11.21
2014-02-11,13.33,13.35,10.02,10.64,98992.0,1997820.0,11.68
2014-02-12,10.64,11.04,10.09,10.37,63995.0,1599620.0,10.56
2014-02-13,10.35,17.53,10.35,17.25,549084.0,1561210.0,13.94
2014-02-14,17.13,29.26,13.05,29.13,999243.0,2591030.0,21.16
2014-02-15,29.08,29.53,19.5,19.53,447294.0,4410830.0,24.52
2014-02-16,19.54,21.25,14.09,14.8,243027.0,2972500.0,17.67
2014-02-17,14.74,20.87,13.96,19.06,295254.0,2249770.0,17.41
2014-02-18,19.08,20.49,15.53,18.21,178030.0,2920750.0,18.01
2014-02-19,18.17,18.43,15.69,16.19,98202.0,2789240.0,17.06
2014-02-20,16.19,16.57,8.66,9.99,164141.0,2492740.0,12.62
2014-02-21,10.0,10.62,8.45,9.12,68008.0,1544310.0,9.54
2014-02-22,8.63,8.94,7.39,7.9,33505.0,1336730.0,8.16
2014-02-23,7.91,8.35,6.36,7.3,43353.0,1228590.0,7.36
2014-02-24,7.3,8.47,5.88,6.01,27093.0,1136780.0,7.18
2014-02-25,6.02,6.02,3.37,5.42,47107.0,940572.0,4.7
2014-02-26,5.49,6.84,5.38,6.78,30444.0,859295.0,6.11
2014-02-27,6.77,7.62,5.5,5.99,2367.0,1063990.0,6.56
2014-02-28,5.98,7.06,5.91,6.02,9204.0,941714.0,6.48
2014-03-01,6.03,6.72,5.84,5.93,16579.0,953052.0,6.28
2014-03-02,5.92,6.26,5.39,5.49,11691.0,937613.0,5.82
2014-03-03,5.52,6.52,5.02,5.53,23421.0,877575.0,5.77
2014-03-04,5.73,6.25,5.37,5.66,24953.0,913382.0,5.81
2014-03-05,5.41,5.68,4.53,4.81,20686.0,865386.0,5.11
2014-03-06,4.8,7.39,4.71,6.79,56384.0,769826.0,6.05
2014-03-07,7.07,7.08,5.09,5.16,11395.0,1136970.0,6.08
2014-03-08,5.17,5.52,4.97,5.19,5085.0,833214.0,5.24
2014-03-09,5.18,6.14,5.06,5.44,7232.0,837821.0,5.6
2014-03-10,5.44,5.51,4.96,4.96,5762.0,881189.0,5.23
2014-03-11,4.96,5.32,3.79,4.38,99085.0,806325.0,4.55
2014-03-12,4.37,4.95,3.82,4.21,15111.0,711809.0,4.38
2014-03-13,4.22,4.35,3.85,4.02,8615.0,689424.0,4.1
2014-03-14,4.02,4.03,3.22,3.23,12595.0,658167.0,3.62
2014-03-15,3.24,3.6,3.09,3.59,11238.0,531886.0,3.34
