Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-05-16,0.003378,0.004934,0.002851,0.004934,19234.0,72766.0,0.0
2014-05-17,0.005332,0.012332,0.004964,0.008075,59379.0,123800.0,0.01
2014-05-18,0.00808,0.012399,0.007565,0.009465,60803.0,214966.0,0.01
2014-05-19,0.009372,0.009412,0.003519,0.00669,17052.0,250705.0,0.01
2014-05-20,0.004149,0.006632,0.004148,0.005296,11609.0,111006.0,0.01
2014-05-21,0.005294,0.00637,0.003945,0.005422,8226.0,141635.0,0.01
2014-05-22,0.005424,0.00829,0.001917,0.005134,26378.0,145108.0,0.01
2014-05-23,0.005246,0.007355,0.003801,0.004754,12677.0,140334.0,0.01
2014-05-24,0.00475,0.005078,0.003433,0.004443,4640.0,127061.0,0.0
2014-05-25,0.004443,0.004716,0.002993,0.004554,5588.0,118849.0,0.0
2014-05-26,0.004561,0.006589,0.003365,0.00505,14419.0,122022.0,0.0
2014-05-27,0.005052,0.005755,0.003928,0.005149,6688.0,135162.0,0.0
2014-05-28,0.005141,0.005929,0.002301,0.003459,6540.0,137536.0,0.0
2014-05-29,0.004039,0.005954,0.003457,0.004648,12380.0,108062.0,0.0
2014-05-30,0.004648,0.005665,0.003463,0.003557,4599.0,124335.0,0.0
2014-05-31,0.003557,0.005727,0.003458,0.005616,8398.0,95162.0,0.0
2014-06-01,0.005607,0.006793,0.004725,0.005297,4777.0,150024.0,0.01
2014-06-02,0.005307,0.00672,0.004606,0.004719,2982.0,141991.0,0.01
2014-06-03,0.004723,0.005927,0.003858,0.004299,4695.0,126392.0,0.0
2014-06-04,0.00494,0.018057,0.003745,0.016044,88324.0,132197.0,0.01
2014-06-05,0.016695,0.083767,0.014802,0.083653,428708.0,446755.0,0.05
2014-06-06,0.083726,0.083726,0.034059,0.05344,746307.0,2240570.0,0.06
2014-06-07,0.053356,0.12131,0.052933,0.109663,1947380.0,1427870.0,0.09
2014-06-08,0.108841,0.17818,0.103351,0.175964,2475530.0,2912760.0,0.14
2014-06-09,0.175902,0.180891,0.076524,0.118366,2754170.0,4707540.0,0.13
2014-06-10,0.120257,0.136762,0.101204,0.10159,826156.0,3218660.0,0.12
2014-06-11,0.101078,0.110708,0.09576,0.100999,288869.0,2705380.0,0.1
2014-06-12,0.100803,0.101543,0.07969,0.081649,197270.0,2698080.0,0.09
2014-06-13,0.082277,0.091817,0.06611,0.080264,295445.0,2202250.0,0.08
2014-06-14,0.082108,0.086198,0.068168,0.072596,87678.0,2197800.0,0.08
2014-06-15,0.072871,0.077725,0.06169,0.067423,80922.0,1950570.0,0.07
2014-06-16,0.06471,0.077207,0.062578,0.068761,68053.0,1732120.0,0.07
2014-06-17,0.068844,0.110128,0.062563,0.087797,593518.0,1842880.0,0.09
2014-06-18,0.089967,0.093679,0.075446,0.084759,300928.0,2408360.0,0.08
2014-06-19,0.084234,0.084909,0.07453,0.075536,191384.0,2254900.0,0.08
2014-06-20,0.071477,0.072872,0.063147,0.068389,141231.0,1913500.0,0.07
2014-06-21,0.068514,0.071545,0.059457,0.069314,87325.0,1834190.0,0.07
2014-06-22,0.069216,0.107538,0.065772,0.094259,513777.0,1853030.0,0.09
2014-06-23,0.095024,0.143461,0.094845,0.132307,783628.0,2544000.0,0.12
2014-06-24,0.130327,0.163585,0.114539,0.163585,863362.0,3489220.0,0.14
2014-06-25,0.163938,0.21584,0.14437,0.167411,2101880.0,4389300.0,0.18
2014-06-26,0.181171,0.19818,0.158763,0.173914,815084.0,4850990.0,0.18
2014-06-27,0.176921,0.258718,0.173387,0.258718,1323400.0,4737300.0,0.22
2014-06-28,0.261742,0.335628,0.222412,0.235881,2758520.0,7008770.0,0.28
2014-06-29,0.249457,0.289732,0.23721,0.261401,1442840.0,6679960.0,0.26
2014-06-30,0.260793,0.340072,0.253269,0.32466,1753760.0,6983850.0,0.3
2014-07-01,0.320406,0.340471,0.258821,0.274357,1292150.0,8580460.0,0.3
2014-07-02,0.275404,0.314869,0.255295,0.28267,1227080.0,7375490.0,0.29
2014-07-03,0.28851,0.304213,0.278376,0.292735,448219.0,7726680.0,0.29
2014-07-04,0.295488,0.30271,0.27255,0.27255,239758.0,7913750.0,0.29
2014-07-05,0.272714,0.279612,0.225898,0.238882,435652.0,7304010.0,0.25
2014-07-06,0.242154,0.259653,0.226818,0.229487,271561.0,6485750.0,0.24
2014-07-07,0.229227,0.261027,0.175568,0.234771,846525.0,6139690.0,0.22
2014-07-08,0.247779,0.258346,0.218866,0.230935,447009.0,6636800.0,0.24
2014-07-09,0.231993,0.243161,0.212962,0.216775,188628.0,6214140.0,0.23
2014-07-10,0.216536,0.230214,0.187242,0.222308,336979.0,5800290.0,0.21
2014-07-11,0.223972,0.238841,0.202493,0.218493,291181.0,5999650.0,0.22
2014-07-12,0.218459,0.230196,0.209942,0.224519,162611.0,5852140.0,0.22
2014-07-13,0.235761,0.26338,0.23099,0.246344,347425.0,6315810.0,0.25
2014-07-14,0.246296,0.247201,0.236017,0.240539,277171.0,6598290.0,0.24
2014-07-15,0.240933,0.240933,0.217789,0.223309,380008.0,6454570.0,0.23
2014-07-16,0.224176,0.230409,0.186867,0.213417,117333.0,6005900.0,0.21
2014-07-17,0.21253,0.219633,0.191254,0.206409,91063.0,5694100.0,0.21
2014-07-18,0.206104,0.229407,0.197017,0.229407,134230.0,5522090.0,0.21
2014-07-19,0.228396,0.229819,0.201855,0.206366,122013.0,6119590.0,0.22
2014-07-20,0.206391,0.209146,0.20005,0.20007,59686.0,5530160.0,0.2
2014-07-21,0.200959,0.202415,0.177972,0.199069,134825.0,5384750.0,0.19
2014-07-22,0.199111,0.199132,0.162043,0.168329,164542.0,5335390.0,0.18
2014-07-23,0.168168,0.173227,0.141161,0.14637,178771.0,4506380.0,0.16
2014-07-24,0.143889,0.145545,0.080081,0.110256,377686.0,3855900.0,0.11
2014-07-25,0.110154,0.136982,0.109215,0.126922,90899.0,2951980.0,0.12
2014-07-26,0.128936,0.128936,0.102895,0.104653,49418.0,3455390.0,0.12
2014-07-27,0.104604,0.107818,0.091737,0.101174,58131.0,2803410.0,0.1
2014-07-28,0.101221,0.112222,0.097172,0.112131,66875.0,2712810.0,0.1
2014-07-29,0.112104,0.112222,0.096029,0.10229,43149.0,3004560.0,0.1
2014-07-30,0.100611,0.107411,0.081036,0.085304,65295.0,2696590.0,0.09
2014-07-31,0.084584,0.089261,0.081884,0.084056,46057.0,2267080.0,0.09
2014-08-01,0.084081,0.105196,0.084081,0.095464,68583.0,2253640.0,0.09
2014-08-02,0.094369,0.097301,0.085223,0.087963,33582.0,2529460.0,0.09
2014-08-03,0.086632,0.092979,0.084777,0.088276,21503.0,2322160.0,0.09
2014-08-04,0.088212,0.088988,0.079069,0.080559,31492.0,2364580.0,0.08
2014-08-05,0.080589,0.080589,0.06709,0.072138,42702.0,2160320.0,0.07
2014-08-06,0.071589,0.077082,0.066464,0.072665,38281.0,1919130.0,0.07
2014-08-07,0.071125,0.072693,0.068283,0.070615,16785.0,1906760.0,0.07
