Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-01-20,0.072872,0.209013,0.06357,0.202121,14602.0,66178.0,0.14
2014-01-21,0.201994,0.202707,0.085642,0.179607,13404.0,193581.0,0.14
2014-01-22,0.27664,0.323996,0.223217,0.241453,21147.0,281910.0,0.27
2014-01-23,0.304511,0.444479,0.278904,0.444479,50128.0,321975.0,0.36
2014-01-24,0.450251,0.526742,0.370968,0.379007,26869.0,499373.0,0.45
2014-01-25,0.392546,0.442129,0.320861,0.344466,19322.0,453116.0,0.38
2014-01-26,0.341476,0.356423,0.306381,0.32534,12561.0,411888.0,0.33
2014-01-27,0.32509,0.407729,0.29179,0.336943,16763.0,400787.0,0.35
2014-01-28,0.356668,0.411958,0.347783,0.381758,15008.0,445996.0,0.38
2014-01-29,0.38056,0.390248,0.317076,0.317349,7749.0,483140.0,0.35
2014-01-30,0.323355,0.352761,0.310053,0.339007,4260.0,417532.0,0.33
2014-01-31,0.335404,0.354628,0.290832,0.332375,10074.0,441643.0,0.32
2014-02-01,0.33185,0.496085,0.33099,0.416954,31268.0,447682.0,0.41
2014-02-02,0.42102,0.76076,0.356307,0.76076,80009.0,579702.0,0.56
2014-02-03,0.709286,1.64,0.585,1.64,175201.0,999739.0,1.11
2014-02-04,1.61,4.54,1.44,4.54,1000060.0,2329270.0,2.99
2014-02-05,4.8,10.12,4.07,5.4,1480360.0,7094260.0,7.09
2014-02-06,5.66,6.71,5.0,5.38,817727.0,8571370.0,5.86
2014-02-07,4.9,5.31,4.43,4.78,441589.0,7585800.0,4.87
2014-02-08,4.76,4.76,3.21,3.45,332129.0,7468430.0,3.98
2014-02-09,3.42,4.33,3.1,4.3,493625.0,5467450.0,3.71
2014-02-10,4.11,4.12,2.97,3.68,395001.0,6672920.0,3.54
2014-02-11,3.66,3.86,3.27,3.47,264439.0,6054540.0,3.56
2014-02-12,3.47,3.47,2.55,3.19,391122.0,5837000.0,3.01
2014-02-13,3.18,3.18,2.64,2.73,233428.0,5438560.0,2.91
2014-02-14,2.71,2.71,2.24,2.42,308127.0,4713830.0,2.48
2014-02-15,2.43,2.69,2.37,2.45,219887.0,4291820.0,2.53
2014-02-16,2.45,2.45,1.81,1.91,186464.0,4395970.0,2.13
2014-02-17,1.92,1.95,1.62,1.64,196586.0,3500100.0,1.79
2014-02-18,1.63,1.63,1.41,1.42,189928.0,3012790.0,1.52
2014-02-19,1.42,3.02,1.38,3.02,951079.0,2671470.0,2.2
2014-02-20,2.94,2.94,1.77,1.89,560787.0,5620120.0,2.35
2014-02-21,1.97,1.97,1.77,1.95,157513.0,3822190.0,1.87
2014-02-22,1.98,2.13,1.88,2.02,134519.0,3900760.0,2.0
2014-02-23,2.03,2.03,1.78,1.82,127817.0,4054050.0,1.9
2014-02-24,1.82,1.85,1.51,1.55,133245.0,3692000.0,1.68
2014-02-25,1.52,1.63,1.3,1.62,115446.0,3127630.0,1.46
2014-02-26,1.63,1.91,1.62,1.89,163095.0,3402400.0,1.77
2014-02-27,1.89,1.92,1.8,1.82,49930.0,3990420.0,1.86
2014-02-28,1.81,1.86,1.73,1.74,109025.0,3888370.0,1.79
2014-03-01,1.74,1.78,1.69,1.69,88108.0,3777500.0,1.73
2014-03-02,1.7,1.71,1.53,1.61,100550.0,3748940.0,1.62
2014-03-03,1.62,1.99,1.58,1.86,151606.0,3611060.0,1.79
2014-03-04,1.84,1.97,1.75,1.78,184159.0,4171450.0,1.86
2014-03-05,1.8,1.83,1.56,1.67,113278.0,4121550.0,1.7
2014-03-06,1.68,1.68,1.5,1.59,105465.0,3895220.0,1.59
2014-03-07,1.59,1.6,1.26,1.41,93317.0,3724650.0,1.43
2014-03-08,1.41,1.44,1.25,1.4,74305.0,3361910.0,1.34
2014-03-09,1.4,1.64,1.39,1.56,120261.0,3360190.0,1.51
2014-03-10,1.56,1.56,1.38,1.39,73429.0,3794630.0,1.47
2014-03-11,1.39,1.44,1.27,1.32,68568.0,3435420.0,1.35
2014-03-12,1.32,1.35,1.27,1.29,61456.0,3287310.0,1.31
2014-03-13,1.3,1.31,1.22,1.23,54713.0,3273820.0,1.27
2014-03-14,1.23,1.26,1.02,1.06,83218.0,3127260.0,1.14
2014-03-15,1.06,1.11,0.865713,0.989275,95533.0,2725290.0,0.99
2014-03-16,0.989739,1.01,0.821259,0.822178,60646.0,2577970.0,0.92
2014-03-17,0.804195,0.911866,0.761994,0.85715,72735.0,2117850.0,0.84
2014-03-18,0.856514,0.867711,0.815832,0.842015,40410.0,2279740.0,0.84
2014-03-19,0.84093,1.12,0.821626,1.09,149663.0,2263150.0,0.97
2014-03-20,1.09,1.47,1.06,1.25,347802.0,2966710.0,1.27
2014-03-21,1.25,1.54,1.2,1.42,244183.0,3437780.0,1.37
2014-03-22,1.41,2.1,1.36,1.82,883171.0,3933590.0,1.73
2014-03-23,1.82,1.94,1.7,1.83,380274.0,5130120.0,1.82
2014-03-24,1.84,2.02,1.6,1.74,350786.0,5220160.0,1.81
2014-03-25,1.74,1.74,1.5,1.5,131556.0,5007860.0,1.62
2014-03-26,1.49,1.72,1.42,1.64,204301.0,4331390.0,1.57
2014-03-27,1.63,1.63,1.28,1.28,130975.0,4766190.0,1.46
2014-03-28,1.29,1.42,1.25,1.35,101948.0,3819280.0,1.33
2014-03-29,1.36,1.38,1.28,1.32,87739.0,4075220.0,1.33
2014-03-30,1.32,1.33,1.14,1.22,64636.0,3987320.0,1.23
2014-03-31,1.2,1.25,1.14,1.17,62646.0,3658130.0,1.19
2014-04-01,1.16,1.23,1.1,1.15,85078.0,3578450.0,1.17
2014-04-02,1.15,1.16,1.01,1.01,50743.0,3576470.0,1.08
2014-04-03,1.01,1.03,0.864477,1.02,52279.0,3151900.0,0.95
2014-04-04,1.02,1.02,0.942876,0.979866,38587.0,3224700.0,0.98
2014-04-05,0.978189,1.0,0.935221,0.952404,24558.0,3115140.0,0.97
2014-04-06,0.955212,0.975762,0.840197,0.894274,58541.0,3068240.0,0.91
2014-04-07,0.895896,0.909429,0.864322,0.879337,33294.0,2893700.0,0.89
2014-04-08,0.876564,0.905741,0.861656,0.903311,31718.0,2868510.0,0.88
2014-04-09,0.903493,1.18,0.903482,1.1,187731.0,2981390.0,1.04
2014-04-10,1.09,1.1,0.803753,0.814256,50220.0,3645550.0,0.95
2014-04-11,0.811824,1.0,0.801219,0.966543,33456.0,2727850.0,0.9
2014-04-12,0.966435,1.02,0.958433,0.989773,40415.0,3275880.0,0.99
2014-04-13,0.990448,1.02,0.930078,0.967856,64455.0,3384210.0,0.98
2014-04-14,0.969448,1.08,0.927139,1.03,73780.0,3339700.0,1.0
2014-04-15,1.03,1.14,0.990345,1.12,60497.0,3586200.0,1.07
2014-04-16,1.12,1.18,1.06,1.11,54176.0,3903660.0,1.12
2014-04-17,1.11,1.13,0.992863,1.02,42891.0,3933930.0,1.06
2014-04-18,1.02,1.06,0.970935,0.981362,50506.0,3626770.0,1.02
2014-04-19,0.981245,1.05,0.964999,1.04,25933.0,3516050.0,1.01
2014-04-20,1.04,1.04,0.986054,0.992592,32466.0,3742090.0,1.01
2014-04-21,0.991883,1.02,0.952688,0.956513,33725.0,3607630.0,0.99
2014-04-22,0.956149,0.999275,0.926847,0.926847,43217.0,3504960.0,0.96
2014-04-23,0.92755,0.952157,0.922513,0.936083,30753.0,3427340.0,0.94
2014-04-24,0.935425,0.966498,0.925487,0.963032,47036.0,3485350.0,0.95
2014-04-25,0.962449,1.02,0.868427,0.915975,90282.0,3614380.0,0.94
2014-04-26,0.924517,0.984292,0.900182,0.9231,32301.0,3499020.0,0.94
2014-04-27,0.920712,0.941531,0.85633,0.856888,28422.0,3510580.0,0.9
2014-04-28,0.848182,0.856076,0.805282,0.837159,28818.0,3261090.0,0.83
2014-04-29,0.834868,0.863912,0.821914,0.859236,31387.0,3233490.0,0.84
2014-04-30,0.858714,0.951234,0.848048,0.882842,22698.0,3350060.0,0.9
2014-05-01,0.88283,0.923132,0.870591,0.899082,37880.0,3470850.0,0.9
2014-05-02,0.899141,0.90251,0.853279,0.859599,15664.0,3561860.0,0.88
2014-05-03,0.859438,0.860403,0.802282,0.80856,26485.0,3430280.0,0.83
2014-05-04,0.809689,0.86388,0.78317,0.827808,34945.0,3253940.0,0.82
2014-05-05,0.824997,0.82915,0.773307,0.784263,23596.0,3340210.0,0.8
2014-05-06,0.783589,0.802709,0.744943,0.766558,27251.0,3195360.0,0.77
2014-05-07,0.767151,0.817757,0.740415,0.801184,37997.0,3149810.0,0.78
2014-05-08,0.800937,0.810493,0.748244,0.791996,27263.0,3308270.0,0.78
2014-05-09,0.791247,0.952963,0.783934,0.857688,110545.0,3293210.0,0.87
2014-05-10,0.857668,1.01,0.857668,0.944855,123347.0,3594490.0,0.93
2014-05-11,0.943772,0.990745,0.886714,0.924908,110433.0,3984370.0,0.94
2014-05-12,0.923763,0.96189,0.888822,0.935311,83941.0,3924930.0,0.93
2014-05-13,0.935437,1.07,0.920954,1.05,165809.0,4002780.0,1.0
2014-05-14,1.05,1.28,1.03,1.16,332095.0,4526870.0,1.16
2014-05-15,1.16,1.31,1.12,1.27,83256.0,5026590.0,1.22
2014-05-16,1.28,1.29,0.957923,1.03,207969.0,5590830.0,1.12
2014-05-17,1.03,1.1,0.969828,1.03,88607.0,4543640.0,1.03
2014-05-18,1.03,1.09,0.995644,1.0,36977.0,4574890.0,1.04
2014-05-19,1.0,1.01,0.950032,0.975305,51195.0,4455220.0,0.98
2014-05-20,0.965976,1.06,0.955335,1.0,93382.0,4329890.0,1.01
2014-05-21,1.01,1.03,0.961495,1.01,62204.0,4538280.0,1.0
2014-05-22,1.01,1.01,0.909907,0.924555,105506.0,4605040.0,0.96
2014-05-23,0.927046,1.08,0.842564,1.07,160258.0,4236460.0,0.96
2014-05-24,1.07,1.09,0.978159,1.05,125083.0,4899200.0,1.03
2014-05-25,1.05,1.08,1.02,1.04,75563.0,4868360.0,1.05
2014-05-26,1.05,1.07,0.969522,1.04,82867.0,4874300.0,1.02
2014-05-27,1.04,1.04,0.949458,1.01,22488.0,4860230.0,0.99
2014-05-28,1.02,1.14,0.974387,0.99215,137690.0,4805380.0,1.06
2014-05-29,0.985508,0.997641,0.946742,0.958581,52996.0,4671600.0,0.97
2014-05-30,0.958727,1.03,0.946398,1.01,59379.0,4571880.0,0.99
2014-05-31,1.0,1.02,0.904633,0.916443,75451.0,4818390.0,0.96
2014-06-01,0.917206,0.974355,0.891911,0.896019,52805.0,4424330.0,0.93
2014-06-02,0.895339,0.972139,0.892807,0.95328,51013.0,4345480.0,0.93
2014-06-03,0.952965,0.991742,0.853787,0.873267,50523.0,4653570.0,0.92
2014-06-04,0.872264,0.910201,0.840623,0.857409,55342.0,4284820.0,0.88
2014-06-05,0.856714,0.872859,0.806428,0.806428,17778.0,4233200.0,0.84
2014-06-06,0.808911,0.844107,0.779939,0.802616,69258.0,4020770.0,0.81
2014-06-07,0.802515,0.843586,0.793627,0.804795,13925.0,4009650.0,0.82
2014-06-08,0.799913,0.808717,0.736554,0.756615,44106.0,4019560.0,0.77
2014-06-09,0.756126,0.757129,0.694791,0.707001,57562.0,3820330.0,0.73
2014-06-10,0.708241,0.807669,0.692033,0.788202,86279.0,3599100.0,0.75
2014-06-11,0.788239,0.971638,0.755388,0.85461,184486.0,4027860.0,0.86
2014-06-12,0.855295,0.894929,0.752862,0.769371,58920.0,4395660.0,0.82
2014-06-13,0.767792,0.793638,0.753817,0.762557,38273.0,3969750.0,0.77
2014-06-14,0.763242,0.765716,0.697821,0.717523,28613.0,3966910.0,0.73
2014-06-15,0.716025,0.725185,0.677195,0.720847,14618.0,3741660.0,0.7
2014-06-16,0.713758,0.722757,0.648111,0.686738,37299.0,3751550.0,0.69
2014-06-17,0.686064,0.758677,0.685043,0.718347,18994.0,3625020.0,0.72
2014-06-18,0.712272,0.732423,0.6693,0.675581,37652.0,3784940.0,0.7
2014-06-19,0.675687,0.6853,0.639185,0.645588,19624.0,3608070.0,0.66
2014-06-20,0.64854,0.684709,0.6355,0.658851,45862.0,3481750.0,0.66
2014-06-21,0.658462,0.661032,0.623775,0.623775,31914.0,3554180.0,0.64
2014-06-22,0.62457,0.635744,0.507956,0.51524,26381.0,3388850.0,0.57
2014-06-23,0.520197,0.621264,0.506801,0.613882,33874.0,2836690.0,0.56
