Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-09-10,0.008506,0.014418,0.008495,0.009865,9997.0,-1.0,0.01
2017-09-11,0.009896,0.014786,0.008303,0.009519,11523.0,-1.0,0.01
2017-09-12,0.009516,0.010723,0.004273,0.00472,5773.0,-1.0,0.01
2017-09-13,0.004721,0.007908,0.004671,0.006301,1046.0,-1.0,0.01
2017-09-14,0.006301,0.006957,0.005047,0.005047,1098.0,-1.0,0.01
2017-09-15,0.005039,0.007227,0.004783,0.006089,1450.0,-1.0,0.01
2017-09-16,0.006136,0.006301,0.004233,0.004246,7224.0,-1.0,0.01
2017-09-17,0.005466,0.007242,0.005147,0.005522,3181.0,540929.0,0.01
2017-09-18,0.005511,0.00782,0.004609,0.007141,749.0,545361.0,0.01
2017-09-19,0.007158,0.008337,0.004758,0.006105,10903.0,708414.0,0.01
2017-09-20,0.006097,0.007467,0.005135,0.005307,7961.0,603370.0,0.01
2017-09-21,0.005281,0.006931,0.005059,0.006849,11438.0,522636.0,0.01
2017-09-22,0.006841,0.007322,0.006296,0.007232,11383.0,677048.0,0.01
2017-09-23,0.007212,0.00943,0.006342,0.0069,4821.0,713701.0,0.01
2017-09-24,0.006899,0.009404,0.006538,0.00735,4293.0,682759.0,0.01
2017-09-25,0.006978,0.008786,0.006978,0.007865,2282.0,690620.0,0.01
2017-09-26,0.007864,0.009593,0.006304,0.00666,13545.0,778268.0,0.01
2017-09-27,0.006641,0.009057,0.006641,0.00902,4237.0,657220.0,0.01
2017-09-28,0.009021,0.010032,0.006981,0.007112,5424.0,892726.0,0.01
2017-09-29,0.007107,0.008562,0.006972,0.008344,3642.0,703326.0,0.01
2017-09-30,0.007428,0.008607,0.007018,0.007379,12038.0,735122.0,0.01
2017-10-01,0.007383,0.007992,0.005418,0.007562,6273.0,730642.0,0.01
2017-10-02,0.007558,0.008147,0.006264,0.006321,12428.0,748004.0,0.01
2017-10-03,0.006321,0.007609,0.006117,0.0067,1463.0,625546.0,0.01
2017-10-04,0.006716,0.007666,0.006298,0.00637,5629.0,664641.0,0.01
2017-10-05,0.006376,0.007409,0.006368,0.006958,3557.0,630966.0,0.01
2017-10-06,0.006958,0.007715,0.006401,0.006631,4290.0,688596.0,0.01
2017-10-07,0.006633,0.008792,0.006264,0.008792,25040.0,656463.0,0.01
2017-10-08,0.008769,0.010855,0.007712,0.009468,18882.0,867813.0,0.01
2017-10-09,0.00947,0.009508,0.006034,0.008311,24856.0,937216.0,0.01
2017-10-10,0.00831,0.008387,0.006037,0.007768,5139.0,822403.0,0.01
2017-10-11,0.007767,0.008188,0.006529,0.007434,4695.0,768654.0,0.01
2017-10-12,0.007441,0.008316,0.006971,0.007654,3275.0,736355.0,0.01
2017-10-13,0.007677,0.00844,0.005859,0.005859,4734.0,759761.0,0.01
2017-10-14,0.005861,0.007858,0.004795,0.006266,2664.0,579995.0,0.01
2017-10-15,0.006278,0.006278,0.00454,0.004742,6735.0,621256.0,0.01
2017-10-16,0.004743,0.005817,0.00331,0.005665,1931.0,469369.0,0.0
2017-10-17,0.005666,0.005679,0.004621,0.004786,1085.0,560756.0,0.01
2017-10-18,0.004848,0.006402,0.004119,0.00546,6044.0,479777.0,0.01
2017-10-19,0.005466,0.009359,0.005181,0.00614,12901.0,540914.0,0.01
2017-10-20,0.007028,0.007361,0.005831,0.005856,4484.0,695528.0,0.01
2017-10-21,0.005843,0.007065,0.00551,0.005972,5551.0,578289.0,0.01
2017-10-22,0.005974,0.006662,0.005414,0.00599,6872.0,591187.0,0.01
2017-10-23,0.00598,0.007501,0.005472,0.005782,5225.0,591814.0,0.01
2017-10-24,0.005781,0.006047,0.005197,0.005239,2445.0,572074.0,0.01
2017-10-25,0.005242,0.00541,0.004328,0.00505,5437.0,518723.0,0.0
2017-10-26,0.00505,0.006384,0.004695,0.005523,4572.0,499749.0,0.01
2017-10-27,0.005524,0.005901,0.004408,0.004589,2683.0,546717.0,0.01
2017-10-28,0.004578,0.00556,0.004515,0.005123,2582.0,453100.0,0.01
2017-10-29,0.005116,0.005116,0.004328,0.004778,3135.0,506328.0,0.0
2017-10-30,0.004748,0.006782,0.004103,0.00419,5828.0,469879.0,0.01
2017-10-31,0.004176,0.005156,0.004176,0.005022,1459.0,413249.0,0.0
2017-11-01,0.005008,0.005008,0.004231,0.004428,1941.0,495590.0,0.0
2017-11-02,0.00443,0.005075,0.0019,0.003432,2987.0,438422.0,0.0
2017-11-03,0.003293,0.004204,0.003004,0.004204,2258.0,325844.0,0.0
2017-11-04,0.004193,0.005988,0.002969,0.003725,1951.0,414979.0,0.0
2017-11-05,0.003718,0.005302,0.003187,0.00429,4892.0,367960.0,0.0
2017-11-06,0.0043,0.004386,0.003543,0.003936,1902.0,425544.0,0.0
2017-11-07,0.003887,0.003959,0.003045,0.003237,1457.0,384655.0,0.0
2017-11-08,0.003225,0.003967,0.003152,0.003716,1665.0,319181.0,0.0
2017-11-09,0.003713,0.004202,0.003113,0.003479,2300.0,367407.0,0.0
2017-11-10,0.003489,0.004852,0.00245,0.003393,3085.0,345274.0,0.0
