Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-06-02,1.33,1.39,1.15,1.21,83734.0,-1.0,1.27
2016-06-03,1.29,1.66,0.727579,1.09,57721.0,-1.0,1.19
2016-06-04,1.09,1.29,0.575898,0.586993,4912.0,-1.0,0.93
2016-06-05,0.587588,1.11,0.580745,0.713006,41700.0,-1.0,0.85
2016-06-06,0.712541,1.17,0.712541,0.768672,95573.0,-1.0,0.94
2016-06-07,0.768551,1.08,0.768537,0.836066,45932.0,-1.0,0.92
2016-06-08,0.836892,1.02,0.831662,1.02,56105.0,-1.0,0.93
2016-06-09,1.02,1.64,1.01,1.41,27163.0,-1.0,1.32
2016-06-10,1.41,1.61,1.22,1.56,63162.0,-1.0,1.42
2016-06-11,1.56,1.6,1.1,1.37,34845.0,-1.0,1.35
2016-06-12,1.37,1.68,1.12,1.22,40759.0,-1.0,1.4
2016-06-13,1.22,1.65,1.07,1.32,79492.0,-1.0,1.36
2016-06-14,1.32,1.32,0.801999,0.911588,51762.0,-1.0,1.06
2016-06-15,0.911755,1.1,0.82438,0.953506,41509.0,-1.0,0.96
2016-06-16,0.956326,1.18,0.927815,0.928007,43879.0,-1.0,1.05
2016-06-17,0.930645,1.0,0.78759,0.899224,42058.0,-1.0,0.89
2016-06-18,0.898507,1.1,0.309397,0.66548,173575.0,-1.0,0.7
2016-06-19,0.665885,0.745494,0.456124,0.60376,112349.0,-1.0,0.6
2016-06-20,0.604243,0.604243,0.22705,0.289737,1771960.0,-1.0,0.42
2016-06-21,0.289209,0.292218,0.217718,0.230596,626728.0,28920900.0,0.25
2016-06-22,0.230252,0.234911,0.176512,0.188528,878411.0,23025200.0,0.21
2016-06-23,0.191379,0.205271,0.172964,0.199471,530030.0,19137900.0,0.19
2016-06-24,0.199983,0.218997,0.180431,0.195036,715427.0,19998300.0,0.2
2016-06-25,0.193498,0.243791,0.189895,0.201881,412951.0,19349800.0,0.22
2016-06-26,0.204783,0.205153,0.150026,0.165977,328673.0,20478300.0,0.18
2016-06-27,0.170007,0.178653,0.157636,0.175187,169379.0,17000700.0,0.17
2016-06-28,0.1741,0.178462,0.142232,0.145641,228770.0,17410000.0,0.16
2016-06-29,0.146568,0.16607,0.139438,0.145139,234893.0,14656800.0,0.15
2016-06-30,0.143232,0.159229,0.135652,0.139444,311148.0,14323200.0,0.15
2016-07-01,0.139274,0.151516,0.130633,0.144888,233053.0,13927400.0,0.14
2016-07-02,0.144975,0.201825,0.138431,0.180402,261410.0,14497500.0,0.17
2016-07-03,0.180746,0.208869,0.161257,0.192793,334447.0,18074600.0,0.19
2016-07-04,0.192834,0.220483,0.189336,0.22048,301807.0,19283400.0,0.2
2016-07-05,0.225309,0.226514,0.20258,0.220016,225635.0,22530900.0,0.21
2016-07-06,0.21995,0.239176,0.20964,0.228037,218669.0,21995000.0,0.22
2016-07-07,0.228292,0.235936,0.215656,0.229901,268443.0,22829200.0,0.23
2016-07-08,0.233187,0.235791,0.175018,0.193728,203189.0,23318700.0,0.21
2016-07-09,0.193691,0.22898,0.190734,0.221057,106202.0,19369100.0,0.21
2016-07-10,0.224557,0.224557,0.203794,0.218331,88774.0,22455700.0,0.21
2016-07-11,0.218048,0.219266,0.207751,0.216697,88437.0,21804800.0,0.21
2016-07-12,0.216897,0.216977,0.197032,0.199753,136972.0,21689700.0,0.21
2016-07-13,0.199736,0.211846,0.193641,0.193641,103542.0,19973600.0,0.2
2016-07-14,0.193206,0.20317,0.181674,0.196309,154375.0,19320600.0,0.19
2016-07-15,0.196625,0.210447,0.188917,0.204921,115159.0,19662500.0,0.2
2016-07-16,0.205082,0.208358,0.191542,0.193542,36851.0,20508200.0,0.2
2016-07-17,0.193859,0.200658,0.189954,0.197031,60718.0,19385900.0,0.2
2016-07-18,0.197136,0.226103,0.195839,0.217987,132592.0,19713600.0,0.21
2016-07-19,0.224835,0.229331,0.201258,0.209255,168579.0,22483500.0,0.22
2016-07-20,0.209238,0.219466,0.207859,0.211235,70378.0,20923800.0,0.21
2016-07-21,0.211095,0.218892,0.203207,0.206353,93206.0,21109500.0,0.21
2016-07-22,0.206324,0.214123,0.19099,0.191196,102240.0,20632400.0,0.2
2016-07-23,0.191232,0.207658,0.191004,0.201458,48054.0,19123200.0,0.2
2016-07-24,0.201416,0.207514,0.192366,0.202169,136512.0,20141600.0,0.2
2016-07-25,0.20216,0.211934,0.193596,0.201996,115927.0,20216000.0,0.2
2016-07-26,0.202035,0.206354,0.171409,0.173442,199906.0,20203500.0,0.19
2016-07-27,0.173306,0.201714,0.160178,0.18213,211513.0,17330600.0,0.18
2016-07-28,0.182168,0.195806,0.170355,0.176222,79472.0,18216800.0,0.18
2016-07-29,0.176242,0.195024,0.174127,0.191743,52603.0,17624200.0,0.18
2016-07-30,0.191747,0.194696,0.183855,0.185351,30568.0,19174700.0,0.19
2016-07-31,0.185366,0.186617,0.170575,0.170575,66910.0,18536600.0,0.18
2016-08-01,0.172161,0.175615,0.158018,0.158018,79352.0,17216100.0,0.17
2016-08-02,0.164905,0.171309,0.122684,0.127242,197250.0,16490500.0,0.15
2016-08-03,0.127527,0.159344,0.126624,0.142479,106321.0,12752700.0,0.14
2016-08-04,0.144583,0.161843,0.142541,0.151644,78311.0,14458300.0,0.15
2016-08-05,0.156632,0.167165,0.150382,0.16482,87961.0,15663200.0,0.16
2016-08-06,0.16482,0.172879,0.157423,0.172755,52232.0,16482000.0,0.17
2016-08-07,0.172757,0.172757,0.157919,0.160934,51728.0,17275700.0,0.17
2016-08-08,0.160835,0.181447,0.156651,0.175236,85297.0,16083500.0,0.17
2016-08-09,0.17726,0.17726,0.167421,0.172701,39850.0,17726000.0,0.17
2016-08-10,0.173429,0.192979,0.171355,0.189038,115904.0,17342900.0,0.18
2016-08-11,0.189045,0.196519,0.178034,0.181023,112529.0,18904500.0,0.19
2016-08-12,0.180932,0.188774,0.166554,0.182949,148755.0,18093200.0,0.18
2016-08-13,0.182932,0.185391,0.170997,0.175204,109816.0,18293200.0,0.18
2016-08-14,0.177615,0.183916,0.167834,0.17343,115312.0,17761500.0,0.18
2016-08-15,0.173431,0.177611,0.168769,0.173786,59199.0,17343100.0,0.17
2016-08-16,0.173823,0.180306,0.171163,0.17457,66316.0,17382300.0,0.18
2016-08-17,0.174594,0.182404,0.171833,0.177487,82779.0,17459400.0,0.18
2016-08-18,0.177636,0.18091,0.173157,0.17527,54480.0,17763600.0,0.18
2016-08-19,0.175314,0.17989,0.172553,0.178273,33598.0,17531400.0,0.18
2016-08-20,0.178402,0.179949,0.173975,0.179004,23310.0,17840200.0,0.18
2016-08-21,0.178998,0.179812,0.167525,0.174425,83163.0,17899800.0,0.17
2016-08-22,0.174438,0.181184,0.172688,0.178477,67344.0,17443800.0,0.18
2016-08-23,0.178452,0.181835,0.169344,0.176581,59064.0,17845200.0,0.18
2016-08-24,0.17658,0.176851,0.167782,0.170316,45227.0,17658000.0,0.17
2016-08-25,0.170334,0.172009,0.16587,0.16587,26812.0,17033400.0,0.17
2016-08-26,0.16798,0.170681,0.161518,0.169513,30915.0,16798000.0,0.17
2016-08-27,0.169531,0.170991,0.160414,0.162308,23586.0,16953100.0,0.17
2016-08-28,0.162249,0.165235,0.151375,0.158804,35982.0,16224900.0,0.16
2016-08-29,0.151853,0.160391,0.145063,0.159015,53334.0,15185300.0,0.15
2016-08-30,0.159017,0.159695,0.149698,0.158452,44755.0,15901700.0,0.15
2016-08-31,0.158486,0.168586,0.149882,0.163984,59938.0,15848600.0,0.16
2016-09-01,0.163984,0.165407,0.15307,0.161095,48630.0,16398400.0,0.16
2016-09-02,0.161111,0.173934,0.159991,0.171192,45929.0,16111100.0,0.17
2016-09-03,0.171191,0.171552,0.159254,0.165268,54250.0,17119100.0,0.17
2016-09-04,0.165345,0.171562,0.160792,0.165639,28552.0,16534500.0,0.17
2016-09-05,0.165766,0.17343,0.164555,0.170325,26388.0,16576600.0,0.17
2016-09-06,0.170327,0.172534,0.156371,0.166453,68491.0,17032700.0,0.16
