Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-07,0.199248,0.391722,0.19873,0.312426,19143.0,-1.0,0.3
2017-10-08,0.306742,0.460708,0.306742,0.457219,32591.0,-1.0,0.38
2017-10-09,0.460279,0.828898,0.404834,0.406855,50959.0,-1.0,0.62
2017-10-10,0.406824,0.44743,0.220018,0.316434,33133.0,-1.0,0.33
2017-10-11,0.316247,0.359108,0.270742,0.284955,16779.0,-1.0,0.31
2017-10-12,0.283783,0.435631,0.083021,0.264197,43432.0,-1.0,0.26
2017-10-13,0.266594,0.363745,0.174831,0.263001,24036.0,-1.0,0.27
2017-10-14,0.263159,0.356521,0.236482,0.348155,24759.0,-1.0,0.3
2017-10-15,0.349847,0.357851,0.269377,0.284557,35424.0,654921.0,0.31
2017-10-16,0.284595,0.315721,0.263746,0.271488,12697.0,545422.0,0.29
2017-10-17,0.271615,0.278161,0.22325,0.251874,16373.0,532784.0,0.25
2017-10-18,0.223973,0.223979,0.173776,0.190119,32003.0,449307.0,0.2
2017-10-19,0.190022,0.240239,0.189607,0.223966,19994.0,389648.0,0.21
2017-10-20,0.217972,0.25298,0.21434,0.237558,10077.0,456141.0,0.23
2017-10-21,0.236242,0.24878,0.183566,0.208015,16856.0,504880.0,0.22
2017-10-22,0.207713,0.218193,0.191694,0.198754,16176.0,453220.0,0.2
2017-10-23,0.203057,0.215693,0.187159,0.190855,21625.0,452163.0,0.2
2017-10-24,0.190103,0.207248,0.17982,0.181239,23416.0,431838.0,0.19
2017-10-25,0.181276,0.191548,0.174967,0.183359,21870.0,419839.0,0.18
2017-10-26,0.183844,0.199004,0.178137,0.188419,16684.0,434003.0,0.19
2017-10-27,0.188554,0.206004,0.166311,0.16677,21389.0,453722.0,0.19
2017-10-28,0.172269,0.17686,0.153796,0.168514,21257.0,422114.0,0.17
2017-10-29,0.168229,0.24426,0.150935,0.213522,22142.0,419589.0,0.2
2017-10-30,0.212352,0.217153,0.16851,0.204369,39013.0,539054.0,0.19
2017-10-31,0.20381,0.210145,0.156608,0.170323,62025.0,526648.0,0.18
2017-11-01,0.17012,0.179722,0.164389,0.175938,59049.0,447140.0,0.17
2017-11-02,0.176155,0.19249,0.150915,0.151496,60095.0,471058.0,0.17
2017-11-03,0.151352,0.210087,0.144816,0.172168,62750.0,411518.0,0.18
2017-11-04,0.171719,0.206298,0.167398,0.182161,58820.0,474316.0,0.19
2017-11-05,0.181838,0.235797,0.176842,0.190585,69516.0,510526.0,0.21
2017-11-06,0.191118,0.216444,0.170102,0.178191,65763.0,545034.0,0.19
2017-11-07,0.173975,0.228173,0.162965,0.203424,69722.0,503708.0,0.2
2017-11-08,0.202881,0.254993,0.191942,0.24272,62448.0,595929.0,0.22
2017-11-09,0.24299,0.254042,0.223499,0.224035,64053.0,723854.0,0.24
2017-11-10,0.224701,0.251556,0.202212,0.203281,56046.0,678699.0,0.23
2017-11-11,0.202557,0.236856,0.1934,0.201316,72697.0,619850.0,0.22
2017-11-12,0.202858,0.211503,0.159457,0.170074,63282.0,629197.0,0.19
2017-11-13,0.170136,0.191081,0.15803,0.183946,70766.0,534646.0,0.17
2017-11-14,0.184431,0.184431,0.15295,0.163403,80602.0,586992.0,0.17
2017-11-15,0.163505,0.180483,0.145752,0.160723,102749.0,527097.0,0.16
2017-11-16,0.155628,0.170153,0.117351,0.161537,168779.0,508249.0,0.14
2017-11-17,0.134379,0.162439,0.126559,0.127991,122942.0,444468.0,0.14
2017-11-18,0.128368,0.150846,0.125577,0.143812,123279.0,429923.0,0.14
2017-11-19,0.143591,0.152147,0.133348,0.142413,133969.0,486757.0,0.14
2017-11-20,0.147918,0.173194,0.136984,0.149899,132398.0,507379.0,0.16
2017-11-21,0.142377,0.1718,0.13798,0.141037,137785.0,494263.0,0.15
2017-11-22,0.153762,0.167609,0.144739,0.166723,129669.0,540294.0,0.16
2017-11-23,0.16749,0.184308,0.147196,0.155714,133842.0,595702.0,0.17
2017-11-24,0.155501,0.166009,0.150711,0.15185,140111.0,559283.0,0.16
2017-11-25,0.151543,0.164383,0.147911,0.155749,146535.0,551187.0,0.16
2017-11-26,0.155523,0.175171,0.155478,0.161701,154763.0,572294.0,0.17
2017-11-27,0.163313,0.173763,0.096154,0.133002,162458.0,607656.0,0.13
2017-11-28,0.133347,0.138197,0.105012,0.119761,108874.0,501604.0,0.12
2017-11-29,0.119642,0.179214,0.11638,0.118533,43673.0,454934.0,0.15
2017-11-30,0.120353,0.16416,0.120353,0.152638,81967.0,462758.0,0.14
2017-12-01,0.15467,0.169174,0.13795,0.164483,98772.0,601212.0,0.15
2017-12-02,0.164462,0.176259,0.147681,0.154357,89283.0,646135.0,0.16
2017-12-03,0.158539,0.184925,0.152195,0.174119,92505.0,629385.0,0.17
2017-12-04,0.174808,0.178985,0.155093,0.175151,91173.0,701165.0,0.17
2017-12-05,0.175494,0.183436,0.171805,0.175402,97988.0,711395.0,0.18
2017-12-06,0.175014,0.190719,0.158637,0.178066,128832.0,717040.0,0.17
2017-12-07,0.173516,0.187868,0.147592,0.174895,153225.0,718242.0,0.17
2017-12-08,0.175307,0.213748,0.150049,0.179852,135077.0,733104.0,0.18
2017-12-09,0.179671,0.185754,0.139871,0.149769,127581.0,758119.0,0.16
2017-12-10,0.152622,0.196199,0.090988,0.163353,122790.0,649874.0,0.14
2017-12-11,0.164595,0.227112,0.153296,0.18104,151192.0,707193.0,0.19
2017-12-12,0.181621,0.191852,0.127328,0.136025,143494.0,787411.0,0.16
2017-12-13,0.136138,0.139512,0.082379,0.097614,55384.0,595457.0,0.11
2017-12-14,0.111829,0.133228,0.093377,0.131605,128561.0,493268.0,0.11
2017-12-15,0.131803,0.14322,0.112449,0.114583,80301.0,586380.0,0.13
2017-12-16,0.116849,0.135347,0.116049,0.125607,161891.0,524413.0,0.13
2017-12-17,0.125624,0.145311,0.115083,0.126849,108044.0,568551.0,0.13
2017-12-18,0.127233,0.134885,0.097236,0.120429,33980.0,580724.0,0.12
2017-12-19,0.120531,0.13346,0.089515,0.096108,139326.0,554868.0,0.11
2017-12-20,0.096542,0.103261,0.084769,0.093215,133060.0,448135.0,0.09
2017-12-21,0.093459,0.098026,0.076048,0.093301,70511.0,437280.0,0.09
2017-12-22,0.090329,0.102749,0.05942,0.084936,123960.0,426180.0,0.08
2017-12-23,0.087804,0.125654,0.083559,0.094677,118875.0,417702.0,0.1
2017-12-24,0.095723,0.128238,0.082085,0.095339,108125.0,458953.0,0.11
2017-12-25,0.096329,0.1265,0.089626,0.122703,112119.0,465598.0,0.11
2017-12-26,0.122578,0.19228,0.115552,0.158228,134471.0,597206.0,0.15
2017-12-27,0.167831,0.167831,0.109521,0.134498,125914.0,824155.0,0.14
2017-12-28,0.139019,0.173095,0.114186,0.137146,115775.0,688176.0,0.14
2017-12-29,0.123962,0.29279,0.119951,0.290079,139200.0,618485.0,0.21
2017-12-30,0.289344,0.289344,0.130024,0.157309,109019.0,1449150.0,0.21
2017-12-31,0.160006,0.281977,0.154358,0.258793,125019.0,810638.0,0.22
2018-01-01,0.251995,0.290607,0.20606,0.228479,130445.0,1286470.0,0.25
2018-01-02,0.225535,0.273155,0.206986,0.267551,128734.0,1160120.0,0.24
2018-01-03,0.266601,0.27756,0.172917,0.232171,1265.0,1381530.0,0.23
2018-01-04,0.233443,0.389266,0.182571,0.355502,11230.0,1218510.0,0.29
2018-01-05,0.355356,0.471572,0.288914,0.442096,18145.0,1868730.0,0.38
2018-01-06,0.442835,0.517562,0.354189,0.49616,16404.0,2345420.0,0.44
2018-01-07,0.487344,0.731299,0.442825,0.678734,21731.0,2600190.0,0.59
2018-01-08,0.671678,0.746638,0.42913,0.464824,6608.0,3609760.0,0.59
2018-01-09,0.463558,0.62085,0.4135,0.432509,9869.0,2507630.0,0.52
2018-01-10,0.433076,0.506221,0.405636,0.433143,20027.0,2358140.0,0.46
2018-01-11,0.432657,0.448638,0.17203,0.38095,8258.0,2371350.0,0.31
2018-01-12,0.383458,0.432692,0.289271,0.335241,11024.0,2115090.0,0.36
2018-01-13,0.334858,0.346816,0.284986,0.301974,1760.0,1858320.0,0.32
2018-01-14,0.302171,0.520103,0.270689,0.518556,26978.0,1687840.0,0.4
2018-01-15,0.50249,0.504012,0.273124,0.273234,6474.0,2824690.0,0.39
