Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-04-18,0.002732,0.009037,0.002496,0.008127,870425.0,354448.0,0.01
2014-04-19,0.007853,0.012359,0.006356,0.009056,1120680.0,1119530.0,0.01
2014-04-20,0.008961,0.009279,0.007321,0.007388,735106.0,1506870.0,0.01
2014-04-21,0.007547,0.007743,0.005123,0.005294,445749.0,1457390.0,0.01
2014-04-22,0.005291,0.005698,0.004174,0.005171,341505.0,1148870.0,0.0
2014-04-23,0.004994,0.005896,0.004948,0.005084,283972.0,1205100.0,0.01
2014-04-24,0.005107,0.006057,0.003701,0.005618,423364.0,1348800.0,0.0
2014-04-25,0.006022,0.006998,0.004798,0.005538,644419.0,1726280.0,0.01
2014-04-26,0.005434,0.00649,0.004505,0.004578,290837.0,1642610.0,0.01
2014-04-27,0.004849,0.005004,0.002958,0.004209,595968.0,1465890.0,0.0
2014-04-28,0.004185,0.004287,0.003189,0.003282,244940.0,1265050.0,0.0
2014-04-29,0.003255,0.003466,0.00296,0.003092,125957.0,984025.0,0.0
2014-04-30,0.003094,0.004458,0.003092,0.004087,402966.0,935382.0,0.0
2014-05-01,0.004072,0.004366,0.00305,0.003591,180510.0,1231150.0,0.0
2014-05-02,0.003565,0.00381,0.002903,0.003489,129732.0,1077920.0,0.0
2014-05-03,0.003474,0.003579,0.002829,0.003093,86076.0,1050480.0,0.0
2014-05-04,0.003109,0.003607,0.00284,0.003456,64989.0,940109.0,0.0
2014-05-05,0.003521,0.003521,0.00294,0.003056,72949.0,1064740.0,0.0
2014-05-06,0.003062,0.0031,0.002662,0.002711,50185.0,925845.0,0.0
2014-05-07,0.002773,0.003158,0.002562,0.002652,108562.0,838452.0,0.0
2014-05-08,0.002655,0.002848,0.002594,0.002713,57544.0,802769.0,0.0
2014-05-09,0.002716,0.002747,0.002001,0.002367,68601.0,821132.0,0.0
2014-05-10,0.002364,0.002616,0.001655,0.001883,43343.0,714820.0,0.0
2014-05-11,0.001983,0.002006,0.001536,0.001628,30490.0,599543.0,0.0
2014-05-12,0.001628,0.002831,0.001598,0.002032,92034.0,492276.0,0.0
2014-05-13,0.001862,0.002277,0.001787,0.002025,35355.0,563110.0,0.0
2014-05-14,0.002025,0.002223,0.001754,0.001807,32589.0,612264.0,0.0
2014-05-15,0.001814,0.002051,0.001458,0.00179,31619.0,548632.0,0.0
2014-05-16,0.001792,0.001794,0.001132,0.001407,34043.0,541935.0,0.0
2014-05-17,0.001202,0.001739,0.001092,0.001222,59310.0,363590.0,0.0
2014-05-18,0.001232,0.001305,0.001094,0.001118,16407.0,372502.0,0.0
2014-05-19,0.001118,0.00122,0.000933,0.00099,18282.0,338144.0,0.0
2014-05-20,0.000987,0.0011,0.00095,0.001024,11651.0,298428.0,0.0
2014-05-21,0.001024,0.001137,0.000847,0.001137,17791.0,309677.0,0.0
2014-05-22,0.001015,0.001139,0.000758,0.000872,17033.0,306983.0,0.0
2014-05-23,0.000867,0.000996,0.000561,0.000969,24446.0,262142.0,0.0
2014-05-24,0.001224,0.001422,0.001063,0.001144,58545.0,370118.0,0.0
2014-05-25,0.001143,0.001301,0.001059,0.001134,8784.0,345774.0,0.0
2014-05-26,0.001134,0.00115,0.000929,0.001017,6558.0,342883.0,0.0
2014-05-27,0.001028,0.001166,0.000916,0.000925,12371.0,310828.0,0.0
2014-05-28,0.001004,0.001005,0.000785,0.00085,7400.0,303579.0,0.0
2014-05-29,0.00085,0.000882,0.000719,0.000815,6738.0,257020.0,0.0
2014-05-30,0.000815,0.000815,0.000696,0.000768,5807.0,246407.0,0.0
2014-05-31,0.000771,0.000881,0.000423,0.000568,13346.0,233294.0,0.0
2014-06-01,0.000568,0.0007,0.000472,0.000585,6877.0,171698.0,0.0
2014-06-02,0.000586,0.001049,0.000578,0.000961,15456.0,177169.0,0.0
2014-06-03,0.001031,0.001767,0.000872,0.001322,49500.0,311948.0,0.0
2014-06-04,0.001322,0.001375,0.000836,0.000933,16570.0,399787.0,0.0
2014-06-05,0.000944,0.001174,0.000863,0.000899,12098.0,285491.0,0.0
2014-06-06,0.000899,0.000972,0.000811,0.000876,5350.0,271849.0,0.0
2014-06-07,0.000889,0.000915,0.000756,0.000756,3174.0,269089.0,0.0
2014-06-08,0.00076,0.000827,0.000735,0.000745,2207.0,229781.0,0.0
2014-06-09,0.000745,0.000832,0.000702,0.000811,8112.0,225343.0,0.0
2014-06-10,0.000828,0.00083,0.000735,0.00082,3560.0,250605.0,0.0
2014-06-11,0.00082,0.001007,0.000788,0.000988,7622.0,248222.0,0.0
2014-06-12,0.001004,0.001041,0.000681,0.000797,7198.0,303853.0,0.0
2014-06-13,0.000789,0.000856,0.000743,0.000856,3935.0,238778.0,0.0
2014-06-14,0.000859,0.000859,0.000684,0.000738,1958.0,259755.0,0.0
2014-06-15,0.000733,0.000802,0.000695,0.000745,2380.0,221734.0,0.0
2014-06-16,0.000741,0.000858,0.000705,0.000818,4489.0,224157.0,0.0
