Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-09-03,0.011986,0.011989,0.011944,0.011964,193.0,5034.0,0.01
2016-09-04,0.007782,0.051827,0.007766,0.042525,5789.0,3268.0,0.03
2016-09-05,0.04255,0.042555,0.007902,0.024264,461.0,17871.0,0.03
2016-09-06,0.02426,0.024281,0.009115,0.00934,191.0,10189.0,0.02
2016-09-07,0.009342,0.014614,0.00931,0.014614,75.0,3924.0,0.01
2016-09-08,0.014616,0.014619,0.006272,0.006301,199.0,6139.0,0.01
2016-09-09,0.006301,0.011768,0.006222,0.01161,136.0,2646.0,0.01
2016-09-10,0.011611,0.011616,0.006307,0.0106,62.0,4877.0,0.01
2016-09-11,0.010598,0.010902,0.006143,0.006207,13.0,4451.0,0.01
2016-09-12,0.00621,0.00623,0.006175,0.006204,66.0,2608.0,0.01
2016-09-13,0.006204,0.006222,0.003907,0.003917,148.0,2606.0,0.01
2016-09-14,0.003915,0.006107,0.003913,0.006095,715.0,1644.0,0.01
2016-09-15,0.006094,0.006094,0.004112,0.004189,26.0,2559.0,0.01
2016-09-16,0.00419,0.004204,0.00073,0.000734,103.0,1760.0,0.0
2016-09-17,0.000735,0.003586,0.000734,0.003575,0.0,309.0,0.0
2016-09-18,0.003577,0.003655,0.003577,0.003653,4.0,1502.0,0.0
2016-09-19,0.003653,0.003659,0.003653,0.003659,4.0,1534.0,0.0
2016-09-20,0.002741,0.002803,0.002736,0.002737,21.0,1151.0,0.0
2016-09-21,0.002716,0.002716,0.001025,0.001027,1.0,1141.0,0.0
2016-09-22,0.001027,0.002846,0.001027,0.002844,4.0,431.0,0.0
2016-09-23,0.002844,0.002877,0.002842,0.002876,3.0,1194.0,0.0
2016-09-24,0.002881,0.002884,0.002872,0.002875,1.0,1210.0,0.0
2016-09-25,0.002875,0.002877,0.00106,0.002848,85.0,1208.0,0.0
2016-09-26,0.002848,0.004561,0.00284,0.00456,11.0,1196.0,0.0
2016-09-27,0.00456,0.005776,0.004539,0.005692,4.0,1915.0,0.01
2016-09-28,0.005693,0.005696,0.005677,0.005683,0.0,2391.0,0.01
2016-09-29,0.005685,0.005702,0.005685,0.005694,6.0,2388.0,0.01
2016-09-30,0.005694,0.005789,0.002132,0.002134,6.0,2391.0,0.0
2016-10-01,0.002135,0.006152,0.002135,0.00614,1.0,897.0,0.0
2016-10-02,0.006139,0.00614,0.002175,0.002175,0.0,2579.0,0.0
2016-10-03,0.002175,0.002181,0.002173,0.002179,0.0,914.0,0.0
2016-10-04,0.002143,0.002143,0.002023,0.002026,36.0,900.0,0.0
2016-10-05,0.002026,0.002027,0.002024,0.002027,18.0,851.0,0.0
2016-10-07,0.002122,0.005561,0.002121,0.005554,1.0,891.0,0.0
2016-10-08,0.005556,0.005577,0.005556,0.005569,0.0,2334.0,0.01
2016-10-10,0.002072,0.002074,0.002072,0.002074,1.0,870.0,0.0
