Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-12-18,0.208251,0.208251,0.208251,0.208251,17330.0,-1.0,0.21
2017-12-19,0.208464,0.327232,0.044899,0.252736,30321.0,-1.0,0.19
2017-12-20,0.252488,1.5,0.034666,0.172913,9008.0,-1.0,0.77
2017-12-21,0.165774,1.34,0.141726,0.145406,5260.0,-1.0,0.74
2017-12-22,0.145894,0.157294,0.076622,0.106606,3596.0,-1.0,0.12
2017-12-23,0.107613,0.163619,0.105924,0.129991,2130.0,-1.0,0.13
2017-12-24,0.131426,0.131426,0.111276,0.122957,991.0,-1.0,0.12
2017-12-25,0.124234,0.124605,0.084097,0.116384,3170.0,-1.0,0.1
2017-12-26,0.116265,0.137946,0.094732,0.1239,4182.0,-1.0,0.12
2017-12-27,0.12399,0.12399,0.088005,0.099312,3493.0,-1.0,0.11
2017-12-28,0.099104,0.099559,0.083704,0.087061,138.0,-1.0,0.09
2017-12-29,0.087963,0.117292,0.083298,0.087818,1142.0,-1.0,0.1
2017-12-30,0.08764,0.088655,0.07522,0.079397,1652.0,-1.0,0.08
2017-12-31,0.078539,0.160332,0.075305,0.105085,3170.0,-1.0,0.12
2018-01-01,0.105494,0.124251,0.090405,0.095293,7731.0,-1.0,0.11
2018-01-02,0.095286,0.109337,0.092582,0.10666,2233.0,-1.0,0.1
2018-01-03,0.106294,0.178342,0.106229,0.115663,4603.0,-1.0,0.14
2018-01-04,0.116296,0.173226,0.115096,0.168411,5052.0,-1.0,0.14
2018-01-05,0.168444,0.335411,0.138985,0.333156,10961.0,365782.0,0.24
2018-01-06,0.333422,0.862896,0.20639,0.275615,11334.0,735904.0,0.53
2018-01-07,0.275413,1.32,0.275413,1.29,107939.0,617620.0,0.8
2018-01-08,1.29,1.29,0.530099,0.590449,17204.0,2930710.0,0.91
2018-01-09,0.588841,1.02,0.476507,0.928502,32881.0,1362150.0,0.75
2018-01-10,0.929719,1.02,0.63846,0.705673,33005.0,2183430.0,0.83
2018-01-11,0.704882,0.768891,0.554277,0.683603,19011.0,1680100.0,0.66
2018-01-12,0.688119,0.688119,0.527514,0.682414,22340.0,1664650.0,0.61
2018-01-13,0.681634,0.714816,0.545007,0.546794,12568.0,1672750.0,0.63
2018-01-14,0.547151,0.574846,0.283744,0.389543,11473.0,1362150.0,0.43
2018-01-15,0.386718,0.439788,0.308163,0.361949,6228.0,976338.0,0.37
