Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-03-30,0.121786,0.121848,0.117405,0.117467,82.0,-1,0.12
2017-03-31,0.117491,0.266768,0.114959,0.235794,250.0,-1,0.19
2017-04-01,0.235776,0.273737,0.131965,0.153415,299.0,-1,0.2
2017-04-02,0.153431,0.20882,0.13007,0.13236,373.0,-1,0.17
2017-04-03,0.132453,0.150938,0.096543,0.097235,225.0,-1,0.12
2017-04-04,0.097381,0.113369,0.056164,0.096326,44.0,-1,0.08
2017-04-05,0.096402,0.096483,0.055862,0.05625,181.0,-1,0.08
2017-04-06,0.056302,0.16165,0.056302,0.107092,470.0,-1,0.11
2017-04-07,0.106753,0.200645,0.094894,0.141181,918.0,-1,0.15
2017-04-08,0.140671,0.165341,0.053363,0.058805,3644.0,-1,0.11
2017-04-09,0.058836,0.106334,0.047137,0.053464,3044.0,-1,0.08
2017-04-10,0.053438,0.105117,0.053118,0.053434,2918.0,-1,0.08
2017-04-11,0.053449,0.080292,0.035735,0.054491,1163.0,-1,0.06
2017-04-12,0.054482,0.054635,0.054153,0.054329,23.0,-1,0.05
2017-04-13,0.054358,0.054579,0.028005,0.028241,25.0,-1,0.04
2017-04-14,0.028266,0.05313,0.028219,0.052411,21.0,-1,0.04
2017-04-15,0.052399,0.053317,0.035571,0.035574,0.0,-1,0.04
2017-04-16,0.035577,0.051844,0.035577,0.050476,0.0,-1,0.04
2017-04-17,0.050489,0.050498,0.021953,0.037039,423.0,-1,0.04
2017-04-18,0.037035,0.042429,0.019206,0.01929,33.0,-1,0.03
2017-04-19,0.019297,0.035784,0.018569,0.030051,2513.0,-1,0.03
2017-04-20,0.030071,0.03044,0.01893,0.029674,2163.0,-1,0.02
2017-04-21,0.029682,0.032419,0.023916,0.026401,23.0,-1,0.03
2017-04-22,0.026415,0.026762,0.023686,0.024326,6.0,-1,0.03
2017-04-23,0.02433,0.025088,0.023203,0.024963,30.0,-1,0.02
2017-04-24,0.025013,0.027396,0.022786,0.027366,36.0,-1,0.03
2017-04-25,0.027372,0.02762,0.022917,0.025424,17.0,-1,0.03
2017-04-26,0.025434,0.027198,0.014123,0.023339,67.0,-1,0.02
2017-04-27,0.023353,0.144688,0.021105,0.144649,123.0,-1,0.08
2017-04-28,0.144652,0.151622,0.022317,0.022317,21.0,-1,0.09
2017-04-29,0.022338,0.02637,0.019226,0.02633,0.0,-1,0.02
2017-04-30,0.026332,0.02681,0.026154,0.026809,0.0,-1,0.03
2017-05-01,0.026818,0.029172,0.017073,0.026394,5.0,-1,0.02
2017-05-02,0.026388,0.026484,0.022544,0.022838,6.0,-1,0.02
2017-05-03,0.023081,0.026576,0.018304,0.02653,78.0,-1,0.02
2017-05-04,0.026543,0.026754,0.000836,0.003735,74.0,-1,0.01
2017-05-05,0.003743,0.023628,0.002427,0.002482,131.0,-1,0.01
2017-05-06,0.002484,0.003156,0.002193,0.002396,118.0,-1,0.0
2017-05-07,0.002397,0.003106,0.00238,0.002828,27.0,-1,0.0
2017-05-08,0.002828,0.011057,0.002828,0.011057,19.0,-1,0.01
2017-05-09,0.011147,0.011147,0.004319,0.007829,93.0,-1,0.01
2017-05-10,0.007834,0.00792,0.005487,0.005819,1.0,-1,0.01
2017-05-11,0.00583,0.018327,0.003112,0.008589,722.0,-1,0.01
2017-05-12,0.008598,0.07856,0.008569,0.025337,4345.0,-1,0.04
2017-05-13,0.025285,0.032177,0.011668,0.012182,1767.0,-1,0.02
2017-05-14,0.012207,0.014205,0.008115,0.013183,369.0,-1,0.01
2017-05-15,0.013191,0.013211,0.008496,0.008654,63.0,-1,0.01
2017-05-16,0.008641,0.015402,0.005397,0.015402,696.0,-1,0.01
2017-05-17,0.015398,0.015874,0.007251,0.00761,174.0,-1,0.01
2017-05-18,0.007606,0.011884,0.007419,0.01012,239.0,-1,0.01
2017-05-19,0.010126,0.010415,0.008257,0.008624,2.0,-1,0.01
2017-05-20,0.008615,0.02968,0.008615,0.00921,1343.0,-1,0.02
2017-05-21,0.009207,0.014382,0.006469,0.006469,268.0,-1,0.01
2017-05-22,0.006491,0.010637,0.006078,0.008949,323.0,-1,0.01
2017-05-23,0.008935,0.009336,0.006335,0.008833,76.0,-1,0.01
2017-05-24,0.008843,0.010691,0.007003,0.007343,174.0,-1,0.01
2017-05-25,0.007329,0.009565,0.004855,0.007648,342.0,-1,0.01
2017-05-26,0.007586,0.008246,0.005954,0.007402,21.0,-1,0.01
2017-05-27,0.007427,0.007528,0.002521,0.005627,298.0,-1,0.01
2017-05-28,0.00566,0.005867,0.002429,0.002514,567.0,-1,0.0
2017-05-29,0.002509,0.004407,0.002509,0.002878,202.0,-1,0.0
2017-05-30,0.003219,0.004266,0.002735,0.004266,301.0,-1,0.0
2017-05-31,0.00428,0.004459,0.002872,0.003368,99.0,-1,0.0
2017-06-01,0.003371,0.003609,0.002437,0.002618,123.0,-1,0.0
2017-06-02,0.002619,0.004119,0.002267,0.002635,26.0,-1,0.0
2017-06-03,0.002636,0.004777,0.001707,0.002541,516.0,-1,0.0
2017-06-04,0.002534,0.00265,0.000978,0.001748,775.0,-1,0.0
2017-06-05,0.001748,0.002094,0.00136,0.001854,314.0,-1,0.0
2017-06-06,0.001859,0.002918,0.001115,0.001964,1194.0,-1,0.0
2017-06-07,0.001965,0.006916,0.001928,0.005337,1559.0,-1,0.0
2017-06-08,0.005364,0.00915,0.00515,0.006205,2296.0,-1,0.01
2017-06-09,0.006195,0.00865,0.005724,0.008583,5012.0,-1,0.01
2017-06-10,0.008596,0.015675,0.008518,0.015675,3529.0,-1,0.01
2017-06-11,0.015675,0.015675,0.009972,0.011417,1276.0,-1,0.01
2017-06-12,0.011403,0.01223,0.007752,0.0097,277.0,-1,0.01
2017-06-13,0.009667,0.031036,0.008053,0.031036,138.0,-1,0.02
2017-06-14,0.031044,0.031044,0.009345,0.010165,834.0,-1,0.02
2017-06-15,0.010165,0.012227,0.00862,0.009687,97.0,-1,0.01
2017-06-16,0.009679,0.009688,0.005304,0.005662,264.0,-1,0.01
2017-06-17,0.005664,0.009394,0.005353,0.005553,13.0,-1,0.01
2017-06-18,0.005553,0.008632,0.005552,0.008474,31.0,-1,0.01
2017-06-19,0.008474,0.008474,0.005482,0.008243,242.0,-1,0.01
