Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-05-09,5.5e-05,5.5e-05,5.5e-05,5.5e-05,24.0,3613.0,0.0
2016-05-10,5.5e-05,5.5e-05,2.3e-05,3.2e-05,6.0,3611.0,0.0
2016-05-11,3.2e-05,0.000145,3.2e-05,0.000122,369.0,2064.0,0.0
2016-05-12,0.000122,0.00014,6.3e-05,7.7e-05,24.0,7993.0,0.0
2016-05-13,7.7e-05,8.6e-05,2.3e-05,3.6e-05,28.0,5062.0,0.0
2016-05-14,3.6e-05,5.9e-05,3.6e-05,5.9e-05,8.0,2388.0,0.0
2016-05-15,5.9e-05,6.4e-05,2.7e-05,2.7e-05,16.0,3882.0,0.0
2016-05-16,2.7e-05,5.5e-05,2.7e-05,5e-05,5.0,1800.0,0.0
2016-05-17,5e-05,5e-05,3.2e-05,3.2e-05,3.0,3276.0,0.0
2016-05-18,3.2e-05,3.2e-05,2.7e-05,2.7e-05,0.0,2084.0,0.0
2016-05-19,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,1791.0,0.0
2016-05-20,2.7e-05,2.7e-05,2.6e-05,2.7e-05,0.0,1750.0,0.0
2016-05-21,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.0,1747.0,0.0
2016-05-22,2.7e-05,3.5e-05,2.7e-05,3.5e-05,1.0,1749.0,0.0
2016-05-23,3.5e-05,3.5e-05,3.5e-05,3.5e-05,1.0,2313.0,0.0
2016-05-24,2.7e-05,2.7e-05,9e-06,2.7e-05,9.0,1759.0,0.0
2016-05-25,2.7e-05,2.7e-05,1.8e-05,1.8e-05,1.0,1763.0,0.0
2016-05-26,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.0,1186.0,0.0
2016-05-28,2e-05,2.1e-05,2e-05,2.1e-05,1.0,1314.0,0.0
2016-05-29,2.1e-05,2.8e-05,2e-05,2.6e-05,1.0,1394.0,0.0
2016-05-30,2.6e-05,3.8e-05,2.6e-05,3.7e-05,15.0,1747.0,0.0
2016-05-31,3.7e-05,3.8e-05,3.6e-05,3.7e-05,1.0,2473.0,0.0
2016-06-01,3.7e-05,3.8e-05,3.7e-05,3.8e-05,1.0,2461.0,0.0
2016-06-02,3.8e-05,4.3e-05,3.7e-05,3.8e-05,3.0,2487.0,0.0
2016-06-03,3.8e-05,4.6e-05,2.3e-05,2.3e-05,68.0,2494.0,0.0
2016-06-04,2.3e-05,4.7e-05,2.3e-05,4.6e-05,0.0,1511.0,0.0
2016-06-05,4.6e-05,4.7e-05,3.4e-05,3.4e-05,2.0,3043.0,0.0
2016-06-06,3.4e-05,4.6e-05,2.9e-05,2.9e-05,3.0,2289.0,0.0
2016-06-07,2.9e-05,3e-05,2.9e-05,2.9e-05,3.0,1944.0,0.0
2016-06-08,2.9e-05,2.9e-05,2.9e-05,2.9e-05,0.0,1918.0,0.0
2016-06-09,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.0,1936.0,0.0
2016-06-10,2.9e-05,2.9e-05,2.3e-05,2.3e-05,0.0,1916.0,0.0
2016-06-11,2.3e-05,2.4e-05,2.3e-05,2.4e-05,0.0,1541.0,0.0
2016-06-12,2.4e-05,2.7e-05,2.4e-05,2.7e-05,1.0,1625.0,0.0
2016-06-13,2.7e-05,3.5e-05,2.7e-05,3.5e-05,0.0,1791.0,0.0
2016-06-14,3.5e-05,5.5e-05,2.7e-05,2.7e-05,5.0,2350.0,0.0
2016-06-15,2.7e-05,3.5e-05,2.7e-05,2.8e-05,1.0,1831.0,0.0
2016-06-16,2.8e-05,4.5e-05,2.2e-05,2.3e-05,3.0,1861.0,0.0
2016-06-17,2.3e-05,2.3e-05,2.1e-05,2.2e-05,0.0,1540.0,0.0
2016-06-18,2.2e-05,3.1e-05,2.2e-05,2.3e-05,2.0,1501.0,0.0
2016-06-19,2.3e-05,2.3e-05,2.2e-05,2.3e-05,0.0,1518.0,0.0
2016-06-20,2.3e-05,2.3e-05,2.2e-05,2.2e-05,0.0,1533.0,0.0
2016-06-21,2.2e-05,2.2e-05,1.9e-05,2e-05,0.0,1477.0,0.0
2016-06-22,1.3e-05,1.3e-05,1.2e-05,1.2e-05,2.0,839.0,0.0
2016-06-23,1.2e-05,1.9e-05,1.1e-05,1.9e-05,0.0,800.0,0.0
2016-06-24,1.9e-05,2e-05,1.3e-05,1.3e-05,1.0,1258.0,0.0
2016-06-25,1.3e-05,2.7e-05,1.3e-05,2.7e-05,2.0,892.0,0.0
2016-06-26,2.7e-05,3.3e-05,2.5e-05,2.5e-05,1.0,1787.0,0.0
2016-06-27,2.5e-05,2.6e-05,1.3e-05,1.3e-05,1.0,1690.0,0.0
2016-06-28,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,884.0,0.0
2016-06-30,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,899.0,0.0
2016-07-01,1.3e-05,1.4e-05,1.3e-05,1.4e-05,1.0,905.0,0.0
2016-07-02,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.0,911.0,0.0
2016-07-04,1.3e-05,1.4e-05,1.3e-05,1.4e-05,0.0,906.0,0.0
2016-07-05,1.4e-05,1.4e-05,1.3e-05,1.3e-05,0.0,921.0,0.0
2016-07-07,1.3e-05,1.3e-05,1.2e-05,1.3e-05,0.0,872.0,0.0
2016-07-08,1.3e-05,3.3e-05,1.3e-05,3.3e-05,6.0,865.0,0.0
2016-07-09,3.3e-05,3.3e-05,2.5e-05,2.6e-05,0.0,2250.0,0.0
2016-07-10,2.6e-05,3.3e-05,2.6e-05,2.6e-05,4.0,1758.0,0.0
2016-07-11,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,1755.0,0.0
2016-07-12,2.6e-05,2.7e-05,2.6e-05,2.7e-05,0.0,1774.0,0.0
2016-07-13,2.7e-05,2.7e-05,2.6e-05,2.6e-05,0.0,1798.0,0.0
