Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-09-13,0.058754,0.05882,0.058501,0.058526,340.0,3536.0,0.06
2014-09-14,0.05854,0.085784,0.050476,0.050852,198.0,3571.0,0.07
2014-09-15,0.050838,0.06231,0.036621,0.038512,135.0,3326.0,0.05
2014-09-16,0.038471,0.066469,0.038177,0.06122,411.0,2693.0,0.05
2014-09-17,0.061195,0.065329,0.045418,0.060565,438.0,4584.0,0.06
2014-09-18,0.060502,0.060502,0.040846,0.042049,182.0,4817.0,0.05
2014-09-19,0.042016,0.043633,0.031846,0.035572,162.0,3539.0,0.04
2014-09-20,0.035561,0.039247,0.033003,0.034514,61.0,3158.0,0.04
2014-09-21,0.034446,0.036163,0.031253,0.031409,183.0,3215.0,0.03
2014-09-22,0.031431,0.052482,0.029393,0.036062,309.0,3070.0,0.04
2014-09-23,0.038256,0.044141,0.028992,0.043632,183.0,3914.0,0.04
2014-09-24,0.043628,0.043801,0.029599,0.029628,115.0,4667.0,0.04
2014-09-25,0.029624,0.031448,0.028709,0.031235,107.0,3305.0,0.03
2014-09-26,0.031224,0.031601,0.026803,0.027113,67.0,3624.0,0.03
2014-09-27,0.027055,0.02805,0.025327,0.025697,187.0,3264.0,0.03
2014-09-28,0.025693,0.025802,0.019413,0.024835,110.0,3216.0,0.02
2014-09-29,0.024819,0.0264,0.021596,0.021596,152.0,3221.0,0.02
2014-09-30,0.021632,0.02433,0.02019,0.022764,84.0,2909.0,0.02
2014-10-01,0.022792,0.026982,0.017051,0.026061,94.0,3165.0,0.02
2014-10-02,0.026042,0.026487,0.02167,0.023676,201.0,3732.0,0.02
2014-10-03,0.023683,0.025509,0.022548,0.022652,60.0,3502.0,0.02
2014-10-04,0.022676,0.02601,0.019965,0.020482,76.0,3413.0,0.02
2014-10-05,0.020485,0.024151,0.018144,0.020066,171.0,3084.0,0.02
2014-10-06,0.020058,0.022213,0.018941,0.020026,50.0,3019.0,0.02
2014-10-07,0.020056,0.020598,0.016298,0.016624,93.0,3019.0,0.02
2014-10-08,0.016621,0.020943,0.015205,0.019941,175.0,2502.0,0.02
2014-10-09,0.01993,0.036686,0.017219,0.020814,287.0,3000.0,0.03
2014-10-10,0.020795,0.030292,0.016429,0.016624,148.0,3130.0,0.02
2014-10-11,0.016615,0.021758,0.016021,0.016307,164.0,2501.0,0.02
2014-10-12,0.016321,0.018007,0.015424,0.017017,116.0,2457.0,0.02
2014-10-13,0.016988,0.031339,0.015458,0.019498,149.0,2557.0,0.02
2014-10-14,0.019562,0.027216,0.016397,0.017479,192.0,2945.0,0.02
2014-10-15,0.017483,0.024909,0.016822,0.022351,64.0,2632.0,0.02
2014-10-16,0.02106,0.021135,0.016992,0.018649,131.0,3170.0,0.02
2014-10-17,0.018659,0.02226,0.01705,0.017097,96.0,2809.0,0.02
2014-10-18,0.017107,0.02171,0.016937,0.017583,228.0,2575.0,0.02
2014-10-19,0.017574,0.02412,0.017565,0.020647,168.0,2645.0,0.02
2014-10-20,0.02063,0.023636,0.019402,0.022775,241.0,3105.0,0.02
2014-10-21,0.02275,0.02297,0.019119,0.02107,213.0,3425.0,0.02
2014-10-22,0.021051,0.02296,0.019566,0.019595,114.0,3169.0,0.02
2014-10-23,0.019585,0.02619,0.019549,0.020682,162.0,2948.0,0.02
2014-10-24,0.020692,0.022276,0.017838,0.017852,234.0,3115.0,0.02
2014-10-25,0.017866,0.019422,0.015772,0.016397,279.0,2689.0,0.02
2014-10-26,0.016407,0.017826,0.014985,0.017425,98.0,2470.0,0.02
2014-10-27,0.017429,0.017429,0.013312,0.014793,109.0,2624.0,0.02
2014-10-28,0.014722,0.015496,0.01307,0.014778,131.0,2216.0,0.01
2014-10-29,0.014761,0.015069,0.013713,0.013979,68.0,2222.0,0.01
2014-10-30,0.013979,0.017136,0.01279,0.013696,132.0,2104.0,0.01
2014-10-31,0.013684,0.01464,0.012688,0.013533,71.0,2060.0,0.01
2014-11-01,0.013546,0.014017,0.010695,0.01252,177.0,2039.0,0.01
2014-11-02,0.012533,0.012533,0.00974,0.009852,24.0,1887.0,0.01
2014-11-03,0.010744,0.010752,0.008177,0.008192,27.0,1617.0,0.01
2014-11-04,0.008182,0.011125,0.007812,0.010576,128.0,1232.0,0.01
2014-11-05,0.010582,0.011996,0.00897,0.009506,101.0,1593.0,0.01
2014-11-06,0.009505,0.012498,0.009478,0.011177,96.0,1431.0,0.01
2014-11-07,0.011194,0.01357,0.010937,0.011642,90.0,1685.0,0.01
2014-11-08,0.011633,0.024097,0.011319,0.014514,108.0,1751.0,0.02
2014-11-09,0.014509,0.065391,0.014503,0.065391,1312.0,2184.0,0.04
2014-11-10,0.065211,0.104087,0.035921,0.051413,1393.0,9816.0,0.07
2014-11-11,0.051264,0.066149,0.037376,0.049282,980.0,7717.0,0.05
2014-11-12,0.049321,0.051292,0.026094,0.026307,268.0,7424.0,0.04
2014-11-13,0.026918,0.044442,0.025774,0.033659,279.0,4052.0,0.04
2014-11-14,0.033473,0.062313,0.025023,0.043756,950.0,5039.0,0.04
2014-11-15,0.043957,0.044568,0.026104,0.030279,103.0,6617.0,0.04
2014-11-16,0.030166,0.032761,0.025327,0.025794,52.0,4541.0,0.03
2014-11-17,0.025825,0.02652,0.023968,0.025879,153.0,3887.0,0.03
2014-11-18,0.025904,0.034291,0.024934,0.025138,135.0,9215.0,0.03
