Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-10-29,0.000213,0.000277,0.000194,0.000235,20168.0,150903.0,0.0
2016-10-30,0.000234,0.000237,0.000151,0.000183,9169.0,166418.0,0.0
2016-10-31,0.000184,0.0002,1.8e-05,2.4e-05,6186.0,130289.0,0.0
2016-11-01,2.4e-05,3e-05,7e-06,1.1e-05,5470.0,16729.0,0.0
2016-11-02,1.1e-05,1.4e-05,7e-06,7e-06,1954.0,7510.0,0.0
2016-11-03,7e-06,1.1e-05,7e-06,7e-06,3138.0,5271.0,0.0
2016-11-04,7e-06,7e-06,7e-06,7e-06,200.0,4893.0,0.0
2016-11-05,7e-06,7e-06,7e-06,7e-06,214.0,4995.0,0.0
2016-11-06,7e-06,7e-06,7e-06,7e-06,54.0,4997.0,0.0
2016-11-07,7e-06,7e-06,7e-06,7e-06,808.0,5046.0,0.0
2016-11-08,7e-06,7e-06,7e-06,7e-06,410.0,4992.0,0.0
2016-11-09,7e-06,7e-06,7e-06,7e-06,118.0,5040.0,0.0
2016-11-10,7e-06,7e-06,7e-06,7e-06,133.0,5132.0,0.0
2016-11-11,7e-06,7e-06,7e-06,7e-06,27.0,5080.0,0.0
2016-11-12,7e-06,7e-06,7e-06,7e-06,9.0,5089.0,0.0
2016-11-13,7e-06,7e-06,7e-06,7e-06,78.0,5007.0,0.0
2016-11-14,7e-06,7e-06,7e-06,7e-06,1.0,4984.0,0.0
2016-11-15,7e-06,7e-06,7e-06,7e-06,2.0,5011.0,0.0
2016-11-16,7e-06,7e-06,7e-06,7e-06,0.0,5052.0,0.0
2016-11-17,7e-06,8e-06,7e-06,7e-06,3.0,5289.0,0.0
2016-11-18,7e-06,8e-06,7e-06,8e-06,3.0,5261.0,0.0
2016-11-19,8e-06,8e-06,7e-06,8e-06,1.0,5338.0,0.0
2016-11-20,8e-06,8e-06,7e-06,7e-06,11.0,5338.0,0.0
2016-11-21,7e-06,7e-06,7e-06,7e-06,0.0,5190.0,0.0
2016-11-22,7e-06,8e-06,7e-06,8e-06,0.0,5249.0,0.0
