Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-02-28,5.1e-05,8.1e-05,4.9e-05,4.9e-05,1359.0,42438.0,0.0
2014-03-01,4.9e-05,8.4e-05,4.9e-05,6.8e-05,1322.0,41790.0,0.0
2014-03-02,6.8e-05,6.8e-05,5.5e-05,5.6e-05,720.0,59120.0,0.0
2014-03-03,5.6e-05,0.000407,4.6e-05,4.7e-05,1158.0,50208.0,0.0
2014-03-04,4.7e-05,5.5e-05,2.1e-05,4.7e-05,766.0,42850.0,0.0
2014-03-05,4.7e-05,6e-05,3.2e-05,4.7e-05,310.0,43903.0,0.0
2014-03-06,4.7e-05,5.3e-05,2e-05,2.7e-05,367.0,44883.0,0.0
2014-03-07,2.7e-05,4e-05,2.5e-05,3.1e-05,493.0,26215.0,0.0
2014-03-08,3.1e-05,3.2e-05,2.4e-05,2.5e-05,42.0,31477.0,0.0
2014-03-09,2.5e-05,2.5e-05,6e-06,1.3e-05,446.0,24988.0,0.0
2014-03-10,1.3e-05,1.3e-05,6e-06,6e-06,299.0,13024.0,0.0
2014-03-11,6e-06,1.3e-05,6e-06,1.3e-05,509.0,6502.0,0.0
2014-03-12,6.3e-05,6.3e-05,1.3e-05,1.3e-05,71.0,66888.0,0.0
2014-03-13,1.3e-05,1.9e-05,1.3e-05,1.3e-05,225.0,13427.0,0.0
2014-03-14,1.3e-05,1.3e-05,6e-06,1.3e-05,95.0,13684.0,0.0
2014-03-15,1.3e-05,1.3e-05,6e-06,6e-06,68.0,13650.0,0.0
2014-03-16,6e-06,1.3e-05,6e-06,6e-06,32.0,6979.0,0.0
2014-03-17,6e-06,1.3e-05,6e-06,6e-06,22.0,6992.0,0.0
2014-03-18,6e-06,1.9e-05,6e-06,1.8e-05,369.0,6970.0,0.0
2014-03-19,1.8e-05,0.000124,6e-06,6e-06,125.0,20896.0,0.0
2014-03-20,6e-06,1.2e-05,6e-06,6e-06,4.0,6983.0,0.0
2014-03-21,6e-06,1.2e-05,6e-06,6e-06,334.0,6806.0,0.0
2014-03-22,6e-06,1.7e-05,6e-06,1.7e-05,285.0,6677.0,0.0
2014-03-23,1.7e-05,2.3e-05,1.1e-05,1.1e-05,207.0,20058.0,0.0
2014-03-24,1.1e-05,2.2e-05,1.1e-05,1.1e-05,157.0,13432.0,0.0
2014-03-26,1.2e-05,1.8e-05,1.1e-05,1.7e-05,940.0,13850.0,0.0
2014-03-27,1.7e-05,2.2e-05,1.7e-05,2.1e-05,823.0,20191.0,0.0
2014-03-28,1.4e-05,2.1e-05,1e-05,2e-05,204.0,17307.0,0.0
2014-03-29,2e-05,2e-05,1.5e-05,1.5e-05,50.0,23911.0,0.0
2014-03-30,1.5e-05,1.5e-05,9e-06,1.4e-05,33.0,17431.0,0.0
2014-03-31,1.4e-05,1.9e-05,9e-06,9e-06,360.0,16625.0,0.0
2014-04-01,9e-06,2e-05,9e-06,1.4e-05,297.0,11073.0,0.0
2014-04-02,1.4e-05,2e-05,1.3e-05,1.3e-05,168.0,17231.0,0.0
2014-04-03,1.3e-05,1.3e-05,8e-06,1e-05,6.0,15695.0,0.0
2014-04-04,1e-05,1.8e-05,9e-06,1e-05,59.0,12295.0,0.0
2014-04-05,1e-05,1.4e-05,1e-05,1.4e-05,176.0,11911.0,0.0
2014-04-06,1.4e-05,1.4e-05,9e-06,9e-06,87.0,16546.0,0.0
2014-04-07,9e-06,9e-06,4e-06,4e-06,8.0,11064.0,0.0
2014-04-08,4e-06,1.4e-05,4e-06,9e-06,85.0,5366.0,0.0
2014-04-09,9e-06,1.3e-05,9e-06,9e-06,42.0,10865.0,0.0
2014-04-10,9e-06,1.2e-05,7e-06,7e-06,22.0,10614.0,0.0
2014-04-11,7e-06,9e-06,7e-06,8e-06,55.0,8720.0,0.0
2014-04-12,8e-06,9e-06,4e-06,8e-06,66.0,10091.0,0.0
2014-04-13,8e-06,9e-06,4e-06,4e-06,345.0,10104.0,0.0
2014-04-14,4e-06,9e-06,4e-06,9e-06,1.0,4963.0,0.0
2014-04-15,9e-06,1.6e-05,9e-06,1.5e-05,8.0,10989.0,0.0
2014-04-16,1.6e-05,1.6e-05,1e-05,1.1e-05,36.0,18779.0,0.0
2014-04-17,1.1e-05,1.1e-05,5e-06,5e-06,65.0,12684.0,0.0
2014-04-18,5e-06,1e-05,5e-06,5e-06,6.0,5943.0,0.0
2014-04-19,5e-06,1e-05,5e-06,1e-05,147.0,5749.0,0.0
2014-04-20,1e-05,1.5e-05,1e-05,1e-05,26.0,12029.0,0.0
2014-04-21,1e-05,1.5e-05,1e-05,1e-05,90.0,11933.0,0.0
2014-04-22,1e-05,1.5e-05,1e-05,1e-05,249.0,11878.0,0.0
2014-04-23,1e-05,1e-05,1e-05,1e-05,38.0,11708.0,0.0
2014-04-24,1e-05,1e-05,1e-05,1e-05,25.0,11767.0,0.0
2014-04-25,1e-05,1e-05,9e-06,9e-06,15.0,11989.0,0.0
2014-04-26,9e-06,9e-06,4e-06,9e-06,5.0,11069.0,0.0
2014-04-27,9e-06,9e-06,5e-06,9e-06,0.0,10962.0,0.0
2014-04-28,9e-06,9e-06,8e-06,9e-06,20.0,10326.0,0.0
2014-04-29,9e-06,9e-06,9e-06,9e-06,59.0,10548.0,0.0
2014-04-30,9e-06,9e-06,4e-06,4e-06,46.0,10714.0,0.0
2014-05-01,4e-06,9e-06,4e-06,9e-06,51.0,5366.0,0.0
2014-05-02,9e-06,9e-06,9e-06,9e-06,5.0,10965.0,0.0
2014-05-03,9e-06,9e-06,9e-06,9e-06,0.0,10491.0,0.0
2014-05-04,9e-06,9e-06,9e-06,9e-06,0.0,10513.0,0.0
2014-05-05,4e-06,9e-06,4e-06,9e-06,88.0,5193.0,0.0
2014-05-06,9e-06,9e-06,8e-06,9e-06,1.0,10390.0,0.0
2014-05-12,4e-06,4e-06,4e-06,4e-06,32.0,5286.0,0.0
2014-05-13,4e-06,4e-06,4e-06,4e-06,9.0,5292.0,0.0
2014-05-27,1.7e-05,1.7e-05,6e-06,6e-06,6.0,29068.0,0.0
2014-05-28,6e-06,1.1e-05,6e-06,6e-06,4.0,9893.0,0.0
2014-05-29,6e-06,6e-06,6e-06,6e-06,3.0,9999.0,0.0
2014-05-30,6e-06,6e-06,6e-06,6e-06,2.0,9875.0,0.0
2014-06-02,6e-06,7e-06,6e-06,7e-06,24.0,10942.0,0.0
2014-06-03,7e-06,1.3e-05,7e-06,1.3e-05,247.0,11558.0,0.0
2014-06-04,1.3e-05,1.9e-05,1.2e-05,1.9e-05,21.0,23375.0,0.0
