Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-10-09,0.000783,0.000784,0.000783,0.000783,5.0,5195.0,0.0
2016-10-10,0.000783,0.002452,0.000783,0.001424,1218.0,5196.0,0.0
2016-10-11,0.001424,0.035077,0.001026,0.005686,3231.0,9465.0,0.02
2016-10-12,0.005684,0.005688,0.002014,0.003105,1080.0,37850.0,0.0
2016-10-13,0.003104,0.004936,0.001535,0.002496,198.0,20723.0,0.0
2016-10-14,0.002497,0.002511,0.000832,0.001422,2044.0,16687.0,0.0
2016-10-15,0.001422,0.00224,0.000838,0.002219,2206.0,9508.0,0.0
2016-10-16,0.00222,0.005578,0.001712,0.002696,2142.0,14902.0,0.0
2016-10-17,0.002697,0.00342,0.00159,0.00206,3264.0,18129.0,0.0
2016-10-18,0.00206,0.002062,0.00075,0.00075,370.0,13865.0,0.0
2016-10-19,0.00075,0.001392,0.000292,0.001382,166.0,5059.0,0.0
2016-10-20,0.001382,0.001527,0.000816,0.000816,69.0,9335.0,0.0
2016-10-21,0.000816,0.002457,0.000707,0.001365,456.0,5519.0,0.0
2016-10-22,0.001366,0.001501,0.000531,0.000533,334.0,9269.0,0.0
2016-10-23,0.000533,0.00116,0.000533,0.000771,229.0,3622.0,0.0
2016-10-24,0.000771,0.00151,0.000502,0.001366,1533.0,5242.0,0.0
2016-10-25,0.001367,0.001504,0.000691,0.00088,259.0,9300.0,0.0
2016-10-26,0.000881,0.001007,0.000362,0.000678,4225.0,5999.0,0.0
2016-10-27,0.000678,0.000911,0.000412,0.000811,629.0,4643.0,0.0
2016-10-28,0.000811,0.000817,0.000301,0.000328,809.0,5563.0,0.0
2016-10-29,0.000328,0.000697,0.000328,0.000566,234.0,2254.0,0.0
2016-10-30,0.000565,0.000666,0.000458,0.000623,121.0,3882.0,0.0
2016-10-31,0.000624,0.000625,0.000604,0.000606,120.0,4288.0,0.0
2016-11-01,0.000606,0.000624,0.000439,0.00045,7.0,4176.0,0.0
2016-11-02,0.00045,0.00051,0.000391,0.00051,40.0,3103.0,0.0
2016-11-03,0.000512,0.000537,0.000422,0.000482,23.0,3534.0,0.0
2016-11-04,0.000482,0.000492,0.000344,0.000464,36.0,3331.0,0.0
2016-11-05,0.000464,0.001058,0.000462,0.000616,181.0,3209.0,0.0
2016-11-06,0.000617,0.000626,0.000508,0.000596,11.0,4266.0,0.0
2016-11-07,0.000596,0.000596,0.000495,0.000502,6.0,4124.0,0.0
2016-11-08,0.000502,0.000631,0.000495,0.000502,5.0,3476.0,0.0
2016-11-09,0.000502,0.000561,0.000221,0.000222,141.0,3480.0,0.0
2016-11-10,0.000222,0.0004,0.000111,0.000185,132.0,1542.0,0.0
2016-11-11,0.000185,0.000256,0.000157,0.00025,16.0,1287.0,0.0
2016-11-12,0.00025,0.004882,0.000221,0.004837,108.0,1738.0,0.0
2016-11-13,0.004838,0.004839,0.00031,0.002203,39.0,33638.0,0.0
2016-11-14,0.002203,0.002213,0.000104,0.000208,20.0,15318.0,0.0
2016-11-15,0.000208,0.000307,0.000208,0.000293,157.0,1447.0,0.0
2016-11-16,0.000293,0.000338,0.000201,0.000201,7.0,2042.0,0.0
2016-11-17,0.000201,0.000419,0.000201,0.000419,108.0,1401.0,0.0
2016-11-18,0.000418,0.000871,0.000339,0.000871,187.0,2916.0,0.0
2016-11-19,0.000871,0.001362,0.000607,0.0012,492.0,6079.0,0.0
2016-11-20,0.001201,0.001206,0.000582,0.000592,271.0,8391.0,0.0
2016-11-21,0.000592,0.000659,0.000493,0.000513,269.0,4166.0,0.0
2016-11-22,0.000512,0.001333,0.000511,0.000706,278.0,3606.0,0.0
2016-11-23,0.000706,0.001308,0.000547,0.000678,214.0,4974.0,0.0
2016-11-24,0.000678,0.001035,0.000678,0.001022,228.0,4787.0,0.0
2016-11-25,0.001022,0.001067,0.000705,0.001067,66.0,7220.0,0.0
2016-11-26,0.001067,0.001253,0.001001,0.001138,255.0,7554.0,0.0
2016-11-27,0.001137,0.00136,0.000784,0.001274,340.0,8065.0,0.0
2016-11-28,0.001275,0.001402,0.000914,0.001109,1456.0,9046.0,0.0
2016-11-29,0.001109,0.001766,0.000764,0.001292,437.0,7883.0,0.0
2016-11-30,0.001293,0.001997,0.001293,0.001937,374.0,9206.0,0.0
2016-12-01,0.001937,0.004066,0.001918,0.002167,656.0,13817.0,0.0
2016-12-02,0.002169,0.003422,0.001405,0.002449,1491.0,15495.0,0.0
2016-12-03,0.00245,0.006582,0.002406,0.004382,2979.0,17524.0,0.0
2016-12-04,0.004382,0.007013,0.004378,0.006145,904.0,31385.0,0.01
2016-12-05,0.006148,0.008168,0.001102,0.002662,1478.0,44095.0,0.0
2016-12-06,0.002662,0.023056,0.002536,0.010706,2928.0,19118.0,0.01
2016-12-07,0.010706,0.01071,0.004607,0.004878,318.0,77040.0,0.01
2016-12-08,0.007592,0.013421,0.004835,0.012569,605.0,54698.0,0.01
2016-12-09,0.012548,0.012575,0.002126,0.008228,5094.0,90619.0,0.01
2016-12-10,0.008227,0.011308,0.006519,0.01088,499.0,59462.0,0.01
2016-12-11,0.010881,0.010881,0.006032,0.008055,1391.0,78785.0,0.01
2016-12-12,0.008055,0.008813,0.00714,0.00828,164.0,58401.0,0.01
2016-12-13,0.008286,0.008308,0.003375,0.005953,674.0,60183.0,0.01
2016-12-14,0.005945,0.005949,0.003531,0.003759,1840.0,43224.0,0.0
2016-12-15,0.003759,0.005058,0.003663,0.004254,30.0,27374.0,0.0
2016-12-16,0.004257,0.004275,0.00345,0.00426,7.0,31050.0,0.0
2016-12-17,0.004262,0.004425,0.003362,0.00435,737.0,31134.0,0.0
2016-12-18,0.00435,0.005147,0.002133,0.003359,608.0,31874.0,0.0
2016-12-19,0.003359,0.003853,0.001591,0.0029,925.0,24632.0,0.0
2016-12-20,0.002899,0.003965,0.002868,0.003946,241.0,21292.0,0.0
2016-12-21,0.003946,0.004077,0.0023,0.002318,118.0,29008.0,0.0
2016-12-22,0.002317,0.003167,0.002317,0.003163,24.0,17050.0,0.0
2016-12-23,0.003162,0.003335,0.002289,0.003057,61.0,23320.0,0.0
2016-12-24,0.003058,0.003276,0.00265,0.002828,2.0,22571.0,0.0
2016-12-25,0.002829,0.004968,0.002152,0.004414,569.0,20897.0,0.0
2016-12-26,0.004416,0.007052,0.00397,0.00488,2556.0,32719.0,0.01
2016-12-27,0.00488,0.01039,0.004818,0.00658,14351.0,36174.0,0.01
2016-12-28,0.006583,0.00925,0.005748,0.007584,1705.0,48860.0,0.01
2016-12-29,0.007577,0.010312,0.007516,0.008634,26.0,56298.0,0.01
2016-12-30,0.008634,0.014939,0.005264,0.014103,4209.0,64488.0,0.01
2016-12-31,0.014103,0.014109,0.006687,0.007007,750.0,105407.0,0.01
2017-01-01,0.007007,0.01201,0.006971,0.00859,371.0,52387.0,0.01
2017-01-02,0.008592,0.013939,0.008578,0.010338,8867.0,64263.0,0.01
2017-01-03,0.010338,0.013423,0.010265,0.010455,19.0,77333.0,0.01
2017-01-04,0.010455,0.015643,0.009728,0.010856,1244.0,78544.0,0.01
2017-01-05,0.010875,0.013842,0.00814,0.011099,486.0,81742.0,0.01
2017-01-06,0.011109,0.011465,0.006217,0.006484,35.0,83517.0,0.01
2017-01-07,0.006493,0.007325,0.0058,0.007283,74.0,49032.0,0.01
2017-01-08,0.00728,0.020729,0.006301,0.017424,5123.0,55305.0,0.01
2017-01-09,0.017449,0.02213,0.006896,0.009886,1064.0,132948.0,0.01
2017-01-10,0.009874,0.013524,0.006566,0.006571,1165.0,75261.0,0.01
2017-01-11,0.00657,0.011484,0.005939,0.006376,4163.0,50180.0,0.01
2017-01-12,0.006376,0.008156,0.004778,0.006495,2344.0,48804.0,0.01
2017-01-13,0.006486,0.006524,0.005134,0.006249,432.0,49735.0,0.01
2017-01-14,0.006249,0.006333,0.004205,0.00531,2153.0,48121.0,0.01
2017-01-15,0.005306,0.005484,0.004072,0.005482,432.0,40978.0,0.0
2017-01-16,0.005482,0.006806,0.003122,0.006729,1464.0,42402.0,0.0
2017-01-17,0.006731,0.008379,0.004138,0.005444,46.0,52280.0,0.01
2017-01-18,0.005456,0.006026,0.004048,0.006026,123.0,42478.0,0.01
2017-01-19,0.006026,0.006099,0.004088,0.005752,333.0,47102.0,0.01
2017-01-20,0.00575,0.00575,0.003321,0.004518,550.0,45067.0,0.0
2017-01-21,0.004518,0.004885,0.003204,0.003839,1122.0,35453.0,0.0
2017-01-22,0.003841,0.00385,0.003174,0.003267,221.0,30153.0,0.0
2017-01-23,0.003274,0.003803,0.00297,0.003586,83.0,25708.0,0.0
2017-01-24,0.003544,0.004465,0.003132,0.003302,98.0,27835.0,0.0
2017-01-25,0.003302,0.00412,0.003164,0.00412,308.0,25942.0,0.0
2017-01-26,0.004124,0.00444,0.003196,0.003405,1472.0,32412.0,0.0
2017-01-27,0.003405,0.00369,0.003178,0.003452,613.0,26797.0,0.0
2017-01-28,0.003452,0.005105,0.003057,0.004233,145.0,27175.0,0.0
2017-01-29,0.004235,0.004541,0.002984,0.004531,134.0,33348.0,0.0
2017-01-30,0.004531,0.005244,0.003342,0.003783,2218.0,35688.0,0.0
2017-01-31,0.003945,0.004243,0.00331,0.003614,2965.0,31091.0,0.0
2017-02-01,0.003614,0.004045,0.003425,0.003663,2154.0,28663.0,0.0
2017-02-02,0.003684,0.004487,0.002333,0.003662,6166.0,29269.0,0.0
2017-02-03,0.003662,0.004397,0.003502,0.004275,1929.0,29104.0,0.0
2017-02-04,0.004281,0.006416,0.003161,0.005184,19513.0,34036.0,0.0
2017-02-05,0.005187,0.00702,0.004357,0.005672,11826.0,41349.0,0.01
2017-02-06,0.00566,0.007331,0.004459,0.007226,3167.0,45417.0,0.01
2017-02-07,0.007242,0.008823,0.005834,0.006596,3204.0,58225.0,0.01
2017-02-08,0.006602,0.008838,0.005663,0.00568,705.0,53846.0,0.01
2017-02-09,0.005689,0.007382,0.00398,0.004549,2937.0,46743.0,0.01
2017-02-10,0.004555,0.005907,0.004255,0.005371,2331.0,37565.0,0.01
2017-02-11,0.005372,0.010134,0.005158,0.00658,1798.0,44400.0,0.01
2017-02-12,0.006269,0.009412,0.004096,0.007071,2563.0,51893.0,0.01
2017-02-13,0.007069,0.008534,0.005045,0.005987,1527.0,58550.0,0.01
2017-02-14,0.005993,0.00718,0.005026,0.007176,1276.0,49653.0,0.01
2017-02-15,0.007188,0.007198,0.005095,0.005812,1927.0,59557.0,0.01
2017-02-16,0.00543,0.006885,0.004436,0.005569,1590.0,45006.0,0.01
2017-02-17,0.005325,0.007101,0.004585,0.006314,27365.0,44292.0,0.01
2017-02-18,0.006276,0.009488,0.005422,0.006404,10199.0,52423.0,0.01
2017-02-19,0.006406,0.008233,0.005967,0.006613,1366.0,53550.0,0.01
