Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-09-12,0.001038,0.001186,0.001038,0.00118,607.0,11183.0,0.0
2016-09-13,0.00118,0.002992,0.001178,0.002949,2379.0,12705.0,0.0
2016-09-14,0.002959,0.003007,0.001758,0.001832,3292.0,31875.0,0.0
2016-09-15,0.001832,0.002375,0.000913,0.00136,3582.0,19735.0,0.0
2016-09-16,0.00136,0.002022,0.000943,0.001457,454.0,14656.0,0.0
2016-09-17,0.001457,0.001944,0.000606,0.001394,1731.0,15704.0,0.0
2016-09-18,0.001394,0.001396,0.000658,0.001079,45.0,15028.0,0.0
2016-09-19,0.001079,0.001386,0.000554,0.000883,758.0,11635.0,0.0
2016-09-20,0.000883,0.000902,0.000317,0.000584,714.0,9522.0,0.0
2016-09-21,0.000579,0.000579,0.000346,0.000382,11.0,6246.0,0.0
2016-09-22,0.000382,0.000479,0.000298,0.000304,459.0,4121.0,0.0
2016-09-23,0.000304,0.000796,0.000304,0.00047,78.0,3278.0,0.0
2016-09-24,0.00047,0.00132,0.00047,0.001266,530.0,5071.0,0.0
2016-09-25,0.001266,0.001266,0.000307,0.000661,184.0,13649.0,0.0
2016-09-26,0.000661,0.001104,0.00051,0.000517,203.0,7127.0,0.0
2016-09-27,0.000517,0.000899,0.000517,0.000552,6.0,5574.0,0.0
2016-09-28,0.000552,0.000902,0.00055,0.000901,118.0,5951.0,0.0
2016-09-29,0.000901,0.000902,0.000345,0.000345,23.0,9725.0,0.0
2016-09-30,0.000345,0.000831,0.000344,0.000805,31.0,3725.0,0.0
2016-10-01,0.000805,0.000808,0.000508,0.000774,58.0,8688.0,0.0
2016-10-02,0.000774,0.000774,0.000337,0.000672,18.0,8348.0,0.0
2016-10-03,0.000672,0.000672,0.000336,0.000337,10.0,7254.0,0.0
2016-10-04,0.000337,0.000337,0.000305,0.000305,30.0,3634.0,0.0
2016-10-05,0.000305,0.000307,0.000305,0.000306,16.0,3294.0,0.0
2016-10-06,0.000306,0.000307,0.000245,0.000245,18.0,3306.0,0.0
2016-10-07,0.000245,0.000439,0.000245,0.000265,15.0,2646.0,0.0
2016-10-08,0.000265,0.000279,0.000265,0.000279,1.0,2866.0,0.0
