Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-07-20,0.005587,0.012933,0.005545,0.012397,5784.0,-1.0,0.01
2017-07-21,0.012489,0.088618,0.007019,0.010419,4073.0,56199.0,0.05
2017-07-22,0.010417,0.013588,0.007341,0.009893,2842.0,46875.0,0.01
2017-07-23,0.009892,0.011472,0.007939,0.00955,728.0,44515.0,0.01
2017-07-24,0.009539,0.009793,0.007906,0.007988,384.0,42924.0,0.01
2017-07-25,0.007999,0.008584,0.005722,0.006703,807.0,35997.0,0.01
2017-07-26,0.006706,0.01001,0.006706,0.009945,355.0,30177.0,0.01
2017-07-27,0.009973,0.010089,0.00702,0.007552,216.0,44879.0,0.01
2017-07-28,0.007574,0.007882,0.007037,0.007674,357.0,34084.0,0.01
2017-07-29,0.007706,0.007722,0.007016,0.007115,77.0,34676.0,0.01
2017-07-30,0.007121,0.00795,0.006889,0.006996,482.0,32046.0,0.01
2017-07-31,0.00701,0.008274,0.006919,0.008018,205.0,31547.0,0.01
2017-08-01,0.008019,0.008112,0.006973,0.00704,8.0,36086.0,0.01
2017-08-02,0.007043,0.007491,0.006856,0.007142,1114.0,31694.0,0.01
2017-08-03,0.007153,0.007399,0.006996,0.007331,256.0,32188.0,0.01
2017-08-04,0.007332,0.007436,0.007151,0.007311,190.0,32992.0,0.01
2017-08-05,0.007308,0.014316,0.007302,0.00857,100.0,32885.0,0.01
2017-08-06,0.00857,0.008894,0.008118,0.008391,1479.0,38567.0,0.01
2017-08-07,0.008372,0.008752,0.008257,0.008684,134.0,37676.0,0.01
2017-08-08,0.008693,0.008875,0.008072,0.008098,362.0,39119.0,0.01
2017-08-09,0.008092,0.008494,0.00769,0.007855,685.0,36415.0,0.01
2017-08-10,0.007856,0.008739,0.007798,0.008165,22.0,35352.0,0.01
2017-08-11,0.008165,0.008343,0.007774,0.008183,319.0,36740.0,0.01
2017-08-12,0.008177,0.008608,0.00762,0.008246,10.0,36796.0,0.01
2017-08-13,0.008238,0.008388,0.006753,0.007104,52.0,37072.0,0.01
2017-08-14,0.007108,0.00842,0.006966,0.007466,35.0,31988.0,0.01
2017-08-15,0.007486,0.007643,0.00591,0.007178,41.0,33686.0,0.01
2017-08-16,0.007186,0.011663,0.006506,0.007073,135.0,32337.0,0.01
2017-08-17,0.007066,0.011527,0.006586,0.00674,4.0,31797.0,0.01
2017-08-18,0.009929,0.009929,0.002873,0.006455,473.0,44681.0,0.01
2017-08-19,0.006452,0.006568,0.003979,0.004004,104.0,29032.0,0.01
2017-08-20,0.003986,0.006049,0.003894,0.005742,56.0,17936.0,0.0
2017-08-21,0.00572,0.005764,0.004155,0.005509,181.0,25741.0,0.0
2017-08-22,0.005521,0.005521,0.002924,0.005446,137.0,24846.0,0.0
2017-08-23,0.005434,0.005659,0.005416,0.005508,83.0,24455.0,0.01
2017-08-24,0.00551,0.005901,0.005504,0.005766,5.0,24796.0,0.01
2017-08-25,0.005757,0.00598,0.005757,0.005796,89.0,25908.0,0.01
2017-08-26,0.005807,0.006445,0.005679,0.005824,30.0,26132.0,0.01
2017-08-27,0.005822,0.01249,0.005789,0.011727,308.0,26201.0,0.01
2017-08-28,0.011739,0.011739,0.006294,0.007661,88.0,52826.0,0.01
2017-08-29,0.00766,0.010526,0.00622,0.009574,222.0,34471.0,0.01
2017-08-30,0.009568,0.009644,0.007013,0.00789,34.0,43058.0,0.01
2017-08-31,0.007877,0.007949,0.006956,0.007441,132.0,35445.0,0.01
2017-09-01,0.007438,0.007642,0.007131,0.007131,30.0,33469.0,0.01
2017-09-02,0.00714,0.007971,0.00714,0.007788,12.0,32128.0,0.01
2017-09-03,0.007793,0.007989,0.006518,0.006649,25.0,35067.0,0.01
2017-09-04,0.006651,0.006656,0.005523,0.006019,96.0,29931.0,0.01
2017-09-05,0.005997,0.006927,0.00568,0.006799,16.0,26988.0,0.01
2017-09-06,0.006807,0.006963,0.004578,0.00558,500.0,30631.0,0.01
2017-09-07,0.005569,0.00595,0.004866,0.004912,80.0,25059.0,0.01
2017-09-08,0.004911,0.00498,0.004186,0.004364,291.0,22099.0,0.0
2017-09-09,0.004372,0.004569,0.004248,0.004555,28.0,19675.0,0.0
2017-09-10,0.00456,0.004976,0.004331,0.004881,26.0,20518.0,0.0
2017-09-11,0.004896,0.005207,0.00423,0.004253,141.0,22032.0,0.0
2017-09-12,0.004252,0.005216,0.004172,0.004251,137.0,19133.0,0.0
2017-09-13,0.004252,0.004809,0.003817,0.003955,467.0,19133.0,0.0
