Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-08-27,0.350558,0.350558,0.33125,0.332579,184943.0,-1,0.34
2017-08-28,0.332579,0.35636,0.29551,0.307634,492079.0,-1,0.33
2017-08-29,0.307642,0.334846,0.293606,0.325063,483589.0,-1,0.31
2017-08-30,0.326202,0.326858,0.240971,0.245375,451717.0,-1,0.28
2017-08-31,0.242948,0.264036,0.225318,0.263395,879496.0,-1,0.24
2017-09-01,0.263289,0.268306,0.24095,0.253545,967632.0,-1,0.25
2017-09-02,0.253388,0.2539,0.180251,0.212755,886464.0,-1,0.22
2017-09-03,0.214741,0.226767,0.186588,0.203669,762588.0,-1,0.21
2017-09-04,0.202844,0.215407,0.070141,0.075581,624669.0,-1,0.14
2017-09-05,0.071458,0.119658,0.060789,0.078404,497068.0,-1,0.09
2017-09-06,0.078149,0.102728,0.074698,0.096119,439350.0,-1,0.09
2017-09-07,0.096119,0.100022,0.09602,0.09748,365636.0,-1,0.1
2017-09-08,0.09748,0.101845,0.097461,0.10123,277523.0,-1,0.1
2017-09-09,0.101239,0.103803,0.099975,0.1008,273047.0,-1,0.1
2017-09-10,0.100802,0.10162,0.100642,0.100965,271860.0,-1,0.1
2017-09-11,0.100979,0.100979,0.099383,0.099855,269840.0,-1,0.1
2017-09-12,0.099854,0.131116,0.082051,0.083339,3397.0,-1,0.11
2017-09-13,0.083365,0.154649,0.082196,0.116313,3126.0,-1,0.12
2017-09-14,0.116319,0.117864,0.096738,0.096738,275.0,-1,0.11
2017-09-15,0.096586,0.104069,0.059783,0.073695,2635.0,-1,0.08
2017-09-16,0.07438,0.116016,0.071125,0.074223,782.0,-1,0.09
2017-09-17,0.074339,0.075987,0.069782,0.07405,38.0,-1,0.07
2017-09-18,0.073902,0.082585,0.073902,0.081863,761.0,-1,0.08
2017-09-19,0.082062,0.121431,0.07731,0.078376,1040.0,-1,0.1
2017-09-20,0.078272,0.121418,0.078019,0.116957,1026.0,-1,0.1
2017-09-21,0.116383,0.117165,0.074359,0.10875,368.0,-1,0.1
2017-09-22,0.108626,0.110502,0.070715,0.108524,2485.0,-1,0.09
2017-09-23,0.108218,0.114463,0.107179,0.113665,138.0,-1,0.11
2017-09-24,0.113655,0.113655,0.072776,0.073522,250.0,-1,0.09
2017-09-25,0.073447,0.112954,0.07342,0.078675,2007.0,-1,0.09
2017-09-26,0.078667,0.155962,0.077303,0.116984,5293.0,-1,0.12
2017-09-27,0.116658,0.126735,0.116658,0.12622,140.0,-1,0.12
2017-09-28,0.126225,0.128228,0.082783,0.125906,700.0,-1,0.11
2017-09-29,0.125808,0.127119,0.080963,0.125144,258.0,-1,0.1
2017-09-30,0.12516,0.130738,0.085363,0.130274,343.0,-1,0.11
