Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-06-24,490.88,490.88,479.49,488.04,900.0,-1,485.19
2017-06-25,488.55,543.95,470.68,543.95,66589.0,-1,507.32
2017-06-26,542.79,543.03,384.9,403.74,37954.0,-1,463.96
2017-06-27,413.28,832.67,380.28,832.67,164116.0,-1,606.47
2017-06-28,838.08,838.08,409.47,423.32,46735.0,-1,623.78
2017-06-29,422.93,895.43,420.28,437.18,140674.0,-1,657.86
2017-06-30,438.06,439.76,409.01,419.12,2195.0,-1,424.38
2017-07-01,418.96,720.51,404.72,411.89,221638.0,-1,562.62
2017-07-02,412.49,501.92,387.59,409.78,140805.0,-1,444.75
2017-07-03,408.27,487.36,392.61,395.97,129400.0,-1,439.99
2017-07-04,395.07,403.29,154.74,229.78,14757.0,-1,279.01
2017-07-05,229.65,426.23,147.72,253.75,343845.0,-1,286.98
2017-07-06,256.77,325.12,106.18,136.71,212219.0,-1,215.65
2017-07-07,136.81,136.81,96.62,102.48,10329.0,-1,116.72
2017-07-08,102.54,102.54,40.59,56.29,5585.0,-1,71.56
2017-07-09,56.34,76.72,30.33,32.5,3158.0,-1,53.52
2017-07-10,32.57,989.04,29.99,234.53,329742.0,-1,509.51
2017-07-11,241.06,442.99,52.93,55.84,322397.0,-1,247.96
2017-07-12,55.76,64.6,52.07,56.04,43347.0,-1,58.33
2017-07-13,56.08,63.45,0.117034,0.23379,142362.0,-1,31.78
2017-07-14,0.233619,0.413584,0.203376,0.220138,124808.0,-1,0.31
2017-07-15,0.219756,1.57,0.134427,0.200483,98321.0,-1,0.85
2017-07-16,0.197319,0.206772,0.129026,0.149375,44698.0,-1,0.17
2017-07-17,0.149179,0.188383,0.13847,0.170273,25426.0,-1,0.16
2017-07-18,0.170716,0.333789,0.11155,0.152899,185806.0,-1,0.22
2017-07-19,0.115012,0.152651,0.106731,0.109749,50831.0,-1,0.13
2017-07-20,0.10941,0.137122,0.107871,0.111646,22931.0,-1,0.12
2017-07-21,0.131206,0.317955,0.093951,0.118078,317137.0,-1,0.21
2017-07-22,0.080971,0.098675,0.062085,0.062259,143331.0,-1,0.08
2017-07-23,0.076157,0.113502,0.048024,0.049547,115277.0,-1,0.08
2017-07-24,0.049489,0.054077,0.039474,0.040686,137357.0,-1,0.05
2017-07-25,0.040682,0.041359,0.030458,0.033066,9290.0,-1,0.04
2017-07-26,0.033081,0.039261,0.029839,0.038445,7543.0,-1,0.03
2017-07-27,0.038554,0.058623,0.033105,0.045101,74062.0,-1,0.05
2017-07-28,0.045237,0.047917,0.041143,0.04467,22894.0,-1,0.04
2017-07-29,0.044501,0.046581,0.024104,0.024464,52231.0,-1,0.04
2017-07-30,0.024461,0.024708,0.023416,0.024421,16142.0,-1,0.02
2017-07-31,0.024445,0.024881,0.018545,0.022315,3348.0,-1,0.02
2017-08-01,0.022326,0.031201,0.01319,0.013971,51140.0,-1,0.02
2017-08-02,0.014059,0.014059,0.006866,0.009449,12512.0,-1,0.01
2017-08-03,0.009463,0.015282,0.004955,0.005743,129021.0,-1,0.01
2017-08-04,0.005546,0.010801,0.005184,0.005369,105628.0,-1,0.01
2017-08-05,0.005281,0.006973,0.005206,0.005695,49493.0,-1,0.01
2017-08-06,0.005696,0.005876,0.002285,0.003004,7076.0,-1,0.0
2017-08-07,0.00335,0.004083,0.002047,0.002682,3064.0,-1,0.0
