Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-06-08,0.018169,0.02816,0.018116,0.024151,4409.0,24157.0,0.02
2014-06-09,0.024146,0.026212,0.007809,0.009774,1839.0,32230.0,0.02
2014-06-10,0.00977,0.014762,0.00977,0.011101,367.0,13165.0,0.01
2014-06-11,0.011104,0.011498,0.001274,0.001274,354.0,15119.0,0.01
2014-06-12,0.001272,0.006937,0.001268,0.003081,38.0,1749.0,0.0
2014-06-13,0.003064,0.007256,0.003048,0.006889,159.0,4253.0,0.01
2014-06-14,0.006896,0.006903,0.002837,0.002937,149.0,9675.0,0.0
2014-06-15,0.002916,0.004037,0.002829,0.003548,21.0,4126.0,0.0
2014-06-16,0.003558,0.004129,0.002597,0.002597,84.0,5085.0,0.0
2014-06-17,0.0026,0.002731,0.002592,0.002731,36.0,3750.0,0.0
2014-06-18,0.002731,0.003079,0.002725,0.002741,100.0,3976.0,0.0
2014-06-19,0.002742,0.002901,0.002513,0.002514,53.0,4029.0,0.0
2014-06-20,0.002512,0.002533,0.002474,0.002491,143.0,3726.0,0.0
2014-06-21,0.002495,0.003276,0.001359,0.001359,102.0,3734.0,0.0
2014-06-22,0.001357,0.001687,0.001356,0.001687,59.0,2049.0,0.0
2014-06-23,0.001686,0.012712,0.001572,0.007126,5679.0,2569.0,0.01
2014-06-24,0.007662,0.007662,0.004365,0.005244,707.0,11765.0,0.01
2014-06-25,0.005235,0.005235,0.001814,0.002049,55.0,8071.0,0.0
2014-06-26,0.004304,0.005177,0.00154,0.001572,26.0,6673.0,0.0
2014-06-27,0.001575,0.003951,0.001571,0.001792,94.0,2452.0,0.0
2014-06-28,0.001797,0.001799,0.001353,0.001384,27.0,2822.0,0.0
2014-06-29,0.001383,0.006256,0.001383,0.001674,4965.0,2187.0,0.0
2014-06-30,0.001676,0.005009,0.001668,0.00227,28.0,2653.0,0.0
2014-07-01,0.002271,0.002519,0.002271,0.002452,6.0,3596.0,0.0
2014-07-02,0.002454,0.004385,0.002281,0.002292,42.0,3895.0,0.0
2014-07-03,0.002291,0.004234,0.001648,0.00167,103.0,3648.0,0.0
2014-07-04,0.001671,0.00227,0.001618,0.001621,158.0,2685.0,0.0
2014-07-05,0.001619,0.001919,0.001614,0.001622,120.0,2623.0,0.0
2014-07-06,0.001623,0.001641,0.000703,0.000762,23.0,2651.0,0.0
2014-07-07,0.000763,0.001033,0.000488,0.000699,22.0,1257.0,0.0
2014-07-08,0.000697,0.000937,0.000695,0.000812,6.0,1158.0,0.0
2014-07-09,0.000813,0.000937,0.000772,0.000793,5.0,1361.0,0.0
2014-07-10,0.000794,0.001082,0.000778,0.000802,8.0,1340.0,0.0
2014-07-11,0.000802,0.000817,0.000782,0.000803,6.0,1364.0,0.0
2014-07-12,0.000802,0.003788,0.000801,0.002681,125.0,1377.0,0.0
2014-07-13,0.002683,0.003609,0.001567,0.001585,69.0,4639.0,0.0
2014-07-14,0.001585,0.003322,0.001553,0.001554,17.0,2763.0,0.0
2014-07-15,0.001556,0.003349,0.000998,0.001983,76.0,2732.0,0.0
2014-07-16,0.001984,0.001985,0.000985,0.000999,9.0,3512.0,0.0
2014-07-17,0.000999,0.001027,0.000985,0.001009,12.0,1781.0,0.0
2014-07-18,0.001008,0.001023,0.001006,0.001019,8.0,1812.0,0.0
2014-07-19,0.001019,0.001019,0.000375,0.000465,6.0,1845.0,0.0
2014-07-20,0.000465,0.00047,0.000461,0.000462,14.0,848.0,0.0
2014-07-21,0.000462,0.000553,0.00046,0.000504,6.0,848.0,0.0
2014-07-22,0.000504,0.000505,0.000217,0.00023,20.0,933.0,0.0
2014-07-23,0.00023,0.000692,0.00023,0.00026,90.0,429.0,0.0
2014-07-24,0.00026,0.00026,0.000245,0.000247,3.0,488.0,0.0
2014-07-25,0.000247,0.000304,0.000247,0.000277,3.0,462.0,0.0
2014-07-26,0.000277,0.000277,0.00025,0.00025,1.0,519.0,0.0
2014-07-27,0.00025,0.000252,0.000243,0.000243,2.0,470.0,0.0
2014-07-28,0.000244,0.000244,0.000234,0.000234,4.0,457.0,0.0
2014-07-29,0.000234,0.00024,0.000233,0.00024,2.0,440.0,0.0
2014-07-30,0.00024,0.000554,0.000236,0.000238,2.0,450.0,0.0
2014-07-31,0.000238,0.000252,0.000237,0.000252,3.0,447.0,0.0
2014-08-01,0.000252,0.000519,0.000252,0.000339,9.0,473.0,0.0
2014-08-02,0.000339,0.000432,0.000266,0.00043,10.0,637.0,0.0
2014-08-03,0.00043,0.00043,0.000425,0.000426,10.0,807.0,0.0
2015-01-16,0.000202,0.000261,0.0002,0.00026,1.0,-1.0,0.0
