Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-17,0.112025,0.39551,0.112025,0.352822,37718.0,-1,0.25
2017-10-18,0.352846,0.352856,0.07145,0.088233,88012.0,-1,0.21
2017-10-19,0.088279,0.124378,0.07311,0.074253,40313.0,-1,0.1
2017-10-20,0.083002,0.14228,0.076309,0.081902,174828.0,-1,0.11
2017-10-21,0.08173,0.153111,0.081162,0.117232,1501800.0,-1,0.12
2017-10-22,0.117267,0.131576,0.081444,0.101812,61881.0,-1,0.11
2017-10-23,0.101648,0.119487,0.085019,0.088178,123877.0,-1,0.1
2017-10-24,0.100243,0.113194,0.087768,0.088257,51143.0,-1,0.1
2017-10-25,0.088293,0.096663,0.055528,0.057408,34512.0,-1,0.08
2017-10-26,0.057401,0.108568,0.057258,0.079512,283890.0,-1,0.08
2017-10-27,0.079531,0.1162,0.078758,0.103459,49352.0,-1,0.1
2017-10-28,0.103742,0.105668,0.080081,0.103129,6747.0,-1,0.09
2017-10-29,0.102988,0.111316,0.08139,0.110791,45425.0,-1,0.1
2017-10-30,0.110147,0.110658,0.084835,0.109446,4627.0,-1,0.1
2017-10-31,0.109075,0.122266,0.088987,0.122266,26849.0,-1,0.11
2017-11-01,0.122177,0.123559,0.099018,0.123265,74046.0,-1,0.11
2017-11-02,0.123403,0.133802,0.098223,0.126514,912.0,-1,0.12
2017-11-03,0.126349,0.130459,0.061714,0.121437,42946.0,-1,0.1
2017-11-04,0.121121,0.122608,0.064025,0.113375,4999.0,-1,0.09
2017-11-05,0.11316,0.1134,0.070159,0.109474,1648.0,-1,0.09
2017-11-06,0.109717,0.110057,0.10288,0.104343,2477.0,-1,0.11
2017-11-07,0.104176,0.125293,0.104176,0.120284,3910.0,-1,0.11
2017-11-08,0.119907,0.126038,0.114527,0.119527,375.0,-1,0.12
2017-11-09,0.085875,0.130431,0.083914,0.122111,116724.0,-1,0.11
2017-11-10,0.122474,0.126081,0.109677,0.112172,20103.0,-1,0.12
2017-11-11,0.111773,0.116996,0.104498,0.109175,24050.0,-1,0.11
2017-11-12,0.109094,0.110028,0.095069,0.100479,20943.0,-1,0.1
2017-11-13,0.100626,0.115618,0.100133,0.111963,67998.0,-1,0.11
2017-11-14,0.1122,0.127699,0.078425,0.125534,52361.0,-1,0.1
2017-11-15,0.12562,0.141351,0.088936,0.140214,31817.0,-1,0.12
2017-11-16,0.140949,0.150437,0.118339,0.149215,48895.0,-1,0.13
2017-11-17,0.14897,0.154885,0.094019,0.134958,50959.0,-1,0.12
2017-11-18,0.134441,0.136395,0.129885,0.135354,47938.0,-1,0.13
2017-11-19,0.135103,0.145523,0.095304,0.144366,53192.0,-1,0.12
2017-11-20,0.144298,0.161556,0.100676,0.160678,63519.0,-1,0.13
2017-11-21,0.160708,0.186683,0.112504,0.114131,57574.0,-1,0.15
2017-11-22,0.114409,0.189069,0.114066,0.186689,61078.0,-1,0.15
2017-11-23,0.186629,0.187541,0.16251,0.180276,66876.0,-1,0.18
2017-11-24,0.18003,0.18809,0.148302,0.187073,107321.0,-1,0.17
2017-11-25,0.186695,0.547007,0.14836,0.279625,70553.0,-1,0.35
2017-11-26,0.279531,0.297838,0.19684,0.291588,125216.0,-1,0.25
2017-11-27,0.291644,0.298271,0.212306,0.21961,93729.0,-1,0.26
2017-11-28,0.220179,0.31723,0.219128,0.222608,21853.0,-1,0.27
2017-11-29,0.296846,0.332145,0.126954,0.207152,188275.0,-1,0.23
2017-11-30,0.210334,0.318894,0.148599,0.160987,122350.0,-1,0.23
2017-12-01,0.160189,0.222775,0.160075,0.222775,107320.0,-1,0.19
2017-12-02,0.222585,0.224874,0.176508,0.218098,170968.0,-1,0.2
2017-12-03,0.19677,0.23674,0.195464,0.224093,96566.0,-1,0.22
2017-12-04,0.224835,0.239765,0.151828,0.203352,115990.0,-1,0.2
2017-12-05,0.203751,0.207047,0.156227,0.175902,15618.0,-1,0.18
2017-12-06,0.175512,0.229005,0.156109,0.17392,142906.0,-1,0.19
2017-12-07,0.173621,0.240072,0.173621,0.233228,199684.0,-1,0.21
2017-12-08,0.233777,0.267065,0.157328,0.245017,277123.0,-1,0.21
2017-12-09,0.244771,0.263252,0.153289,0.194699,17098.0,-1,0.21
2017-12-10,0.195488,0.222284,0.147581,0.15834,123578.0,-1,0.18
2017-12-11,0.194399,0.258505,0.159744,0.251742,322804.0,-1,0.21
2017-12-12,0.25255,0.2715,0.204634,0.254436,529203.0,-1,0.24
2017-12-13,0.254648,0.260829,0.178679,0.208638,176844.0,-1,0.22
2017-12-14,0.207969,0.212591,0.168428,0.199581,292338.0,-1,0.19
2017-12-15,0.199881,0.214587,0.174269,0.209527,213475.0,-1,0.19
2017-12-16,0.209821,0.222562,0.154179,0.174489,239508.0,-1,0.19
2017-12-17,0.174511,0.23845,0.172452,0.225456,136782.0,-1,0.21
