Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-03-09,0.002743,0.002803,0.002232,0.002317,6.0,1696.0,0.0
2015-03-10,0.002319,0.002375,0.002318,0.002338,6.0,1537.0,0.0
2015-03-11,0.000496,0.000497,7e-05,7.1e-05,15.0,358.0,0.0
2015-03-12,7.1e-05,7.1e-05,7e-05,7e-05,7.0,54.0,0.0
2015-03-17,0.00029,0.000292,0.000284,0.000286,9.0,296.0,0.0
2015-03-18,0.000285,0.000285,0.000252,0.000259,0.0,304.0,0.0
2015-03-19,0.000258,0.000264,0.000251,0.000263,0.0,288.0,0.0
2015-03-20,0.002066,0.002074,0.000553,0.002065,33.0,2494.0,0.0
2015-03-21,0.002064,0.002069,0.002017,0.002028,117.0,2506.0,0.0
2015-03-22,0.002027,0.003401,0.001078,0.001533,672.0,2565.0,0.0
2015-03-23,0.001533,0.002608,0.00093,0.000934,175.0,2043.0,0.0
2015-03-24,0.000933,0.001197,0.000546,0.000561,32.0,1274.0,0.0
2015-03-25,0.000565,0.00071,0.000551,0.000682,12.0,795.0,0.0
2015-03-26,0.000682,0.000979,0.000427,0.000629,27.0,999.0,0.0
2015-03-27,0.000629,0.000631,0.000494,0.000511,8.0,953.0,0.0
2015-03-28,0.000511,0.000512,0.000377,0.000379,11.0,795.0,0.0
2015-03-29,0.000379,0.000816,0.000303,0.000303,46.0,606.0,0.0
2015-03-30,0.000304,0.000374,0.000299,0.000371,7.0,502.0,0.0
2015-03-31,0.000371,0.000558,0.000365,0.000466,14.0,631.0,0.0
2015-04-01,0.000466,0.000817,0.000415,0.000816,50.0,819.0,0.0
2015-04-02,0.000815,0.000817,0.000568,0.000574,25.0,1484.0,0.0
2015-04-03,0.000574,0.001998,0.00057,0.001422,228.0,1072.0,0.0
2015-04-04,0.001422,0.001772,0.000807,0.000814,43.0,2736.0,0.0
2015-04-05,0.000815,0.000847,0.000812,0.000847,49.0,1568.0,0.0
2015-04-06,0.000847,0.000851,0.000822,0.000825,0.0,1631.0,0.0
2015-04-07,0.000825,0.000826,0.000815,0.000818,0.0,1587.0,0.0
2015-04-08,0.000817,0.000818,0.000393,0.000782,27.0,1574.0,0.0
2015-04-09,0.000781,0.000785,0.000389,0.00039,0.0,1503.0,0.0
2015-04-10,0.00039,0.000874,0.000301,0.000869,17.0,751.0,0.0
2015-04-11,0.000869,0.000881,0.000862,0.00087,8.0,1673.0,0.0
2015-04-12,0.000354,0.000355,0.000353,0.000354,0.0,682.0,0.0
2015-04-13,0.000354,0.000355,0.000333,0.000337,4.0,682.0,0.0
2015-04-14,0.000337,0.000785,0.000336,0.000618,5.0,650.0,0.0
2015-04-15,0.000618,0.000734,0.000297,0.000734,13.0,1190.0,0.0
2015-04-16,0.000734,0.000799,0.000288,0.000288,30.0,1415.0,0.0
2015-04-17,0.000288,0.000288,0.000274,0.000275,29.0,555.0,0.0
2015-04-18,0.000275,0.000275,0.000138,0.000272,0.0,529.0,0.0
2015-04-19,0.000273,0.000273,0.000272,0.000273,0.0,525.0,0.0
2015-04-20,0.000252,0.000673,0.000186,0.000672,14.0,485.0,0.0
2015-04-21,0.000672,0.000819,0.000449,0.000819,21.0,1294.0,0.0
