Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-11-16,0.004045,0.004045,0.003546,0.00358,982.0,14904.0,0.0
2014-11-17,0.003584,0.005704,0.003132,0.005697,589.0,13207.0,0.0
2014-11-18,0.005702,0.00573,0.003212,0.003802,254.0,21013.0,0.0
2014-11-19,0.003789,0.004193,0.002858,0.002858,902.0,13963.0,0.0
2014-11-20,0.002856,0.003203,0.001686,0.0022,286.0,10526.0,0.0
2014-11-21,0.002201,0.002552,0.002151,0.002438,88.0,8110.0,0.0
2014-11-22,0.002444,0.002919,0.002143,0.002647,149.0,9007.0,0.0
2014-11-23,0.002649,0.004996,0.002649,0.00493,384.0,9763.0,0.0
2014-11-24,0.004921,0.005019,0.002733,0.003205,488.0,18141.0,0.0
2014-11-25,0.003205,0.004969,0.003205,0.004867,543.0,11814.0,0.0
2014-11-26,0.004876,0.004898,0.002887,0.003868,193.0,17976.0,0.0
2014-11-27,0.00389,0.003962,0.0026,0.003882,214.0,14344.0,0.0
2014-11-28,0.003878,0.004016,0.00376,0.003949,130.0,14301.0,0.0
2014-11-29,0.003946,0.00407,0.003908,0.003943,177.0,14550.0,0.0
2014-11-30,0.003943,0.004055,0.00392,0.004007,183.0,14539.0,0.0
2014-12-01,0.004009,0.004067,0.003942,0.003982,172.0,14785.0,0.0
2014-12-02,0.003982,0.003999,0.003791,0.003969,590.0,14684.0,0.0
2014-12-03,0.003974,0.003979,0.003239,0.0033,315.0,14656.0,0.0
2014-12-04,0.003306,0.003937,0.00314,0.003833,200.0,12196.0,0.0
2014-12-05,0.003831,0.003897,0.002632,0.002638,71.0,14132.0,0.0
2014-12-06,0.002637,0.003909,0.002231,0.003848,346.0,9729.0,0.0
2014-12-07,0.003848,0.003848,0.003442,0.003826,71.0,14197.0,0.0
2014-12-08,0.003825,0.003835,0.003691,0.003691,87.0,14110.0,0.0
2014-12-09,0.003691,0.003703,0.002868,0.002878,49.0,13618.0,0.0
2014-12-10,0.002878,0.003636,0.002851,0.003533,73.0,10616.0,0.0
2014-12-11,0.003512,0.003721,0.003408,0.003714,307.0,12958.0,0.0
2014-12-12,0.00372,0.003733,0.002644,0.002644,125.0,13726.0,0.0
2014-12-13,0.003693,0.004708,0.003115,0.00469,113.0,13625.0,0.0
2014-12-14,0.004681,0.004714,0.00362,0.00366,20.0,17272.0,0.0
2014-12-15,0.003658,0.004497,0.002494,0.004489,281.0,13499.0,0.0
2014-12-16,0.004494,0.004496,0.002534,0.003415,159.0,16585.0,0.0
2014-12-17,0.003412,0.003614,0.002548,0.002558,43.0,12594.0,0.0
2014-12-18,0.002558,0.003048,0.002343,0.003021,45.0,9442.0,0.0
2014-12-19,0.003018,0.003404,0.002176,0.002581,54.0,11141.0,0.0
2014-12-20,0.002579,0.003307,0.002566,0.003303,37.0,9519.0,0.0
2014-12-21,0.003299,0.0033,0.003192,0.003212,39.0,12175.0,0.0
2014-12-22,0.003214,0.003374,0.002303,0.002827,215.0,11867.0,0.0
2014-12-23,0.002828,0.003363,0.002808,0.003346,10.0,10443.0,0.0
2014-12-24,0.003344,0.003347,0.001969,0.002088,49.0,12348.0,0.0
2014-12-25,0.002086,0.003212,0.001925,0.003194,29.0,7704.0,0.0
2014-12-26,0.003195,0.003239,0.001016,0.003009,424.0,11800.0,0.0
2014-12-27,0.003006,0.003018,0.002219,0.002906,282.0,11100.0,0.0
2014-12-28,0.002909,0.002944,0.00252,0.002534,138.0,10744.0,0.0
2014-12-29,0.002697,0.002839,0.002509,0.002776,156.0,9963.0,0.0
2014-12-30,0.002776,0.002891,0.001406,0.002623,675.0,10254.0,0.0
2014-12-31,0.002624,0.002927,0.002215,0.002462,139.0,9693.0,0.0
2015-01-01,0.002464,0.002927,0.00241,0.002904,223.0,9103.0,0.0
2015-01-02,0.002902,0.004726,0.000979,0.004659,741.0,10720.0,0.0
2015-01-03,0.004657,0.004661,0.003576,0.004104,197.0,17202.0,0.0
2015-01-04,0.004105,0.004821,0.003203,0.004703,709.0,15164.0,0.0
2015-01-05,0.004718,0.006408,0.003981,0.005492,1316.0,17433.0,0.01
2015-01-06,0.005495,0.010568,0.004112,0.009739,1217.0,20307.0,0.01
2015-01-07,0.009735,0.010492,0.00876,0.008839,608.0,35977.0,0.01
2015-01-08,0.008833,0.010497,0.007999,0.01041,403.0,32648.0,0.01
2015-01-09,0.010375,0.010424,0.008793,0.009038,126.0,38350.0,0.01
2015-01-10,0.009038,0.010329,0.008493,0.008519,200.0,33408.0,0.01
2015-01-11,0.008513,0.010041,0.008496,0.009617,123.0,31474.0,0.01
2015-01-12,0.009634,0.009854,0.008944,0.009641,1171.0,35622.0,0.01
2015-01-13,0.009626,0.009658,0.00641,0.006584,344.0,35598.0,0.01
2015-01-14,0.006527,0.007113,0.005004,0.005343,78.0,24137.0,0.01
2015-01-15,0.005307,0.007156,0.005307,0.006157,267.0,19628.0,0.01
2015-01-16,0.006134,0.006805,0.006119,0.006391,97.0,22690.0,0.01
2015-01-17,0.006383,0.006502,0.005874,0.005958,106.0,23609.0,0.01
2015-01-18,0.005981,0.006695,0.005607,0.006445,120.0,22128.0,0.01
2015-01-19,0.006479,0.010741,0.006337,0.010528,3818.0,23972.0,0.01
2015-01-20,0.010432,0.014792,0.009702,0.014792,1969.0,38600.0,0.01
2015-01-21,0.014797,0.015922,0.012774,0.014746,1553.0,54753.0,0.01
2015-01-22,0.014774,0.015404,0.013569,0.014238,1200.0,54677.0,0.01
2015-01-23,0.014245,0.014541,0.012949,0.014434,664.0,52727.0,0.01
2015-01-24,0.014423,0.015324,0.013772,0.015302,1090.0,53386.0,0.01
2015-01-25,0.015272,0.019092,0.015135,0.018991,154.0,56528.0,0.02
2015-01-26,0.019018,0.028606,0.017276,0.025972,3500.0,70395.0,0.02
2015-01-27,0.025943,0.051376,0.023032,0.039511,4983.0,96028.0,0.04
2015-01-28,0.039492,0.043893,0.031427,0.037424,1835.0,146182.0,0.04
2015-01-29,0.037333,0.043407,0.032688,0.037808,1827.0,138247.0,0.04
2015-01-30,0.037688,0.040459,0.028693,0.029514,332.0,139573.0,0.03
2015-01-31,0.029517,0.039327,0.029376,0.036006,757.0,109316.0,0.03
2015-02-01,0.035907,0.037069,0.030571,0.033603,376.0,132982.0,0.03
2015-02-02,0.033532,0.036568,0.027313,0.030465,1280.0,124187.0,0.03
2015-02-03,0.030366,0.047162,0.026938,0.027981,1994.0,112476.0,0.04
2015-02-04,0.028011,0.03255,0.024188,0.032136,695.0,103755.0,0.03
2015-02-05,0.032136,0.032215,0.024004,0.024114,220.0,119043.0,0.03
2015-02-06,0.024109,0.032719,0.024109,0.027076,3204.0,89319.0,0.03
2015-02-07,0.027121,0.03256,0.026875,0.027331,507.0,100484.0,0.03
2015-02-08,0.027323,0.031098,0.024812,0.030426,857.0,101242.0,0.03
2015-02-09,0.030423,0.031068,0.026073,0.030404,1703.0,112739.0,0.03
2015-02-10,0.030428,0.03054,0.026207,0.0266,723.0,112759.0,0.03
2015-02-11,0.026588,0.030383,0.026282,0.026414,1722.0,98545.0,0.03
2015-02-12,0.026417,0.049934,0.026251,0.048076,7411.0,97932.0,0.04
2015-02-13,0.048121,0.048121,0.041633,0.042377,3388.0,178409.0,0.04
2015-02-14,0.042395,0.049623,0.041169,0.049148,1687.0,157196.0,0.05
2015-02-15,0.049184,0.05257,0.039785,0.045321,1236.0,182386.0,0.05
2015-02-16,0.043677,0.04514,0.034963,0.042063,3055.0,161982.0,0.04
2015-02-17,0.042011,0.042547,0.034052,0.034658,2323.0,155810.0,0.04
2015-02-18,0.034683,0.035971,0.031442,0.031904,774.0,128630.0,0.03
2015-02-19,0.031915,0.035179,0.025661,0.026513,647.0,118367.0,0.03
2015-02-20,0.026509,0.032121,0.026404,0.030472,257.0,97937.0,0.03
2015-02-21,0.030469,0.032551,0.029077,0.031176,588.0,113006.0,0.03
2015-02-22,0.031177,0.031428,0.027964,0.028216,707.0,115689.0,0.03
2015-02-23,0.028218,0.030006,0.025897,0.029854,663.0,104717.0,0.03
2015-02-24,0.029868,0.02998,0.027606,0.027762,3216.0,110849.0,0.03
2015-02-25,0.02778,0.027833,0.023647,0.023745,852.0,103112.0,0.03
2015-02-26,0.023731,0.026266,0.023423,0.023969,55.0,88092.0,0.02
2015-02-27,0.025764,0.027967,0.024937,0.025526,117.0,95647.0,0.03
2015-02-28,0.02552,0.025565,0.016512,0.016527,549.0,94739.0,0.02
2015-03-01,0.016528,0.025348,0.016419,0.024714,666.0,61359.0,0.02
2015-03-02,0.024729,0.027503,0.023396,0.02744,1667.0,91803.0,0.03
2015-03-03,0.027378,0.027549,0.020627,0.022955,4796.0,101677.0,0.02
2015-03-04,0.022953,0.024443,0.022234,0.023478,379.0,85251.0,0.02
2015-03-05,0.023447,0.023942,0.020218,0.023475,2811.0,87095.0,0.02
2015-03-06,0.023426,0.023584,0.015986,0.022162,7290.0,87024.0,0.02
2015-03-07,0.022127,0.022202,0.01768,0.02072,524.0,82205.0,0.02
2015-03-08,0.020733,0.020839,0.016368,0.016461,212.0,77033.0,0.02
2015-03-09,0.016489,0.025157,0.016217,0.022951,5666.0,61270.0,0.02
2015-03-10,0.022951,0.023672,0.016203,0.018556,2389.0,85291.0,0.02
2015-03-11,0.018541,0.018651,0.014494,0.014555,415.0,68915.0,0.02
2015-03-12,0.014543,0.016833,0.010288,0.010932,4858.0,54062.0,0.01
2015-03-13,0.010923,0.014274,0.010903,0.011984,1770.0,40612.0,0.01
2015-03-14,0.011947,0.015508,0.011831,0.012795,273.0,44420.0,0.01
2015-03-15,0.012795,0.015584,0.012701,0.01271,88.0,47575.0,0.01
2015-03-16,0.012745,0.015485,0.012377,0.012841,156.0,47391.0,0.01
2015-03-17,0.012844,0.014474,0.012086,0.012856,639.0,47637.0,0.01
2015-03-18,0.012856,0.013167,0.009536,0.009629,534.0,47808.0,0.01
2015-03-19,0.009629,0.013553,0.009341,0.013417,2137.0,35811.0,0.01
2015-03-20,0.013418,0.013567,0.009663,0.009831,1623.0,49908.0,0.01
2015-03-21,0.009827,0.011258,0.009157,0.009192,443.0,36557.0,0.01
2015-03-22,0.009192,0.012863,0.009182,0.012862,1326.0,34196.0,0.01
2015-03-23,0.012859,0.018743,0.009421,0.011235,7155.0,47841.0,0.01
2015-03-24,0.011228,0.012816,0.008577,0.008714,1453.0,41776.0,0.01
2015-03-25,0.0088,0.011743,0.008363,0.008422,3438.0,32743.0,0.01
2015-03-26,0.008425,0.008997,0.004145,0.007265,1435.0,31350.0,0.01
2015-03-27,0.007266,0.007294,0.005142,0.005984,524.0,27038.0,0.01
2015-03-28,0.005983,0.007274,0.005884,0.006299,131.0,22266.0,0.01
2015-03-29,0.006296,0.006787,0.006245,0.006643,57.0,23430.0,0.01
2015-03-30,0.006648,0.006652,0.004135,0.004161,696.0,24739.0,0.01
2015-03-31,0.004157,0.005734,0.003814,0.00571,287.0,15474.0,0.0
2015-04-01,0.005712,0.00599,0.005587,0.005984,104.0,21263.0,0.01
2015-04-02,0.005984,0.006321,0.005939,0.006285,17.0,22275.0,0.01
2015-04-03,0.006285,0.006353,0.006257,0.006307,36.0,23395.0,0.01
2015-04-04,0.006306,0.00633,0.006063,0.006279,141.0,23476.0,0.01
2015-04-05,0.006279,0.006452,0.005274,0.00645,57.0,23375.0,0.01
2015-04-06,0.006453,0.00648,0.005146,0.005163,43.0,24022.0,0.01
2015-04-07,0.005159,0.006262,0.005099,0.006241,93.0,19206.0,0.01
2015-04-08,0.006241,0.006253,0.004208,0.005714,140.0,23234.0,0.01
2015-04-09,0.005708,0.005957,0.005583,0.005953,220.0,21249.0,0.01
2015-04-10,0.005953,0.011112,0.005945,0.008659,1195.0,22164.0,0.01
2015-04-11,0.008657,0.013622,0.00865,0.010292,1033.0,32229.0,0.01
2015-04-12,0.010292,0.010585,0.008303,0.010573,142.0,38314.0,0.01
