Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-12-08,1.93,2.38,1.92,2.27,112613.0,-1.0,2.15
2017-12-09,2.27,4.48,2.02,3.92,386819.0,-1.0,3.25
2017-12-10,4.11,6.77,3.55,6.35,818644.0,-1.0,5.16
2017-12-11,6.25,6.94,4.8,6.68,586684.0,3372810.0,5.87
2017-12-12,6.4,6.57,5.39,5.59,302691.0,3454190.0,5.98
2017-12-13,5.6,5.66,4.28,4.6,310930.0,3020540.0,4.97
2017-12-14,4.73,4.97,3.39,3.82,251970.0,2551600.0,4.18
2017-12-15,3.65,4.01,2.91,3.14,185698.0,1967910.0,3.46
2017-12-16,3.15,4.45,3.14,3.94,300967.0,1699470.0,3.79
2017-12-17,4.63,5.12,3.89,4.37,303361.0,2498240.0,4.5
2017-12-18,4.39,4.68,3.9,4.38,256184.0,2370330.0,4.29
2017-12-19,4.39,4.72,3.68,3.87,209805.0,2367240.0,4.2
2017-12-20,3.96,4.25,3.43,3.69,247307.0,2140000.0,3.84
2017-12-21,3.7,4.45,3.6,3.79,224686.0,1995620.0,4.03
2017-12-22,3.8,4.17,2.97,3.44,194350.0,4032640.0,3.57
2017-12-23,3.48,4.43,3.4,4.02,188404.0,3846320.0,3.92
2017-12-24,4.07,6.33,3.63,5.13,283842.0,4688280.0,4.98
2017-12-25,5.18,6.72,4.81,5.18,280736.0,6206520.0,5.76
2017-12-26,5.35,5.47,4.06,4.82,603565.0,6653700.0,4.76
2017-12-27,4.78,6.08,4.75,5.4,429095.0,6168460.0,5.42
2017-12-28,5.39,8.09,4.8,7.01,659813.0,7203800.0,6.45
2017-12-29,6.58,10.42,6.58,7.72,719029.0,9099830.0,8.5
2017-12-30,8.63,8.63,6.36,7.1,432949.0,12323000.0,7.5
2017-12-31,7.02,9.76,6.3,7.53,449195.0,10349800.0,8.03
2018-01-01,7.69,9.43,7.03,8.92,733090.0,11682700.0,8.23
2018-01-02,8.79,13.44,8.72,11.26,1169780.0,13762700.0,11.08
2018-01-03,11.22,12.81,9.3,10.49,792023.0,18068300.0,11.05
2018-01-04,10.27,11.48,9.36,11.03,798656.0,17003600.0,10.42
2018-01-05,11.6,11.6,9.66,10.38,616438.0,19742400.0,10.63
2018-01-06,10.46,12.5,8.41,10.67,665319.0,18279400.0,10.46
2018-01-07,10.67,12.06,10.54,11.09,589588.0,19142200.0,11.3
2018-01-08,10.86,11.72,9.79,11.4,771451.0,19977400.0,10.75
2018-01-09,11.37,15.98,10.95,14.52,1431280.0,21434900.0,13.46
2018-01-10,14.54,14.54,12.16,13.38,953841.0,28062900.0,13.35
2018-01-11,14.08,14.08,11.41,13.34,802342.0,27833700.0,12.75
2018-01-12,13.52,17.62,12.78,13.94,1069750.0,27114800.0,15.2
2018-01-13,13.93,16.7,13.93,15.14,865204.0,28850900.0,15.31
2018-01-14,15.35,15.8,13.27,15.3,881332.0,32501300.0,14.54
2018-01-15,15.19,16.4,10.99,12.37,743291.0,32882300.0,13.7
