Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-08-02,4e-06,5e-06,4e-06,5e-06,164.0,50073.0,0.0
2014-08-03,5e-06,5e-06,4e-06,5e-06,524.0,58655.0,0.0
2014-08-09,7e-06,7e-06,7e-06,7e-06,31.0,95648.0,0.0
2014-08-10,7e-06,7e-06,5e-06,6e-06,42.0,91675.0,0.0
2014-08-11,6e-06,7e-06,6e-06,7e-06,53.0,77224.0,0.0
2014-08-12,7e-06,7e-06,6e-06,6e-06,39.0,90021.0,0.0
2014-08-13,6e-06,6e-06,4e-06,4e-06,65.0,76103.0,0.0
2014-08-14,4e-06,7e-06,4e-06,7e-06,127.0,59669.0,0.0
2014-08-15,7e-06,7e-06,6e-06,6e-06,37.0,87979.0,0.0
2014-08-16,6e-06,7e-06,5e-06,6e-06,54.0,79656.0,0.0
2014-08-17,6e-06,8e-06,6e-06,6e-06,229.0,84311.0,0.0
2014-08-18,6e-06,7e-06,5e-06,5e-06,111.0,83477.0,0.0
2014-08-19,5e-06,7e-06,5e-06,6e-06,77.0,64791.0,0.0
2014-08-20,6e-06,7e-06,6e-06,7e-06,24.0,82465.0,0.0
2014-08-21,7e-06,7e-06,5e-06,5e-06,6.0,89288.0,0.0
2014-08-22,5e-06,6e-06,5e-06,6e-06,0.0,71009.0,0.0
2014-08-23,6e-06,6e-06,4e-06,4e-06,259.0,82155.0,0.0
2014-08-24,4e-06,4e-06,4e-06,4e-06,35.0,54646.0,0.0
2014-08-25,4e-06,5e-06,4e-06,5e-06,33.0,59954.0,0.0
2014-08-26,4e-06,4e-06,4e-06,4e-06,15.0,58754.0,0.0
2014-08-27,4e-06,1e-05,4e-06,5e-06,924.0,57805.0,0.0
2014-08-28,5e-06,5e-06,5e-06,5e-06,6.0,69660.0,0.0
2014-08-29,5e-06,5e-06,4e-06,5e-06,91.0,67552.0,0.0
2014-08-30,5e-06,5e-06,5e-06,5e-06,3.0,62489.0,0.0
2014-08-31,5e-06,1e-05,4e-06,1e-05,0.0,68801.0,0.0
2014-09-01,1e-05,1e-05,1e-06,1e-06,11.0,130847.0,0.0
2014-09-02,1e-06,5e-06,1e-06,5e-06,6.0,17435.0,0.0
2014-09-03,5e-06,5e-06,4e-06,5e-06,150.0,64813.0,0.0
2014-09-04,5e-06,5e-06,5e-06,5e-06,32.0,63280.0,0.0
2014-09-05,5e-06,5e-06,5e-06,5e-06,384.0,67376.0,0.0
2014-09-06,5e-06,6e-06,4e-06,6e-06,42.0,65981.0,0.0
2014-09-07,6e-06,6e-06,5e-06,5e-06,0.0,81067.0,0.0
2014-09-08,5e-06,6e-06,5e-06,5e-06,6.0,66842.0,0.0
2014-09-09,5e-06,5e-06,3e-06,5e-06,12.0,73718.0,0.0
2014-09-10,5e-06,6e-06,5e-06,6e-06,0.0,72159.0,0.0
2014-09-11,6e-06,6e-06,6e-06,6e-06,0.0,83164.0,0.0
2014-09-14,5e-06,5e-06,5e-06,5e-06,0.0,66377.0,0.0
2014-09-15,5e-06,5e-06,5e-06,5e-06,0.0,66464.0,0.0
2014-09-16,5e-06,5e-06,5e-06,5e-06,0.0,65898.0,0.0
2014-09-17,5e-06,5e-06,5e-06,5e-06,0.0,64953.0,0.0
2014-09-18,5e-06,5e-06,4e-06,4e-06,0.0,63767.0,0.0
2014-09-19,4e-06,4e-06,4e-06,4e-06,0.0,55188.0,0.0
2014-09-20,4e-06,4e-06,4e-06,4e-06,31.0,55206.0,0.0
2014-09-21,4e-06,6e-06,1e-06,1e-06,5.0,60513.0,0.0
2014-09-22,1e-06,4e-06,1e-06,4e-06,11.0,14018.0,0.0
2014-09-23,4e-06,4e-06,4e-06,4e-06,122.0,55966.0,0.0
2014-09-24,4e-06,4e-06,1e-06,1e-06,0.0,61216.0,0.0
2014-09-25,1e-06,1e-06,1e-06,1e-06,0.0,14063.0,0.0
2014-09-26,4e-06,4e-06,4e-06,4e-06,36.0,56501.0,0.0
2014-09-27,4e-06,4e-06,4e-06,4e-06,0.0,56873.0,0.0
2014-09-28,4e-06,4e-06,4e-06,4e-06,0.0,56357.0,0.0
2014-09-29,4e-06,4e-06,4e-06,4e-06,0.0,53231.0,0.0
2014-09-30,4e-06,4e-06,4e-06,4e-06,49.0,53169.0,0.0
2014-10-01,4e-06,4e-06,3e-06,4e-06,27.0,54828.0,0.0
2014-10-02,4e-06,4e-06,3e-06,3e-06,0.0,53141.0,0.0
2014-10-03,3e-06,4e-06,3e-06,4e-06,87.0,48415.0,0.0
2014-10-04,4e-06,7e-06,3e-06,3e-06,35.0,50921.0,0.0
2014-10-05,3e-06,5e-06,3e-06,3e-06,124.0,46588.0,0.0
2014-10-06,3e-06,3e-06,3e-06,3e-06,7.0,44160.0,0.0
2014-10-07,3e-06,3e-06,1e-06,3e-06,0.0,44602.0,0.0
2014-10-08,3e-06,4e-06,3e-06,4e-06,138.0,47920.0,0.0
2014-10-09,4e-06,4e-06,1e-06,1e-06,1.0,50350.0,0.0
2014-10-10,1e-06,4e-06,1e-06,4e-06,0.0,19720.0,0.0
2014-10-11,4e-06,4e-06,1e-06,4e-06,0.0,51538.0,0.0
2014-10-12,4e-06,4e-06,1e-06,4e-06,0.0,51866.0,0.0
2014-10-13,4e-06,4e-06,1e-06,1e-06,0.0,54157.0,0.0
2014-10-14,1e-06,4e-06,1e-06,4e-06,0.0,17359.0,0.0
