Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-11-07,0.001549,0.001552,0.000576,0.000577,31.0,-1,0.0
2016-11-08,0.000577,0.00058,0.000555,0.000568,8.0,-1,0.0
2016-11-09,0.000568,0.001189,0.000515,0.001186,17.0,-1,0.0
2016-11-10,0.001185,0.001186,0.000868,0.000873,10.0,-1,0.0
2016-11-11,0.000873,0.002851,0.000872,0.002851,0.0,-1,0.0
2016-11-12,0.002853,0.002854,0.000493,0.000599,20.0,-1,0.0
2016-11-13,0.000599,0.002034,0.000588,0.002029,2.0,-1,0.0
2016-11-14,0.002029,0.002039,0.000357,0.000479,2763.0,-1,0.0
2016-11-15,0.00048,0.000634,0.000306,0.000541,2200.0,-1,0.0
2016-11-16,0.000541,0.000605,0.000389,0.000604,2846.0,-1,0.0
2016-11-17,0.000605,0.000614,0.000388,0.000424,4143.0,-1,0.0
2016-11-18,0.000423,0.000441,0.000344,0.000428,1856.0,-1,0.0
2016-11-19,0.000429,0.000429,0.00027,0.000286,208.0,-1,0.0
2016-11-20,0.000286,0.000972,0.00024,0.000282,1610.0,-1,0.0
2016-11-21,0.000282,0.000377,0.000215,0.00037,1770.0,-1,0.0
2016-11-22,0.000377,0.000377,0.000111,0.000165,484.0,-1,0.0
2016-11-23,0.000165,0.000297,0.000148,0.000186,151.0,-1,0.0
2016-11-24,0.000186,0.000355,3.7e-05,0.000355,2053.0,-1,0.0
2016-11-25,0.000348,0.000348,9.6e-05,0.000104,600.0,-1,0.0
2016-11-26,0.000104,0.000147,8.1e-05,9.6e-05,1405.0,-1,0.0
2016-11-27,9.6e-05,0.000125,4.4e-05,8.8e-05,96.0,-1,0.0
2016-11-28,8.8e-05,0.000123,6.4e-05,0.000123,19.0,-1,0.0
2016-11-29,0.000123,0.000189,7.4e-05,7.4e-05,14.0,-1,0.0
2016-11-30,7.4e-05,8.6e-05,7.4e-05,8.2e-05,4.0,-1,0.0
2016-12-01,8.2e-05,8.2e-05,6e-05,6.1e-05,17.0,-1,0.0
2016-12-02,6.1e-05,0.000124,6.1e-05,0.000124,43.0,-1,0.0
2016-12-03,0.000124,0.000124,8.4e-05,8.5e-05,3.0,-1,0.0
2016-12-04,8.5e-05,0.000132,7.1e-05,7.1e-05,6.0,-1,0.0
2016-12-05,7.1e-05,7.6e-05,6e-05,6.1e-05,1.0,-1,0.0
2016-12-06,6.1e-05,0.00013,6.1e-05,0.00013,639.0,-1,0.0
2016-12-07,0.00013,0.000169,0.0001,0.000124,1281.0,-1,0.0
2016-12-08,0.000123,0.000788,6.6e-05,0.000728,742.0,-1,0.0
2016-12-09,0.000396,0.000656,9.3e-05,0.00025,186.0,-1,0.0
2016-12-10,0.000249,0.000286,8.9e-05,0.000195,109.0,-1,0.0
2016-12-11,0.000195,0.00025,8.9e-05,0.000115,109.0,-1,0.0
2016-12-12,0.000115,0.000132,3.9e-05,0.000117,120.0,-1,0.0
2016-12-13,0.000117,0.000118,7e-05,7.7e-05,30.0,-1,0.0
2016-12-14,7.7e-05,9.7e-05,6.3e-05,6.3e-05,14.0,-1,0.0
2016-12-15,6.3e-05,9.3e-05,5.4e-05,6.1e-05,27.0,-1,0.0
2016-12-16,6.1e-05,9.8e-05,5.5e-05,9.4e-05,86.0,-1,0.0
2016-12-17,9.4e-05,9.5e-05,6.7e-05,8.7e-05,2.0,-1,0.0
2016-12-18,8.7e-05,8.7e-05,6.9e-05,8.4e-05,8.0,-1,0.0
2016-12-19,8.4e-05,9.5e-05,8.4e-05,9.5e-05,4.0,-1,0.0
2016-12-20,9.5e-05,0.000127,2.7e-05,6.6e-05,41.0,-1,0.0
2016-12-21,6.6e-05,8.3e-05,6.6e-05,8.3e-05,1.0,-1,0.0
2016-12-22,8.3e-05,0.000118,4.3e-05,4.3e-05,87.0,-1,0.0
2016-12-23,4.3e-05,8.1e-05,4.3e-05,7.4e-05,2.0,-1,0.0
2016-12-24,7.4e-05,0.000238,5.4e-05,8.7e-05,11.0,-1,0.0
2016-12-25,8.7e-05,0.000204,7.1e-05,0.000202,3.0,-1,0.0
2016-12-26,0.000202,0.000219,8.1e-05,8.2e-05,0.0,-1,0.0
2016-12-27,8.2e-05,0.000124,7e-05,8.4e-05,4.0,-1,0.0
2016-12-28,8.4e-05,0.000112,4.8e-05,6.1e-05,7.0,-1,0.0
2016-12-29,6.1e-05,7.8e-05,6.1e-05,7.8e-05,1.0,-1,0.0
2016-12-30,7.8e-05,0.000106,6.3e-05,6.4e-05,0.0,-1,0.0
2016-12-31,6.4e-05,6.9e-05,6e-05,6e-05,1.0,-1,0.0
2017-01-01,6e-05,6.7e-05,5.9e-05,6.7e-05,0.0,-1,0.0
2017-01-02,6.7e-05,0.000112,6.7e-05,0.000102,9.0,-1,0.0
2017-01-03,0.000102,0.000113,8.2e-05,8.4e-05,4.0,-1,0.0
2017-01-04,8.4e-05,0.0001,8.4e-05,9.2e-05,3.0,-1,0.0
2017-01-05,9.3e-05,0.000119,9.1e-05,0.0001,0.0,-1,0.0
2017-01-06,0.0001,0.000101,6.2e-05,8.8e-05,4.0,-1,0.0
2017-01-07,8.8e-05,9.1e-05,8e-05,9.1e-05,0.0,-1,0.0
2017-01-08,9.1e-05,9.4e-05,6.2e-05,6.4e-05,0.0,-1,0.0
2017-01-09,6.4e-05,0.000101,6.2e-05,6.3e-05,1.0,-1,0.0
2017-01-10,6.3e-05,6.4e-05,6.3e-05,6.4e-05,0.0,-1,0.0
2017-01-11,6.4e-05,6.4e-05,5.3e-05,5.5e-05,0.0,-1,0.0
2017-01-12,6.9e-05,7.4e-05,6.8e-05,7.2e-05,0.0,-1,0.0
2017-01-13,7.2e-05,7.3e-05,7.2e-05,7.2e-05,0.0,-1,0.0
2017-01-14,5.8e-05,6.7e-05,5.7e-05,6.5e-05,3.0,-1,0.0
2017-01-15,6.5e-05,8.1e-05,5.7e-05,8.1e-05,0.0,-1,0.0
2017-01-16,8.1e-05,9.2e-05,7.5e-05,7.5e-05,0.0,-1,0.0
2017-01-17,7.5e-05,7.8e-05,6e-05,7.3e-05,1.0,-1,0.0
2017-01-18,7.3e-05,8.8e-05,6.9e-05,8e-05,0.0,-1,0.0
2017-01-19,8e-05,8.1e-05,7.2e-05,7.2e-05,0.0,-1,0.0
2017-01-20,7.2e-05,9.9e-05,6.1e-05,6.1e-05,6.0,-1,0.0
2017-01-21,6.1e-05,8e-05,6.1e-05,7.7e-05,1.0,-1,0.0
2017-01-22,7.7e-05,7.8e-05,7.2e-05,7.4e-05,0.0,-1,0.0
2017-01-23,7.4e-05,8.3e-05,6.4e-05,8.3e-05,2.0,-1,0.0
2017-01-24,8.2e-05,9.3e-05,6.5e-05,6.5e-05,3.0,-1,0.0
2017-01-25,6.5e-05,6.6e-05,5.4e-05,5.4e-05,0.0,-1,0.0
2017-01-26,5.4e-05,5.4e-05,5.4e-05,5.4e-05,0.0,-1,0.0
2017-01-27,5.5e-05,8.2e-05,5.5e-05,8.2e-05,1.0,-1,0.0
2017-01-28,8.2e-05,9.2e-05,7.4e-05,7.4e-05,1.0,-1,0.0
2017-01-29,7.4e-05,7.4e-05,5.5e-05,7.4e-05,2.0,-1,0.0
2017-01-30,7.4e-05,7.4e-05,7.4e-05,7.4e-05,0.0,-1,0.0
2017-01-31,7.4e-05,7.7e-05,5.5e-05,6.8e-05,5.0,-1,0.0
2017-02-01,6.8e-05,8.9e-05,6.8e-05,8.9e-05,4.0,-1,0.0
2017-02-02,8.9e-05,0.000101,8.9e-05,0.000101,30.0,-1,0.0
2017-02-03,0.000101,0.000124,0.000101,0.000124,10.0,-1,0.0
2017-02-04,0.000124,0.000124,0.000114,0.000115,0.0,-1,0.0
2017-02-05,0.000115,0.000125,9.4e-05,0.000123,5.0,-1,0.0
2017-02-06,0.000123,0.000125,0.000123,0.000125,1.0,-1,0.0
2017-02-07,0.000125,0.000232,9.6e-05,0.000231,16.0,-1,0.0
2017-02-08,0.000232,0.000235,0.000128,0.000128,11.0,-1,0.0
2017-02-09,0.000128,0.000131,8.8e-05,8.9e-05,2.0,-1,0.0
2017-02-10,9e-05,0.000127,8.5e-05,0.000127,0.0,-1,0.0
2017-02-11,0.000127,0.000127,8e-05,9e-05,9.0,-1,0.0
2017-02-12,9e-05,0.00011,9e-05,0.00011,0.0,-1,0.0
2017-02-13,0.00011,0.00011,8.9e-05,8.9e-05,0.0,-1,0.0
2017-02-14,8.9e-05,0.000121,8.9e-05,0.000121,4.0,-1,0.0
2017-02-15,0.000121,0.000121,0.00012,0.000121,4.0,-1,0.0
2017-02-16,0.000101,0.000114,0.000101,0.000113,2.0,-1,0.0
