Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-06-19,0.001249,0.002398,0.001199,0.002373,27263.0,-1,0.0
2017-06-20,0.002373,0.003347,0.001549,0.002673,51767.0,-1,0.0
2017-06-21,0.002673,0.003397,0.001074,0.001324,6265.0,-1,0.0
2017-06-22,0.001324,0.001973,0.000999,0.001549,54645.0,-1,0.0
2017-06-23,0.001549,0.001549,0.000874,0.001075,37058.0,-1,0.0
2017-06-24,0.001076,0.002592,0.001033,0.002235,107906.0,-1,0.0
2017-06-25,0.002237,0.002237,0.001028,0.001515,27567.0,-1,0.0
2017-06-26,0.001512,0.001876,0.000947,0.001,15509.0,-1,0.0
2017-06-27,0.001023,0.001447,0.000899,0.001156,27010.0,-1,0.0
2017-06-28,0.001165,0.001212,0.000505,0.000741,15728.0,-1,0.0
2017-06-29,0.00074,0.001053,0.000629,0.001036,22485.0,-1,0.0
2017-06-30,0.001038,0.001109,0.000501,0.000883,62825.0,-1,0.0
2017-07-01,0.000907,0.000907,0.000465,0.000554,8599.0,-1,0.0
2017-07-02,0.00053,0.000649,0.000427,0.0006,641.0,-1,0.0
2017-07-03,0.000597,0.000694,0.000303,0.000661,1355.0,-1,0.0
2017-07-04,0.000659,0.000667,0.000357,0.000389,1065.0,-1,0.0
2017-07-05,0.000389,0.000467,0.000379,0.000442,319.0,-1,0.0
2017-07-06,0.000442,0.000465,0.000362,0.000364,61.0,-1,0.0
2017-07-07,0.000364,0.000414,0.000346,0.00035,15.0,-1,0.0
2017-07-08,0.00035,0.00035,5e-05,0.000153,282.0,-1,0.0
2017-07-09,0.000153,0.000154,0.00015,0.00015,0.0,-1,0.0
2017-07-10,0.00015,0.000151,0.000114,0.000117,33.0,-1,0.0
2017-07-11,0.000117,0.00014,6.9e-05,0.000139,280.0,-1,0.0
2017-07-12,0.000139,0.000188,0.000135,0.000167,67.0,-1,0.0
2017-07-13,0.000167,0.000186,0.000163,0.000164,1.0,-1,0.0
2017-07-14,0.000164,0.000245,0.000151,0.000156,62.0,-1,0.0
2017-07-15,0.000155,0.000229,0.0001,0.0001,112.0,-1,0.0
2017-07-16,9.9e-05,0.000102,5.5e-05,7.7e-05,12.0,-1,0.0
2017-07-17,7.7e-05,8.9e-05,7.7e-05,8.9e-05,37.0,-1,0.0
2017-07-18,8.9e-05,0.000143,8.6e-05,0.000138,13.0,-1,0.0
2017-07-19,0.000138,0.000239,0.000111,0.000113,594.0,-1,0.0
2017-07-20,0.000113,0.000319,0.000113,0.000309,31.0,-1,0.0
2017-07-21,0.000312,0.000313,0.000131,0.000133,4.0,-1,0.0
2017-07-22,0.000133,0.000144,0.000112,0.000113,60.0,-1,0.0
2017-07-23,0.000113,0.000141,0.000106,0.00011,10.0,-1,0.0
2017-07-24,0.00011,0.000111,0.000108,0.00011,0.0,-1,0.0
2017-07-25,0.00011,0.000111,9.8e-05,0.000102,8.0,-1,0.0
2017-07-26,0.000102,0.000127,9.8e-05,0.000126,0.0,-1,0.0
2017-07-27,0.000126,0.00013,7.7e-05,8e-05,3.0,-1,0.0
2017-07-28,8e-05,0.00014,8e-05,0.00014,1.0,-1,0.0
2017-07-29,0.000139,0.000139,8e-05,8.2e-05,10.0,-1,0.0
2017-07-30,8.2e-05,8.2e-05,7.8e-05,8.2e-05,1.0,-1,0.0
2017-07-31,8.2e-05,8.2e-05,8.1e-05,8.1e-05,1.0,-1,0.0
2017-08-01,5.4e-05,0.000111,5.3e-05,0.000109,9.0,-1,0.0
2017-08-02,0.000109,0.00011,5.3e-05,5.4e-05,2.0,-1,0.0
2017-08-03,5.4e-05,0.000112,5.4e-05,0.000112,2.0,-1,0.0
2017-08-04,0.000111,0.000115,0.000111,0.000113,2.0,-1,0.0
2017-08-06,6.5e-05,9.8e-05,6.3e-05,9.7e-05,41.0,-1,0.0
2017-08-07,9.7e-05,0.000102,9.6e-05,0.000102,1.0,-1,0.0
2017-08-08,0.000102,0.000104,3.3e-05,3.4e-05,14.0,-1,0.0
2017-08-09,3.4e-05,0.000102,3.4e-05,0.0001,111.0,-1,0.0
2017-08-10,0.0001,0.000103,6.8e-05,0.000102,56.0,-1,0.0
2017-08-11,0.000102,0.000107,0.000102,0.000106,16.0,-1,0.0
2017-08-12,7.6e-05,0.000155,7.5e-05,0.000155,50.0,-1,0.0
2017-08-13,0.000155,0.000168,7.9e-05,8.1e-05,1.0,-1,0.0
2017-08-14,8.1e-05,8.6e-05,8e-05,8.6e-05,134.0,-1,0.0
2017-08-15,8.7e-05,0.000124,7.7e-05,8.3e-05,38.0,-1,0.0
2017-08-16,8.3e-05,8.7e-05,7.9e-05,8.7e-05,3.0,-1,0.0
2017-08-17,8.6e-05,9e-05,8.4e-05,8.6e-05,19.0,-1,0.0
2017-08-18,8.6e-05,8.7e-05,8e-05,8.2e-05,1.0,-1,0.0
