Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-07-18,2.7e-05,2.7e-05,2.7e-05,2.7e-05,24.0,-1.0,0.0
2016-07-19,2.7e-05,0.00015,2.7e-05,0.00011,476.0,-1.0,0.0
2016-07-20,0.00011,0.00011,7.3e-05,9.2e-05,177.0,-1.0,0.0
2016-07-21,9.2e-05,0.000101,6.4e-05,9.1e-05,166.0,-1.0,0.0
2016-07-22,9.1e-05,0.000246,9.1e-05,0.000233,116.0,-1.0,0.0
2016-07-23,0.000233,0.000234,8.5e-05,8.5e-05,263.0,-1.0,0.0
2016-07-24,8.5e-05,8.6e-05,6.8e-05,6.8e-05,14.0,-1.0,0.0
2016-07-25,6.8e-05,8.5e-05,6.5e-05,6.5e-05,39.0,-1.0,0.0
2016-07-26,6.5e-05,7.2e-05,6.5e-05,6.5e-05,39.0,-1.0,0.0
2016-07-27,6.5e-05,8.5e-05,6.3e-05,6.3e-05,5.0,-1.0,0.0
2016-07-28,6.3e-05,0.000118,6.1e-05,0.000115,80.0,-1.0,0.0
2016-07-29,0.000115,0.00012,8.5e-05,8.5e-05,9.0,-1.0,0.0
2016-07-30,8.5e-05,8.6e-05,8.5e-05,8.5e-05,4.0,-1.0,0.0
2016-07-31,8.5e-05,8.5e-05,4.6e-05,4.6e-05,41.0,-1.0,0.0
2016-08-01,4.6e-05,7.7e-05,4.2e-05,4.2e-05,150.0,-1.0,0.0
2016-08-02,4.2e-05,4.3e-05,3.2e-05,3.3e-05,25.0,-1.0,0.0
2016-08-03,3.3e-05,0.000101,3.2e-05,6.7e-05,28.0,-1.0,0.0
2016-08-04,6.7e-05,6.9e-05,4e-05,4e-05,17.0,-1.0,0.0
2016-08-05,4e-05,0.0001,4e-05,6.6e-05,78.0,-1.0,0.0
2016-08-06,6.6e-05,0.000103,6.3e-05,6.4e-05,99.0,-1.0,0.0
2016-08-07,6.4e-05,6.4e-05,5.9e-05,5.9e-05,89.0,-1.0,0.0
2016-08-11,5.4e-05,5.4e-05,4.7e-05,4.7e-05,5.0,-1.0,0.0
2016-08-12,4.7e-05,5.9e-05,4.7e-05,5.9e-05,1.0,-1.0,0.0
2016-08-13,5.9e-05,0.000589,5.9e-05,0.000287,658.0,-1.0,0.0
2016-08-14,0.000287,0.002783,0.000287,0.000446,1573.0,-1.0,0.0
2016-08-15,0.000446,0.000826,0.000345,0.000393,852.0,-1.0,0.0
2016-08-16,0.000393,0.000869,0.000286,0.000286,417.0,27147.0,0.0
2016-08-17,0.000286,0.000502,0.000286,0.000359,23.0,19754.0,0.0
2016-08-18,0.000359,0.00046,0.000344,0.000459,5.0,24821.0,0.0
2016-08-19,0.000459,0.000737,0.000288,0.000615,3943.0,31799.0,0.0
2016-08-20,0.000616,0.000888,0.000289,0.000576,7574.0,42663.0,0.0
2016-08-21,0.000576,0.000849,0.00057,0.000849,4977.0,39969.0,0.0
2016-08-22,0.000838,0.000906,0.000702,0.000769,1963.0,58147.0,0.0
2016-08-23,0.000769,0.000824,0.000529,0.000667,3436.0,53383.0,0.0
2016-08-24,0.000667,0.000672,0.000465,0.000516,2623.0,46319.0,0.0
