Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-06-24,2.5e-05,5.2e-05,2.5e-05,5.1e-05,14695.0,-1,0.0
2017-06-25,2.6e-05,5.3e-05,2.5e-05,5e-05,30746.0,-1,0.0
2017-06-26,5e-05,5e-05,2.3e-05,2.4e-05,31079.0,-1,0.0
2017-06-27,2.4e-05,2.5e-05,2.3e-05,2.5e-05,19354.0,-1,0.0
2017-06-28,2.5e-05,2.6e-05,2.5e-05,2.6e-05,2419.0,-1,0.0
2017-06-29,2.6e-05,2.6e-05,2.5e-05,2.5e-05,563.0,-1,0.0
2017-06-30,2.5e-05,2.5e-05,2.4e-05,2.5e-05,278.0,-1,0.0
2017-07-01,2.5e-05,2.5e-05,2.4e-05,2.4e-05,1795.0,-1,0.0
2017-07-02,2.4e-05,2.5e-05,2.4e-05,2.5e-05,3344.0,-1,0.0
2017-07-03,2.5e-05,2.6e-05,2.5e-05,2.5e-05,714.0,-1,0.0
2017-07-04,2.5e-05,2.6e-05,2.5e-05,2.6e-05,137.0,-1,0.0
2017-07-05,2.6e-05,2.6e-05,2.5e-05,2.6e-05,283.0,-1,0.0
2017-07-06,2.6e-05,2.6e-05,2.6e-05,2.6e-05,648.0,-1,0.0
2017-07-07,2.6e-05,2.6e-05,2.5e-05,2.5e-05,261.0,-1,0.0
2017-07-08,2.5e-05,2.5e-05,2.5e-05,2.5e-05,491.0,-1,0.0
2017-07-09,2.5e-05,2.6e-05,2.5e-05,2.5e-05,9.0,-1,0.0
2017-07-10,2.5e-05,2.5e-05,2.3e-05,2.3e-05,30.0,-1,0.0
2017-07-11,2.3e-05,2.4e-05,2.1e-05,2.2e-05,2750.0,-1,0.0
2017-07-12,2.2e-05,2.2e-05,9e-06,1.2e-05,185.0,-1,0.0
2017-07-13,1.2e-05,1.8e-05,9e-06,1.7e-05,587.0,-1,0.0
2017-07-14,1.7e-05,1.8e-05,1.2e-05,1.3e-05,249.0,-1,0.0
2017-07-15,1.3e-05,1.6e-05,8e-06,1.2e-05,512.0,-1,0.0
2017-07-16,1.2e-05,1.3e-05,5e-06,9e-06,3377.0,-1,0.0
2017-07-17,9e-06,1e-05,7e-06,8e-06,255.0,-1,0.0
2017-07-18,8e-06,1e-05,7e-06,8e-06,351.0,-1,0.0
2017-07-19,8e-06,9e-06,7e-06,8e-06,87.0,-1,0.0
2017-07-20,8e-06,8e-06,5e-06,5e-06,494.0,-1,0.0
2017-07-21,5e-06,7e-06,3e-06,4e-06,436.0,-1,0.0
2017-07-22,4e-06,2.7e-05,4e-06,1.4e-05,496.0,-1,0.0
2017-07-23,1.4e-05,1.4e-05,4e-06,5e-06,109.0,-1,0.0
2017-07-24,4e-06,5e-06,4e-06,5e-06,218.0,-1,0.0
2017-07-25,5e-06,5e-06,3e-06,4e-06,269.0,-1,0.0
2017-07-26,4e-06,2.4e-05,3e-06,2e-05,563.0,-1,0.0
2017-07-27,2e-05,2e-05,3e-06,5e-06,269.0,-1,0.0
