Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-07-25,0.001726,0.001731,0.001221,0.001221,0.0,-1.0,0.0
2015-07-26,0.001732,0.001758,0.001726,0.001753,0.0,-1.0,0.0
2015-07-27,0.001753,0.002917,0.001216,0.002889,88.0,-1.0,0.0
2015-07-28,0.002889,0.002919,0.002644,0.002644,0.0,-1.0,0.0
2015-07-29,0.002644,0.002645,0.001242,0.001245,0.0,-1.0,0.0
2015-07-30,0.001243,0.002577,0.001218,0.002572,2.0,-1.0,0.0
2015-07-31,0.002572,0.002583,0.002524,0.002539,0.0,-1.0,0.0
2015-08-01,0.002539,0.002542,0.002481,0.00251,0.0,-1.0,0.0
2015-08-02,0.001198,0.001208,0.001185,0.001193,3.0,-1.0,0.0
2015-08-03,0.001193,0.001201,0.001183,0.001201,3.0,-1.0,0.0
2015-08-04,0.001207,0.001209,0.001201,0.001206,0.0,-1.0,0.0
2015-08-05,0.001205,0.002563,0.001203,0.002537,0.0,-1.0,0.0
2015-08-06,0.002537,0.002537,0.002449,0.002449,2.0,-1.0,0.0
2015-08-07,0.00245,0.002465,0.002429,0.002454,2.0,-1.0,0.0
2015-08-08,0.002411,0.002422,0.002336,0.002339,0.0,-1.0,0.0
2015-08-09,0.00234,0.002391,0.002334,0.002391,0.0,-1.0,0.0
2015-08-10,0.001118,0.002368,0.001118,0.002364,0.0,-1.0,0.0
2015-08-11,0.002363,0.002539,0.002361,0.002539,2.0,-1.0,0.0
2015-08-12,0.002541,0.003919,0.002511,0.003873,5.0,-1.0,0.0
2015-08-13,0.00387,0.003871,0.003469,0.003829,0.0,-1.0,0.0
2015-08-14,0.00383,0.003834,0.001151,0.001174,0.0,-1.0,0.0
2015-08-15,0.001174,0.001179,0.001166,0.001166,0.0,-1.0,0.0
2015-08-16,0.003724,0.003725,0.001147,0.001153,1.0,-1.0,0.0
2015-08-17,0.001153,0.001173,0.00115,0.001169,0.0,-1.0,0.0
2015-08-18,0.001168,0.001171,0.00096,0.00096,0.0,-1.0,0.0
2015-08-19,0.001027,0.00108,0.001014,0.001031,0.0,-1.0,0.0
2015-08-20,0.000805,0.000843,0.000805,0.000835,3.0,-1.0,0.0
2015-08-21,0.000838,0.001182,0.000837,0.001163,0.0,-1.0,0.0
2015-08-22,0.001163,0.001175,0.000811,0.001152,1.0,-1.0,0.0
2015-08-23,0.001152,0.001164,0.001147,0.001148,0.0,-1.0,0.0
2015-08-24,0.001136,0.001175,0.001057,0.001158,0.0,-1.0,0.0
2015-08-25,0.001155,0.001245,0.001098,0.001219,0.0,-1.0,0.0
2015-08-26,0.001221,0.001242,0.000804,0.001129,0.0,-1.0,0.0
2015-08-27,0.00113,0.00125,0.000852,0.000856,0.0,-1.0,0.0
2015-08-28,0.000856,0.001176,0.000853,0.001157,1.0,-1.0,0.0
2015-08-29,0.001158,0.001166,0.001137,0.00114,0.0,-1.0,0.0
2015-08-31,0.001138,0.00116,0.00113,0.00115,0.0,-1.0,0.0
2015-09-01,0.001151,0.001156,0.000953,0.000958,0.0,-1.0,0.0
2015-09-02,0.000958,0.000968,0.000951,0.000963,0.0,-1.0,0.0
2015-09-03,0.000963,0.001148,0.000962,0.00114,0.0,-1.0,0.0
2015-09-04,0.00114,0.003285,0.001015,0.001025,1.0,-1.0,0.0
2015-09-05,0.001024,0.001884,0.001021,0.00188,1.0,-1.0,0.0
2015-09-06,0.001879,0.00193,0.001143,0.001202,0.0,-1.0,0.0
2015-09-07,0.001202,0.001449,0.001196,0.001331,0.0,-1.0,0.0
2015-09-08,0.001331,0.001363,0.00133,0.001352,0.0,-1.0,0.0
2015-09-09,0.001352,0.002626,0.001322,0.001324,1.0,-1.0,0.0
2015-09-10,0.001324,0.002141,0.001311,0.001324,0.0,-1.0,0.0
2015-09-11,0.001323,0.001338,0.001195,0.001201,0.0,-1.0,0.0
2015-09-12,0.001201,0.001332,0.001196,0.001305,0.0,-1.0,0.0
2015-09-13,0.001306,0.001309,0.001034,0.001041,0.0,-1.0,0.0
2015-09-14,0.00104,0.001048,0.001028,0.001038,0.0,-1.0,0.0
2015-09-15,0.001037,0.001914,0.001034,0.001037,0.0,-1.0,0.0
2015-09-16,0.001036,0.001261,0.001023,0.001031,0.0,-1.0,0.0
2015-09-17,0.001031,0.001036,0.00103,0.001034,0.0,-1.0,0.0
2015-09-18,0.001034,0.001289,0.001034,0.001049,2.0,-1.0,0.0
2015-09-19,0.001048,0.001049,0.00104,0.001042,0.0,-1.0,0.0
2015-09-20,0.001042,0.001046,0.001039,0.00104,0.0,-1.0,0.0
2015-09-21,0.00104,0.001261,0.001023,0.001248,1.0,-1.0,0.0
2015-09-22,0.001249,0.001883,0.001041,0.001045,1.0,-1.0,0.0
2015-09-23,0.001046,0.00105,0.00104,0.001046,0.0,-1.0,0.0
2015-09-24,0.001053,0.001072,0.001051,0.001067,0.0,-1.0,0.0
2015-09-25,0.001066,0.001543,0.001059,0.001529,1.0,-1.0,0.0
2015-09-26,0.001528,0.00153,0.001055,0.001057,0.0,-1.0,0.0
2015-09-27,0.001057,0.001057,0.000988,0.000989,7.0,-1.0,0.0
2015-09-28,0.00099,0.001197,0.000988,0.001196,0.0,-1.0,0.0
2015-09-29,0.001196,0.001259,0.001003,0.001006,0.0,-1.0,0.0
2015-09-30,0.001006,0.00147,0.001001,0.001006,0.0,-1.0,0.0
2015-10-01,0.001005,0.001016,0.001004,0.001012,0.0,-1.0,0.0
2015-10-02,0.001011,0.001023,0.001006,0.001009,0.0,-1.0,0.0
2015-10-03,0.001008,0.001194,0.001007,0.001017,0.0,-1.0,0.0
2015-10-04,0.001016,0.00102,0.001014,0.001015,0.0,-1.0,0.0
2015-10-05,0.001015,0.001024,0.000468,0.001024,0.0,-1.0,0.0
2015-10-06,0.001024,0.001052,0.001023,0.001051,3.0,-1.0,0.0
2015-10-07,0.001051,0.001169,0.001042,0.001166,0.0,-1.0,0.0
2015-10-08,0.001166,0.00117,0.001029,0.00103,0.0,-1.0,0.0
2015-10-09,0.001031,0.00122,0.001029,0.001037,0.0,-1.0,0.0
2015-10-10,0.001036,0.001223,0.001036,0.001043,1.0,-1.0,0.0
2015-10-11,0.001043,0.001051,0.001038,0.00105,0.0,-1.0,0.0
2015-10-12,0.001049,0.001052,0.001042,0.001043,0.0,-1.0,0.0
2015-10-13,0.001042,0.001063,0.001036,0.00106,0.0,-1.0,0.0
2015-10-14,0.00106,0.001081,0.001058,0.001071,0.0,-1.0,0.0
2015-10-15,0.001071,0.001577,0.001071,0.001577,4.0,-1.0,0.0
2015-10-16,0.001577,0.001631,0.001106,0.001117,3.0,-1.0,0.0
2015-10-17,0.001117,0.001163,0.001115,0.00115,0.0,-1.0,0.0
2015-10-18,0.00115,0.001155,0.001108,0.001112,1.0,-1.0,0.0
2015-10-19,0.001112,0.001125,0.001109,0.00112,0.0,-1.0,0.0
2015-10-20,0.00112,0.001593,0.001119,0.001145,0.0,-1.0,0.0
2015-10-21,0.001145,0.001151,0.001121,0.001132,0.0,-1.0,0.0
2015-10-22,0.001133,0.001175,0.001131,0.001165,0.0,-1.0,0.0
2015-10-23,0.001163,0.001184,0.000991,0.000995,4.0,-1.0,0.0
2015-10-24,0.000995,0.001008,0.000989,0.001003,0.0,-1.0,0.0
2015-10-25,0.001002,0.001054,0.001002,0.001021,0.0,-1.0,0.0
2015-10-26,0.001021,0.001026,0.000999,0.001016,0.0,-1.0,0.0
2015-10-27,0.001015,0.001053,0.000751,0.000758,1.0,-1.0,0.0
2015-10-28,0.000758,0.000849,0.000758,0.000783,0.0,-1.0,0.0
2015-10-29,0.000782,0.000787,0.000332,0.000333,6.0,-1.0,0.0
2015-10-30,0.000333,0.000467,0.000333,0.000466,0.0,-1.0,0.0
2015-10-31,0.000466,0.000974,0.000346,0.000939,0.0,-1.0,0.0
2015-11-01,0.000942,0.001077,0.000339,0.001071,0.0,-1.0,0.0
2015-11-02,0.001072,0.001202,0.000353,0.001188,0.0,-1.0,0.0
2015-11-03,0.001188,0.001288,0.000418,0.001045,0.0,-1.0,0.0
2015-11-04,0.001045,0.001284,0.000415,0.000446,0.0,-1.0,0.0
2015-11-05,0.000445,0.000488,0.00041,0.000421,0.0,-1.0,0.0
2015-11-06,0.000423,0.000428,0.000386,0.000404,0.0,-1.0,0.0
2015-11-07,0.000404,0.000852,0.000402,0.000417,0.0,-1.0,0.0
2015-11-08,0.000415,0.000846,0.000398,0.000402,0.0,-1.0,0.0
2015-11-09,0.000404,0.000416,0.000392,0.000411,0.0,-1.0,0.0
2015-11-10,0.00041,0.000707,0.000382,0.00067,0.0,-1.0,0.0
2015-11-11,0.000676,0.000689,0.000599,0.000681,0.0,-1.0,0.0
2015-11-12,0.000688,0.000712,0.000328,0.000642,2.0,-1.0,0.0
2015-11-13,0.000643,0.000648,3.4e-05,0.00037,2.0,-1.0,0.0
