Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-07-13,0.000285,0.000324,0.000258,0.000321,2771.0,28462.0,0.0
2016-07-14,0.00032,0.000637,0.000172,0.000197,7472.0,31993.0,0.0
2016-07-15,0.000198,0.000266,0.000179,0.000192,1307.0,19775.0,0.0
2016-07-16,0.000192,0.000271,0.000153,0.000258,1592.0,19250.0,0.0
2016-07-17,0.000258,0.00028,0.000207,0.000265,3124.0,25818.0,0.0
2016-07-18,0.000265,0.000266,0.000177,0.000195,987.0,26513.0,0.0
2016-07-19,0.000195,0.000202,0.000174,0.000182,648.0,19509.0,0.0
2016-07-20,0.000182,0.000195,0.000166,0.000166,273.0,18166.0,0.0
2016-07-21,0.000166,0.000206,0.000146,0.000186,222.0,16631.0,0.0
2016-07-22,0.000186,0.000187,0.000144,0.000176,51.0,18618.0,0.0
2016-07-23,0.000176,0.000177,0.000118,0.000118,31.0,17570.0,0.0
2016-07-24,0.000118,0.000157,0.000106,0.000112,215.0,11797.0,0.0
2016-07-25,0.000112,0.000131,9.8e-05,0.000131,153.0,11242.0,0.0
2016-07-26,0.000131,0.000201,0.000116,0.000189,293.0,13085.0,0.0
2016-07-27,0.000189,0.000189,9.7e-05,0.000144,370.0,18897.0,0.0
2016-07-28,0.000144,0.00017,0.000131,0.000131,213.0,14399.0,0.0
2016-07-29,0.000131,0.000164,0.000131,0.000131,28.0,13102.0,0.0
2016-07-30,0.000131,0.000164,0.000124,0.000164,85.0,13140.0,0.0
2016-07-31,0.000164,0.000166,0.000119,0.000119,25.0,16378.0,0.0
2016-08-01,0.000119,0.000119,0.000103,0.000103,19.0,11867.0,0.0
2016-08-02,0.000103,0.000115,9e-05,9.9e-05,26.0,10309.0,0.0
2016-08-03,9.9e-05,0.000114,9.7e-05,0.000113,4.0,9876.0,0.0
2016-08-04,0.000113,0.000116,7.9e-05,0.00011,11.0,11327.0,0.0
2016-08-05,0.00011,0.00011,0.000108,0.000109,1.0,10987.0,0.0
2016-08-06,8.1e-05,0.000108,6.8e-05,0.0001,61.0,8068.0,0.0
2016-08-07,0.0001,0.000107,7.6e-05,0.000107,22.0,9992.0,0.0
2016-08-08,0.000107,0.000113,9.5e-05,0.000112,48.0,10669.0,0.0
2016-08-09,0.000112,0.000112,8.8e-05,8.8e-05,35.0,11230.0,0.0
2016-08-10,8.8e-05,0.000114,8.8e-05,0.000112,12.0,8815.0,0.0
2016-08-11,0.000113,0.000125,0.000113,0.000118,36.0,11250.0,0.0
2016-08-12,0.000118,0.000129,0.000117,0.000129,21.0,11776.0,0.0
2016-08-13,0.000129,0.000129,7.6e-05,0.000117,50.0,12922.0,0.0
2016-08-14,0.000117,0.000148,0.000113,0.000148,146.0,11712.0,0.0
2016-08-15,0.000148,0.000155,0.000102,0.000102,24.0,14833.0,0.0
2016-08-16,0.000102,0.000137,0.000102,0.000115,5.0,10210.0,0.0
2016-08-17,0.000116,0.000116,0.000103,0.000103,7.0,11555.0,0.0
2016-08-18,0.000103,0.000116,0.000103,0.000115,17.0,10327.0,0.0
2016-08-19,0.000115,0.000116,0.000115,0.000116,0.0,11487.0,0.0
2016-08-20,0.000109,0.000146,8.1e-05,0.000145,283.0,10936.0,0.0
2016-08-21,0.000145,0.000157,8.7e-05,0.000116,394.0,14549.0,0.0
2016-08-22,0.000116,0.000129,7.6e-05,0.000117,358.0,11626.0,0.0
2016-08-23,0.000117,0.000123,8.2e-05,0.000123,133.0,11735.0,0.0
2016-08-24,0.000123,0.000123,8.7e-05,8.7e-05,33.0,12252.0,0.0
2016-08-25,8.7e-05,9.2e-05,7.5e-05,7.5e-05,22.0,8703.0,0.0
2016-08-26,7.5e-05,8.7e-05,5.8e-05,5.8e-05,62.0,7511.0,0.0
2016-08-27,5.8e-05,8.1e-05,5.8e-05,8e-05,1.0,5795.0,0.0
2016-08-28,8e-05,8e-05,3.4e-05,8e-05,249.0,7978.0,0.0
2016-08-29,8e-05,8.1e-05,2.9e-05,4e-05,148.0,8037.0,0.0
2016-08-30,4e-05,0.000104,4e-05,7.5e-05,40.0,4019.0,0.0
2016-08-31,7.5e-05,9.8e-05,7.5e-05,9.8e-05,3.0,7509.0,0.0
2016-09-01,9.8e-05,9.8e-05,9.2e-05,9.7e-05,1.0,9783.0,0.0
2016-09-02,9.7e-05,9.7e-05,4.6e-05,8.1e-05,29.0,9729.0,0.0
2016-09-03,8.1e-05,8.4e-05,6.9e-05,8.4e-05,11.0,8058.0,0.0
2016-09-04,8.4e-05,8.6e-05,6.7e-05,6.7e-05,6.0,8380.0,0.0
2016-09-05,6.7e-05,9.1e-05,6.6e-05,6.7e-05,136.0,6699.0,0.0
2016-09-06,6.7e-05,9.7e-05,5.4e-05,6.7e-05,560.0,6672.0,0.0
2016-09-07,6.7e-05,7.9e-05,5.5e-05,6.1e-05,28.0,6716.0,0.0
2016-09-08,6.1e-05,7.5e-05,2.5e-05,6.3e-05,855.0,6145.0,0.0
2016-09-09,6.3e-05,6.3e-05,4.3e-05,6.2e-05,2.0,6264.0,0.0
