Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-12-18,23.87,23.87,23.87,23.87,130628.0,-1,23.87
2017-12-19,23.9,24.75,19.07,22.75,108536.0,-1,21.91
2017-12-20,22.73,22.73,14.48,16.44,160391.0,-1,18.61
2017-12-21,16.48,19.94,14.68,17.22,179677.0,-1,17.31
2017-12-22,17.28,17.46,12.89,15.3,40547.0,-1,15.18
2017-12-23,16.2,22.63,15.22,20.23,46846.0,-1,18.93
2017-12-24,20.45,23.91,17.18,22.31,115683.0,-1,20.55
2017-12-25,19.72,22.21,17.76,19.97,22405.0,-1,19.98
2017-12-26,19.95,23.12,19.2,23.11,147586.0,-1,21.16
2017-12-27,23.12,42.47,21.93,34.21,168828.0,-1,32.2
2017-12-28,35.69,42.85,28.32,40.09,168395.0,-1,35.59
2017-12-29,40.51,66.39,39.51,58.13,328447.0,-1,52.95
2017-12-30,57.98,58.2,47.43,50.39,164784.0,-1,52.81
2017-12-31,49.84,59.82,48.61,56.96,150234.0,-1,54.22
2018-01-01,58.23,63.46,53.13,59.41,68006.0,-1,58.3
2018-01-02,59.41,87.55,58.0,86.2,256973.0,-1,72.78
2018-01-03,85.9,103.45,77.92,99.09,245089.0,-1,90.69
2018-01-04,95.52,101.53,86.41,97.14,107506.0,-1,93.97
2018-01-05,97.16,103.58,76.02,78.06,70211.0,-1,89.8
2018-01-06,78.13,94.99,50.28,80.91,71797.0,-1,72.63
2018-01-07,80.85,94.65,80.38,88.39,69377.0,-1,87.52
2018-01-08,85.5,88.59,74.06,83.05,163568.0,-1,81.33
2018-01-09,82.83,90.23,79.17,88.53,116853.0,-1,84.7
2018-01-10,88.65,95.85,71.01,95.85,243829.0,-1,83.43
2018-01-11,95.74,96.09,84.26,88.49,227705.0,-1,90.18
2018-01-12,89.07,101.12,86.49,100.71,280722.0,-1,93.81
2018-01-13,100.6,128.53,97.46,127.73,412682.0,-1,113.0
2018-01-14,127.81,161.53,111.39,144.23,265145.0,-1,136.46
2018-01-15,143.19,178.51,136.83,169.92,393244.0,-1,157.67
