Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-12-15,0.117158,1.02,0.112891,0.327669,-1.0,270471.0,0.57
2013-12-16,0.329243,0.794981,0.312142,0.352985,-1.0,771746.0,0.55
2013-12-17,0.353185,0.469543,0.316077,0.402437,-1.0,840722.0,0.39
2013-12-18,0.400124,0.400697,0.168046,0.229988,-1.0,966320.0,0.28
2013-12-19,0.228386,0.606112,0.17851,0.602005,-1.0,559694.0,0.39
2013-12-20,0.609365,0.615791,0.449815,0.498312,-1.0,1516340.0,0.53
2013-12-21,0.49592,0.559062,0.423968,0.423968,-1.0,1251630.0,0.49
2013-12-22,0.421246,0.540059,0.305389,0.462885,-1.0,1078330.0,0.42
2013-12-23,0.459795,0.528963,0.424911,0.437717,-1.0,1193600.0,0.48
2013-12-24,0.437034,0.48956,0.330845,0.445939,-1.0,1149950.0,0.41
2013-12-25,0.446428,0.446428,0.357863,0.429792,-1.0,1190960.0,0.4
2013-12-26,0.430882,0.452516,0.304792,0.304792,-1.0,1164700.0,0.38
2013-12-27,0.305312,0.383262,0.305312,0.309553,12423.0,835914.0,0.34
2013-12-28,0.310778,0.324328,0.251191,0.271553,14571.0,861989.0,0.29
2013-12-29,0.271635,0.335556,0.247783,0.319999,12933.0,762914.0,0.29
2013-12-30,0.31841,0.323242,0.275555,0.309998,8873.0,905988.0,0.3
2013-12-31,0.311716,0.314968,0.277941,0.294705,5896.0,897867.0,0.3
2014-01-01,0.29508,0.322516,0.282703,0.288041,5558.0,860453.0,0.3
2014-01-02,0.288803,0.334941,0.287813,0.297695,7727.0,852171.0,0.31
2014-01-03,0.297865,0.322184,0.164711,0.209183,6507.0,889767.0,0.24
2014-01-04,0.210345,0.260043,0.166229,0.215754,6453.0,635968.0,0.21
2014-01-05,0.215513,0.281861,0.202736,0.281861,15411.0,659082.0,0.24
2014-01-06,0.282622,0.283979,0.187307,0.207414,12790.0,874432.0,0.24
2014-01-07,0.207942,0.208085,0.155099,0.155099,4892.0,650536.0,0.18
2014-01-08,0.153937,0.167846,0.138627,0.160201,4821.0,487064.0,0.15
2014-01-09,0.159963,0.162787,0.145622,0.156686,4289.0,511866.0,0.15
2014-01-10,0.156655,0.158667,0.150139,0.156804,2763.0,506787.0,0.15
2014-01-11,0.156595,0.16514,0.121379,0.155189,5402.0,512246.0,0.14
2014-01-12,0.156148,0.156148,0.109219,0.117683,4737.0,516303.0,0.13
2014-01-13,0.11727,0.11727,0.0747,0.079922,4643.0,391817.0,0.1
2014-01-14,0.08011,0.096086,0.063542,0.077494,6385.0,270574.0,0.08
2014-01-15,0.07748,0.086313,0.066603,0.076568,2668.0,264362.0,0.08
2014-01-16,0.076514,0.081148,0.071054,0.071054,3763.0,263783.0,0.08
2014-01-17,0.070957,0.074042,0.056058,0.056748,3601.0,247139.0,0.07
2014-01-18,0.056847,0.063579,0.056847,0.0588,2013.0,200015.0,0.06
2014-01-19,0.058776,0.067154,0.046771,0.059286,4802.0,208923.0,0.06
2014-01-20,0.059316,0.073044,0.05814,0.061097,6655.0,212934.0,0.07
2014-01-21,0.061058,0.101314,0.060421,0.082935,8012.0,221357.0,0.08
