Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-12-19,0.573386,2.76,0.554937,2.12,-1.0,106829.0,1.66
2013-12-20,2.22,2.53,0.693511,1.37,-1.0,414431.0,1.61
2013-12-21,1.36,1.74,1.09,1.29,-1.0,255637.0,1.42
2013-12-22,1.28,1.82,1.24,1.32,-1.0,240646.0,1.53
2013-12-23,1.31,1.64,1.31,1.61,-1.0,248841.0,1.48
2013-12-24,1.61,2.62,1.55,2.09,-1.0,306814.0,2.08
2013-12-25,2.09,2.21,1.65,2.05,-1.0,400567.0,1.93
2013-12-26,2.05,2.32,1.85,2.29,-1.0,395419.0,2.08
2013-12-27,2.29,2.5,1.49,1.75,8360.0,444229.0,2.0
2013-12-28,1.76,2.4,1.72,1.89,9612.0,342699.0,2.06
2013-12-29,1.89,2.23,1.89,2.2,8653.0,371726.0,2.06
2013-12-30,2.19,2.34,2.09,2.15,5366.0,432524.0,2.21
2013-12-31,2.16,2.2,1.43,1.77,8802.0,429580.0,1.81
2014-01-01,1.77,1.87,1.53,1.67,5781.0,355639.0,1.7
2014-01-02,1.67,1.79,1.6,1.76,4777.0,337878.0,1.7
2014-01-03,1.76,1.9,1.65,1.73,4931.0,357110.0,1.77
2014-01-04,1.73,1.81,1.64,1.75,3775.0,354793.0,1.73
2014-01-05,1.75,1.97,1.3,1.31,4760.0,360763.0,1.64
2014-01-06,1.31,1.9,1.29,1.35,4551.0,271725.0,1.59
2014-01-07,1.36,1.5,1.18,1.28,2770.0,282739.0,1.34
2014-01-08,1.27,1.41,1.06,1.25,2804.0,267438.0,1.23
2014-01-09,1.25,1.25,0.740783,0.779577,2421.0,263945.0,1.0
2014-01-10,0.77942,1.04,0.69056,1.04,3359.0,165827.0,0.87
2014-01-11,1.04,1.2,1.03,1.2,2659.0,222900.0,1.11
2014-01-12,1.21,1.35,1.13,1.22,4749.0,261250.0,1.24
2014-01-13,1.21,1.21,0.862028,0.913131,2928.0,263610.0,1.04
2014-01-14,0.915269,1.02,0.83327,0.83327,3457.0,200009.0,0.93
2014-01-15,0.83312,0.988872,0.825535,0.957321,3386.0,183335.0,0.91
2014-01-16,0.956643,0.983791,0.808333,0.826338,2421.0,211969.0,0.9
2014-01-17,0.82521,0.886369,0.631482,0.72358,3148.0,184011.0,0.76
2014-01-18,0.72485,0.837493,0.644717,0.756,2616.0,162667.0,0.74
2014-01-19,0.755694,0.759446,0.555811,0.640347,1550.0,170646.0,0.66
2014-01-20,0.640663,0.746555,0.60268,0.695281,1932.0,145607.0,0.67
2014-01-21,0.694842,0.725522,0.56709,0.60408,2533.0,158891.0,0.65
2014-01-22,0.607012,0.863491,0.599461,0.721077,3502.0,139750.0,0.73
2014-01-23,0.720966,1.28,0.71888,0.945346,12300.0,166988.0,1.0
2014-01-24,0.945795,1.06,0.713698,0.745252,2803.0,220417.0,0.89
2014-01-25,0.744476,0.848439,0.572748,0.811109,1725.0,174589.0,0.71
2014-01-26,0.811175,0.978898,0.80271,0.875391,4860.0,191455.0,0.89
2014-01-27,0.874719,0.890055,0.62449,0.655689,1102.0,207728.0,0.76
2014-01-28,0.657925,0.740124,0.657398,0.719144,1861.0,157169.0,0.7
2014-01-29,0.716887,0.814987,0.683335,0.728582,1963.0,172316.0,0.75
2014-01-30,0.728599,0.740444,0.668783,0.713359,789.0,176173.0,0.7
2014-01-31,0.712836,0.80718,0.538355,0.672161,15886.0,173367.0,0.67
2014-02-01,0.6711,0.694442,0.645366,0.686063,2548.0,164173.0,0.67
2014-02-02,0.686326,0.716612,0.669323,0.697041,1832.0,168871.0,0.69
2014-02-03,0.695952,0.697395,0.626086,0.626086,2053.0,172212.0,0.66
2014-02-04,0.62604,0.665824,0.617904,0.627701,687.0,155816.0,0.64
2014-02-05,0.629218,0.767714,0.571928,0.607374,8294.0,157490.0,0.67
2014-02-06,0.610127,0.810266,0.588975,0.718495,5998.0,153608.0,0.7
2014-02-07,0.720011,0.720011,0.558697,0.595346,2655.0,182317.0,0.64
2014-02-08,0.584624,0.62113,0.527843,0.547223,1217.0,148831.0,0.57
2014-02-09,0.545226,0.631821,0.540508,0.56706,1689.0,139588.0,0.59
2014-02-10,0.565748,0.644504,0.47539,0.551593,2062.0,145639.0,0.56
2014-02-11,0.553594,0.602434,0.470164,0.497507,1455.0,143305.0,0.54
2014-02-12,0.497662,0.53174,0.477616,0.524211,2244.0,129509.0,0.5
2014-02-13,0.523696,0.524396,0.44317,0.450904,1422.0,137029.0,0.48
2014-02-14,0.447872,0.553272,0.403713,0.501656,1336.0,117847.0,0.48
2014-02-15,0.50083,0.513333,0.471524,0.487539,1225.0,132482.0,0.49
2014-02-16,0.487824,0.585386,0.45081,0.493335,2307.0,129714.0,0.52
2014-02-17,0.491415,0.514618,0.476137,0.488365,1067.0,131409.0,0.5
2014-02-18,0.489059,0.50078,0.468664,0.488735,1539.0,131476.0,0.48
2014-02-19,0.488244,0.508297,0.473777,0.477883,1072.0,131963.0,0.49
2014-02-20,0.477929,0.530259,0.431253,0.431253,1164.0,129873.0,0.48
2014-02-21,0.431827,0.470001,0.422364,0.447851,4928.0,117977.0,0.45
2014-02-22,0.447913,0.485243,0.431238,0.472579,504.0,123018.0,0.46
2014-02-23,0.473398,0.49149,0.316644,0.43619,4907.0,130694.0,0.4
2014-02-24,0.436349,0.437479,0.347219,0.360227,1296.0,121093.0,0.39
2014-02-25,0.356218,0.384522,0.285643,0.377108,747.0,99381.0,0.34
